cell_id,site_id,sector,technology,band,vendor,azimuth_deg,max_throughput_dl_mbps
C-QBC-011-002,S-QBC-011,2,5G,n78-3500,Ericsson,120,1200
C-QBC-011-003,S-QBC-011,3,5G,n71-600,Ericsson,240,1200
C-VAN-007-001,S-VAN-007,1,4G,B7-2600,Nokia,0,250
C-VAN-007-002,S-VAN-007,2,4G,B12-700,Ericsson,120,250
C-VAN-007-003,S-VAN-007,3,5G,n41-2500,Ericsson,240,1200
C-QBC-012-001,S-QBC-012,1,4G,B7-2600,Nokia,0,250
C-QBC-012-002,S-QBC-012,2,5G,n78-3500,Nokia,120,1200
C-QBC-012-003,S-QBC-012,3,5G,n78-3500,Nokia,240,1200
C-TOR-017-001,S-TOR-017,1,5G,n78-3500,Nokia,0,1200
C-TOR-017-002,S-TOR-017,2,5G,n71-600,Nokia,120,1200
C-TOR-017-003,S-TOR-017,3,4G,B12-700,Nokia,240,250
C-QBC-013-001,S-QBC-013,1,5G,n41-2500,Ericsson,0,1200
C-QBC-013-002,S-QBC-013,2,5G,n71-600,Ericsson,120,1200
C-QBC-013-003,S-QBC-013,3,4G,B7-2600,Ericsson,240,250
C-TOR-018-001,S-TOR-018,1,5G,n71-600,Samsung,0,1200
C-TOR-018-002,S-TOR-018,2,5G,n78-3500,Samsung,120,1200
C-TOR-018-003,S-TOR-018,3,4G,B7-2600,Samsung,240,250
C-SUR-008-001,S-SUR-008,1,5G,n71-600,Samsung,0,1200
C-SUR-008-002,S-SUR-008,2,5G,n78-3500,Ericsson,120,1200
C-SUR-008-003,S-SUR-008,3,4G,B66-AWS3,Samsung,240,250
C-TOR-019-001,S-TOR-019,1,4G,B12-700,Ericsson,0,250
C-TOR-019-002,S-TOR-019,2,4G,B12-700,Ericsson,120,250
C-TOR-019-003,S-TOR-019,3,4G,B12-700,Ericsson,240,250
C-LAV-014-001,S-LAV-014,1,5G,n71-600,Ericsson,0,1200
C-LAV-014-002,S-LAV-014,2,5G,n78-3500,Ericsson,120,1200
C-LAV-014-003,S-LAV-014,3,5G,n78-3500,Samsung,240,1200
C-SUR-009-001,S-SUR-009,1,5G,n41-2500,Nokia,0,1200
C-SUR-009-002,S-SUR-009,2,4G,B7-2600,Nokia,120,250
C-SUR-009-003,S-SUR-009,3,5G,n41-2500,Nokia,240,1200
C-MTL-015-001,S-MTL-015,1,5G,n41-2500,Ericsson,0,1200
C-MTL-015-002,S-MTL-015,2,5G,n41-2500,Ericsson,120,1200
C-MTL-015-003,S-MTL-015,3,5G,n41-2500,Ericsson,240,1200
C-EDM-003-001,S-EDM-003,1,4G,B12-700,Samsung,0,250
C-EDM-003-002,S-EDM-003,2,4G,B66-AWS3,Samsung,120,250
C-EDM-003-003,S-EDM-003,3,4G,B12-700,Samsung,240,250
C-QBC-016-001,S-QBC-016,1,4G,B66-AWS3,Nokia,0,250
C-QBC-016-002,S-QBC-016,2,4G,B7-2600,Nokia,120,250
C-QBC-016-003,S-QBC-016,3,4G,B7-2600,Nokia,240,250
C-LAV-017-001,S-LAV-017,1,4G,B12-700,Ericsson,0,250
C-LAV-017-002,S-LAV-017,2,4G,B12-700,Ericsson,120,250
C-LAV-017-003,S-LAV-017,3,5G,n71-600,Ericsson,240,1200
C-SUR-010-001,S-SUR-010,1,5G,n71-600,Ericsson,0,1200
C-SUR-010-002,S-SUR-010,2,4G,B7-2600,Ericsson,120,250
C-SUR-010-003,S-SUR-010,3,5G,n71-600,Ericsson,240,1200
C-SUR-011-001,S-SUR-011,1,4G,B12-700,Nokia,0,250
C-SUR-011-002,S-SUR-011,2,4G,B7-2600,Nokia,120,250
C-SUR-011-003,S-SUR-011,3,5G,n41-2500,Nokia,240,1200
C-SUR-012-001,S-SUR-012,1,4G,B66-AWS3,Ericsson,0,250
C-SUR-012-002,S-SUR-012,2,4G,B12-700,Ericsson,120,250
C-SUR-012-003,S-SUR-012,3,4G,B66-AWS3,Samsung,240,250
C-MTL-018-001,S-MTL-018,1,5G,n78-3500,Nokia,0,1200
C-MTL-018-002,S-MTL-018,2,5G,n71-600,Ericsson,120,1200
C-MTL-018-003,S-MTL-018,3,5G,n41-2500,Nokia,240,1200
C-VAN-013-001,S-VAN-013,1,5G,n41-2500,Samsung,0,1200
C-VAN-013-002,S-VAN-013,2,4G,B66-AWS3,Samsung,120,250
C-VAN-013-003,S-VAN-013,3,4G,B7-2600,Samsung,240,250
C-MTL-019-001,S-MTL-019,1,4G,B12-700,Ericsson,0,250
C-MTL-019-002,S-MTL-019,2,4G,B7-2600,Samsung,120,250
C-MTL-019-003,S-MTL-019,3,4G,B12-700,Samsung,240,250
C-HAM-020-001,S-HAM-020,1,5G,n71-600,Ericsson,0,1200
C-HAM-020-002,S-HAM-020,2,4G,B12-700,Ericsson,120,250
C-HAM-020-003,S-HAM-020,3,5G,n41-2500,Ericsson,240,1200
C-VAN-014-001,S-VAN-014,1,5G,n71-600,Ericsson,0,1200
C-VAN-014-002,S-VAN-014,2,5G,n78-3500,Ericsson,120,1200
C-VAN-014-003,S-VAN-014,3,4G,B66-AWS3,Nokia,240,250
C-TOR-021-001,S-TOR-021,1,4G,B7-2600,Samsung,0,250
C-TOR-021-002,S-TOR-021,2,4G,B66-AWS3,Samsung,120,250
C-TOR-021-003,S-TOR-021,3,4G,B66-AWS3,Samsung,240,250
C-LAV-020-001,S-LAV-020,1,5G,n71-600,Ericsson,0,1200
C-LAV-020-002,S-LAV-020,2,4G,B12-700,Ericsson,120,250
C-LAV-020-003,S-LAV-020,3,4G,B12-700,Ericsson,240,250
C-OTT-022-001,S-OTT-022,1,5G,n41-2500,Ericsson,0,1200
C-OTT-022-002,S-OTT-022,2,5G,n41-2500,Ericsson,120,1200
C-OTT-022-003,S-OTT-022,3,5G,n78-3500,Ericsson,240,1200
C-TOR-023-001,S-TOR-023,1,4G,B66-AWS3,Nokia,0,250
C-TOR-023-002,S-TOR-023,2,5G,n41-2500,Nokia,120,1200
C-TOR-023-003,S-TOR-023,3,5G,n41-2500,Nokia,240,1200
C-REG-002-001,S-REG-002,1,5G,n78-3500,Ericsson,0,1200
C-REG-002-002,S-REG-002,2,4G,B7-2600,Ericsson,120,250
C-REG-002-003,S-REG-002,3,4G,B7-2600,Ericsson,240,250
C-MIS-024-001,S-MIS-024,1,5G,n78-3500,Nokia,0,1200
C-MIS-024-002,S-MIS-024,2,5G,n41-2500,Samsung,120,1200
C-MIS-024-003,S-MIS-024,3,5G,n41-2500,Samsung,240,1200
C-HAM-025-001,S-HAM-025,1,4G,B66-AWS3,Samsung,0,250
C-HAM-025-002,S-HAM-025,2,4G,B7-2600,Samsung,120,250
C-HAM-025-003,S-HAM-025,3,4G,B66-AWS3,Samsung,240,250
C-MTL-021-001,S-MTL-021,1,5G,n78-3500,Nokia,0,1200
C-MTL-021-002,S-MTL-021,2,5G,n41-2500,Nokia,120,1200
C-MTL-021-003,S-MTL-021,3,5G,n71-600,Nokia,240,1200
C-MNC-005-001,S-MNC-005,1,5G,n71-600,Ericsson,0,1200
C-MNC-005-002,S-MNC-005,2,4G,B66-AWS3,Ericsson,120,250
C-MNC-005-003,S-MNC-005,3,4G,B7-2600,Ericsson,240,250
C-QBC-022-001,S-QBC-022,1,5G,n41-2500,Nokia,0,1200
C-QBC-022-002,S-QBC-022,2,5G,n71-600,Nokia,120,1200
C-QBC-022-003,S-QBC-022,3,5G,n41-2500,Nokia,240,1200
C-CAL-004-001,S-CAL-004,1,4G,B12-700,Samsung,0,250
C-CAL-004-002,S-CAL-004,2,5G,n71-600,Samsung,120,1200
C-CAL-004-003,S-CAL-004,3,5G,n78-3500,Ericsson,240,1200
C-QBC-023-001,S-QBC-023,1,4G,B7-2600,Ericsson,0,250
C-QBC-023-002,S-QBC-023,2,4G,B7-2600,Ericsson,120,250
C-QBC-023-003,S-QBC-023,3,4G,B66-AWS3,Ericsson,240,250
