site_id,site_name,region,region_name,city,latitude,longitude,primary_technology,primary_vendor,commissioned_date,site_type
S-MNC-004,Moncton MNC004,NB,New Brunswick,Moncton,46.08154,-64.85887,4G,Nokia,2021-08-28,Macro
S-LDN-015,London LDN015,ON,Ontario,London,43.02691,-81.22474,4G,Ericsson,2021-09-15,Macro
S-QBC-010,Quebec City QBC010,QC,Quebec,Quebec City,46.76597,-71.17454,4G,Ericsson,2023-07-22,Macro
S-HAM-016,Hamilton HAM016,ON,Ontario,Hamilton,43.25404,-79.896,4G,Ericsson,2023-02-03,SmallCell
S-WPG-003,Winnipeg WPG003,MB,Manitoba,Winnipeg,49.81831,-97.07887,5G,Nokia,2021-01-31,Macro
S-QBC-011,Quebec City QBC011,QC,Quebec,Quebec City,46.80859,-71.13532,5G,Ericsson,2025-02-08,Rooftop
S-VAN-007,Vancouver VAN007,BC,British Columbia,Vancouver,49.30254,-123.17206,4G,Ericsson,2020-05-13,SmallCell
S-QBC-012,Quebec City QBC012,QC,Quebec,Quebec City,46.81029,-71.18462,5G,Nokia,2022-10-05,Rooftop
S-TOR-017,Toronto TOR017,ON,Ontario,Toronto,43.64136,-79.35353,5G,Nokia,2022-12-11,Macro
S-QBC-013,Quebec City QBC013,QC,Quebec,Quebec City,46.84266,-71.23446,5G,Ericsson,2022-08-01,SmallCell
S-TOR-018,Toronto TOR018,ON,Ontario,Toronto,43.73359,-79.35835,5G,Samsung,2021-10-14,SmallCell
S-SUR-008,Surrey SUR008,BC,British Columbia,Surrey,49.18932,-122.81497,5G,Samsung,2022-10-15,Rooftop
S-TOR-019,Toronto TOR019,ON,Ontario,Toronto,43.62372,-79.36357,4G,Ericsson,2020-07-09,Macro
S-LAV-014,Laval LAV014,QC,Quebec,Laval,45.5883,-73.64242,5G,Ericsson,2024-09-16,SmallCell
S-SUR-009,Surrey SUR009,BC,British Columbia,Surrey,49.18692,-122.80148,5G,Nokia,2020-07-08,Macro
S-MTL-015,Montreal MTL015,QC,Quebec,Montreal,45.58476,-73.601,5G,Ericsson,2020-05-02,Macro
S-EDM-003,Edmonton EDM003,AB,Alberta,Edmonton,53.51726,-113.46557,4G,Samsung,2022-05-30,Macro
S-QBC-016,Quebec City QBC016,QC,Quebec,Quebec City,46.82917,-71.20293,4G,Nokia,2025-06-14,Macro
S-LAV-017,Laval LAV017,QC,Quebec,Laval,45.57354,-73.65584,4G,Ericsson,2022-10-07,Macro
S-SUR-010,Surrey SUR010,BC,British Columbia,Surrey,49.22338,-122.83922,5G,Ericsson,2021-10-31,Macro
S-SUR-011,Surrey SUR011,BC,British Columbia,Surrey,49.25282,-122.87262,4G,Nokia,2021-11-04,Rooftop
S-SUR-012,Surrey SUR012,BC,British Columbia,Surrey,49.23272,-122.89763,4G,Ericsson,2020-02-02,Macro
S-MTL-018,Montreal MTL018,QC,Quebec,Montreal,45.55787,-73.57011,5G,Nokia,2023-08-01,Rooftop
S-VAN-013,Vancouver VAN013,BC,British Columbia,Vancouver,49.2361,-123.17753,5G,Samsung,2024-01-31,SmallCell
S-MTL-019,Montreal MTL019,QC,Quebec,Montreal,45.48678,-73.5906,4G,Samsung,2022-07-29,Macro
S-HAM-020,Hamilton HAM020,ON,Ontario,Hamilton,43.2535,-79.87376,5G,Ericsson,2020-02-18,Macro
S-VAN-014,Vancouver VAN014,BC,British Columbia,Vancouver,49.26415,-123.08712,5G,Ericsson,2021-07-05,Rooftop
S-TOR-021,Toronto TOR021,ON,Ontario,Toronto,43.74103,-79.34806,4G,Samsung,2025-05-16,SmallCell
S-LAV-020,Laval LAV020,QC,Quebec,Laval,45.63368,-73.72587,4G,Ericsson,2020-12-04,Macro
S-OTT-022,Ottawa OTT022,ON,Ontario,Ottawa,45.39553,-75.65453,5G,Ericsson,2020-12-04,Macro
S-TOR-023,Toronto TOR023,ON,Ontario,Toronto,43.69398,-79.43563,5G,Nokia,2020-04-14,Rooftop
S-REG-002,Regina REG002,SK,Saskatchewan,Regina,50.44531,-104.60242,4G,Ericsson,2023-09-15,Rooftop
S-MIS-024,Mississauga MIS024,ON,Ontario,Mississauga,43.61974,-79.63611,5G,Samsung,2021-09-26,SmallCell
S-HAM-025,Hamilton HAM025,ON,Ontario,Hamilton,43.26146,-79.88249,4G,Samsung,2022-09-26,Rooftop
S-MTL-021,Montreal MTL021,QC,Quebec,Montreal,45.437,-73.53195,5G,Nokia,2024-11-20,Macro
S-MNC-005,Moncton MNC005,NB,New Brunswick,Moncton,46.10542,-64.8376,5G,Ericsson,2021-07-21,Macro
S-QBC-022,Quebec City QBC022,QC,Quebec,Quebec City,46.91718,-71.23337,5G,Nokia,2025-01-20,SmallCell
S-CAL-004,Calgary CAL004,AB,Alberta,Calgary,51.02876,-114.06034,5G,Samsung,2020-10-27,Rooftop
S-QBC-023,Quebec City QBC023,QC,Quebec,Quebec City,46.72824,-71.20952,4G,Ericsson,2023-01-27,Macro
