alarm_id,cell_id,date_key,hour,alarm_type_id,severity,duration_minutes,resolved_flag,mttr_minutes
A000081,C-TOR-009-003,2026-05-08,4,AT03,Major,8,1,8
A000082,C-TOR-009-003,2026-05-30,5,AT03,Major,5,1,5
A000083,C-LAV-006-001,2026-05-13,19,AT15,Minor,43,1,43
A000084,C-LAV-006-001,2026-05-11,20,AT04,Major,14,1,14
A000085,C-LAV-006-001,2026-05-05,5,AT03,Major,33,1,33
A000086,C-LAV-006-003,2026-05-09,4,AT07,Major,210,1,210
A000087,C-LAV-007-002,2026-05-22,22,AT03,Major,15,1,15
A000088,C-LAV-007-003,2026-05-09,7,AT03,Major,31,1,31
A000089,C-LAV-007-003,2026-05-14,20,AT15,Minor,23,1,23
A000090,C-CHA-003-002,2026-05-06,11,AT04,Major,191,1,191
A000091,C-CHA-003-002,2026-05-13,20,AT15,Minor,74,1,74
A000092,C-CHA-003-002,2026-05-17,8,AT10,Major,92,1,92
A000093,C-CHA-003-002,2026-05-22,1,AT14,Minor,81,1,81
A000094,C-CHA-003-002,2026-05-07,1,AT05,Major,20,1,20
A000095,C-CHA-003-003,2026-05-08,7,AT14,Minor,23,1,23
A000096,C-SUR-005-003,2026-05-27,22,AT05,Major,29,1,29
A000097,C-SUR-005-003,2026-05-21,16,AT04,Major,70,1,70
A000098,C-LDN-010-001,2026-05-21,3,AT15,Minor,71,1,71
A000099,C-LDN-010-002,2026-05-26,20,AT04,Major,5,1,5
A000100,C-LDN-010-003,2026-05-06,2,AT14,Minor,43,1,43
A000101,C-VIC-006-001,2026-05-20,13,AT04,Major,35,1,35
A000102,C-VIC-006-003,2026-05-31,15,AT03,Major,36,1,36
A000103,C-WPG-001-001,2026-05-20,18,AT03,Major,47,1,47
A000104,C-WPG-001-002,2026-05-22,1,AT15,Minor,5,1,5
A000105,C-WPG-001-003,2026-05-17,10,AT13,Minor,15,1,15
A000106,C-WPG-001-003,2026-05-28,17,AT15,Minor,10,1,10
A000107,C-WPG-001-003,2026-05-29,14,AT13,Minor,12,1,12
A000108,C-WPG-001-003,2026-05-31,16,AT03,Major,113,1,113
A000109,C-EDM-002-002,2026-05-24,14,AT03,Major,5,1,5
A000110,C-EDM-002-003,2026-05-22,2,AT04,Major,74,1,74
A000111,C-OTT-011-002,2026-05-06,4,AT05,Major,5,1,5
A000112,C-OTT-011-003,2026-05-18,10,AT05,Major,92,1,92
A000113,C-OTT-011-003,2026-05-07,14,AT14,Minor,23,1,23
A000114,C-WPG-002-002,2026-05-06,5,AT04,Major,281,1,281
A000115,C-WPG-002-002,2026-05-13,14,AT04,Major,60,1,60
A000116,C-WPG-002-003,2026-05-16,19,AT15,Minor,31,1,31
A000117,C-WPG-002-003,2026-05-21,2,AT04,Major,71,1,71
A000118,C-MNC-003-003,2026-05-21,20,AT05,Major,5,1,5
A000119,C-HAM-012-003,2026-05-11,23,AT14,Minor,55,1,55
A000120,C-HAM-012-003,2026-05-10,11,AT14,Minor,59,1,59
A000121,C-OTT-013-001,2026-05-31,9,AT03,Major,65,1,65
A000122,C-OTT-013-002,2026-05-05,17,AT14,Minor,59,1,59
A000123,C-OTT-013-003,2026-05-18,3,AT03,Major,17,1,17
A000124,C-OTT-014-001,2026-05-28,3,AT07,Major,18,1,18
A000125,C-OTT-014-003,2026-05-11,14,AT05,Major,96,1,96
A000126,C-OTT-014-003,2026-05-22,23,AT10,Major,49,1,49
A000127,C-SAS-001-002,2026-05-26,21,AT13,Minor,5,1,5
A000128,C-SAS-001-003,2026-05-29,17,AT15,Minor,5,1,5
A000129,C-SAS-001-003,2026-05-13,3,AT14,Minor,26,1,26
A000130,C-LAV-008-001,2026-05-21,9,AT04,Major,7,1,7
A000131,C-LAV-008-001,2026-05-05,15,AT15,Minor,8,1,8
A000132,C-LAV-008-001,2026-05-05,7,AT15,Minor,56,1,56
A000133,C-LAV-008-001,2026-05-15,5,AT04,Major,112,1,112
A000134,C-LAV-008-001,2026-05-14,14,AT14,Minor,33,1,33
A000135,C-LAV-008-002,2026-05-07,20,AT03,Major,34,1,34
A000136,C-LAV-008-003,2026-05-29,5,AT14,Minor,86,1,86
A000137,C-QBC-009-001,2026-05-15,14,AT14,Minor,7,1,7
A000138,C-QBC-009-003,2026-05-09,19,AT15,Minor,7,1,7
A000139,C-QBC-009-003,2026-05-11,10,AT05,Major,28,1,28
A000140,C-MNC-004-001,2026-05-16,9,AT13,Minor,11,1,11
A000141,C-MNC-004-001,2026-05-27,1,AT04,Major,14,1,14
A000142,C-MNC-004-003,2026-05-17,22,AT10,Major,82,1,82
A000143,C-MNC-004-003,2026-05-23,1,AT03,Major,19,1,19
A000144,C-MNC-004-003,2026-05-23,12,AT05,Major,55,1,55
A000145,C-LDN-015-001,2026-05-08,12,AT07,Major,157,1,157
A000146,C-LDN-015-002,2026-05-18,23,AT10,Major,132,1,132
A000147,C-LDN-015-002,2026-05-18,23,AT10,Major,16,1,16
A000148,C-LDN-015-003,2026-05-14,23,AT10,Major,29,1,29
A000149,C-LDN-015-003,2026-05-17,20,AT05,Major,17,1,17
A000150,C-LDN-015-003,2026-05-28,13,AT15,Minor,9,1,9
A000151,C-LDN-015-003,2026-05-23,23,AT14,Minor,24,1,24
A000152,C-QBC-010-001,2026-05-05,6,AT14,Minor,8,1,8
A000153,C-QBC-010-001,2026-05-13,19,AT05,Major,42,1,42
A000154,C-QBC-010-002,2026-05-17,5,AT14,Minor,81,1,81
A000155,C-QBC-010-002,2026-05-25,5,AT13,Minor,17,1,17
A000156,C-QBC-010-002,2026-05-14,9,AT04,Major,32,1,32
A000157,C-HAM-016-001,2026-05-17,1,AT10,Major,118,1,118
A000158,C-HAM-016-003,2026-05-23,17,AT04,Major,128,1,128
A000159,C-HAM-016-003,2026-05-06,23,AT07,Major,6,1,6
A000160,C-WPG-003-001,2026-05-20,19,AT05,Major,33,1,33
A000161,C-WPG-003-001,2026-05-12,17,AT14,Minor,69,1,69
A000162,C-QBC-011-001,2026-05-04,15,AT04,Major,5,1,5
A000163,C-QBC-011-002,2026-05-29,23,AT03,Major,11,1,11
A000164,C-QBC-011-002,2026-05-23,14,AT13,Minor,10,1,10
A000165,C-QBC-011-003,2026-05-09,10,AT04,Major,15,1,15
A000166,C-VAN-007-001,2026-05-24,8,AT03,Major,121,1,121
A000167,C-VAN-007-002,2026-05-27,7,AT05,Major,31,1,31
A000168,C-VAN-007-002,2026-05-27,12,AT14,Minor,29,1,29
A000169,C-VAN-007-003,2026-05-14,8,AT04,Major,12,1,12
A000170,C-VAN-007-003,2026-05-13,8,AT15,Minor,13,1,13
A000171,C-QBC-012-001,2026-05-31,21,AT14,Minor,5,1,5
A000172,C-QBC-012-001,2026-05-07,11,AT05,Major,36,1,36
A000173,C-TOR-017-001,2026-05-24,22,AT15,Minor,5,1,5
A000174,C-TOR-017-002,2026-05-23,1,AT13,Minor,70,1,70
A000175,C-TOR-017-002,2026-05-31,0,AT07,Major,61,1,61
A000176,C-TOR-017-003,2026-05-06,4,AT07,Major,17,1,17
A000177,C-QBC-013-001,2026-05-11,4,AT04,Major,48,1,48
A000178,C-QBC-013-002,2026-05-29,1,AT03,Major,13,1,13
A000179,C-TOR-018-002,2026-05-30,8,AT04,Major,5,1,5
A000180,C-TOR-018-003,2026-05-08,0,AT15,Minor,5,1,5
A000181,C-SUR-008-001,2026-05-05,11,AT03,Major,42,1,42
A000182,C-SUR-008-002,2026-05-06,20,AT04,Major,36,1,36
A000183,C-SUR-008-002,2026-05-15,15,AT14,Minor,38,1,38
A000184,C-SUR-008-002,2026-05-07,10,AT04,Major,91,1,91
A000185,C-TOR-019-001,2026-05-10,13,AT15,Minor,64,1,64
A000186,C-TOR-019-002,2026-05-23,1,AT07,Major,42,1,42
A000187,C-TOR-019-002,2026-05-17,16,AT10,Major,21,1,21
A000188,C-TOR-019-003,2026-05-09,10,AT13,Minor,37,1,37
A000189,C-LAV-014-002,2026-05-28,14,AT04,Major,13,1,13
A000190,C-LAV-014-002,2026-05-26,22,AT04,Major,21,1,21
A000191,C-SUR-009-001,2026-05-23,22,AT13,Minor,5,1,5
A000192,C-SUR-009-001,2026-05-22,3,AT04,Major,41,1,41
A000193,C-SUR-009-002,2026-05-18,20,AT07,Major,16,1,16
A000194,C-MTL-015-001,2026-05-13,20,AT03,Major,57,1,57
A000195,C-EDM-003-003,2026-05-07,4,AT05,Major,26,1,26
A000196,C-EDM-003-003,2026-05-23,15,AT05,Major,78,1,78
A000197,C-QBC-016-001,2026-05-05,4,AT14,Minor,9,1,9
A000198,C-QBC-016-001,2026-05-04,14,AT14,Minor,48,1,48
A000199,C-QBC-016-002,2026-05-25,3,AT03,Major,154,1,154
A000200,C-QBC-016-003,2026-05-15,18,AT05,Major,67,1,67
A000201,C-SUR-010-001,2026-05-29,19,AT03,Major,56,1,56
A000202,C-SUR-010-002,2026-05-23,13,AT15,Minor,12,1,12
A000203,C-SUR-010-002,2026-05-06,4,AT15,Minor,33,1,33
A000204,C-SUR-010-002,2026-05-30,23,AT13,Minor,13,1,13
A000205,C-SUR-010-003,2026-05-24,13,AT07,Major,144,1,144
A000206,C-SUR-010-003,2026-05-12,15,AT07,Major,52,1,52
A000207,C-SUR-010-003,2026-05-31,14,AT10,Major,46,1,46
A000208,C-SUR-011-002,2026-05-06,14,AT03,Major,33,1,33
A000209,C-SUR-011-002,2026-05-18,22,AT15,Minor,36,1,36
A000210,C-SUR-011-003,2026-05-07,18,AT04,Major,123,1,123
A000211,C-SUR-012-001,2026-05-16,23,AT05,Major,18,1,18
A000212,C-SUR-012-002,2026-05-10,8,AT05,Major,14,1,14
A000213,C-SUR-012-003,2026-05-27,1,AT03,Major,11,1,11
A000214,C-MTL-018-001,2026-05-23,19,AT03,Major,100,1,100
A000215,C-MTL-018-002,2026-05-10,6,AT04,Major,39,1,39
A000216,C-MTL-018-002,2026-05-19,22,AT04,Major,26,1,26
A000217,C-MTL-018-003,2026-05-11,14,AT13,Minor,111,1,111
A000218,C-VAN-013-001,2026-05-11,5,AT10,Major,15,1,15
A000219,C-VAN-013-001,2026-05-25,7,AT13,Minor,16,1,16
A000220,C-MTL-019-002,2026-05-28,20,AT05,Major,13,1,13
A000221,C-MTL-019-003,2026-05-25,8,AT03,Major,33,1,33
A000222,C-MTL-019-003,2026-05-13,21,AT04,Major,99,1,99
A000223,C-MTL-019-003,2026-05-18,8,AT13,Minor,42,1,42
A000224,C-MTL-019-003,2026-05-22,8,AT13,Minor,20,1,20
A000225,C-MTL-019-003,2026-05-17,10,AT15,Minor,21,1,21
A000226,C-HAM-020-003,2026-05-15,7,AT14,Minor,9,1,9
A000227,C-HAM-020-003,2026-05-20,3,AT10,Major,102,1,102
A000228,C-VAN-014-001,2026-05-09,22,AT14,Minor,119,1,119
A000229,C-VAN-014-001,2026-05-20,11,AT04,Major,15,1,15
A000230,C-VAN-014-001,2026-05-19,8,AT07,Major,68,1,68
A000231,C-VAN-014-002,2026-05-12,14,AT05,Major,8,1,8
A000232,C-TOR-021-001,2026-05-15,2,AT04,Major,12,1,12
A000233,C-TOR-021-003,2026-05-13,9,AT10,Major,43,1,43
A000234,C-TOR-021-003,2026-05-25,2,AT04,Major,34,1,34
A000235,C-TOR-021-003,2026-05-22,7,AT05,Major,47,1,47
A000236,C-LAV-020-001,2026-05-16,21,AT13,Minor,52,1,52
A000237,C-LAV-020-002,2026-05-18,23,AT14,Minor,48,1,48
A000238,C-LAV-020-002,2026-05-25,19,AT04,Major,9,1,9
A000239,C-LAV-020-002,2026-05-20,7,AT04,Major,5,1,5
A000240,C-LAV-020-002,2026-05-22,12,AT13,Minor,51,1,51
A000241,C-LAV-020-003,2026-05-09,9,AT15,Minor,7,1,7
A000242,C-LAV-020-003,2026-05-04,15,AT03,Major,128,1,128
A000243,C-LAV-020-003,2026-05-08,21,AT03,Major,48,1,48
A000244,C-LAV-020-003,2026-05-25,9,AT14,Minor,9,1,9
A000245,C-OTT-022-001,2026-05-28,19,AT14,Minor,12,1,12
A000246,C-OTT-022-001,2026-05-21,14,AT14,Minor,23,1,23
A000247,C-OTT-022-002,2026-05-13,4,AT05,Major,6,1,6
A000248,C-OTT-022-002,2026-05-28,5,AT14,Minor,8,1,8
A000249,C-OTT-022-003,2026-05-28,8,AT05,Major,5,1,5
A000250,C-TOR-023-001,2026-05-19,0,AT04,Major,7,1,7
A000251,C-TOR-023-001,2026-05-16,8,AT04,Major,57,1,57
A000252,C-TOR-023-001,2026-05-29,18,AT03,Major,52,1,52
A000253,C-TOR-023-002,2026-05-06,7,AT05,Major,41,1,41
A000254,C-TOR-023-003,2026-05-15,9,AT07,Major,23,1,23
A000255,C-TOR-023-003,2026-05-11,9,AT03,Major,14,1,14
A000256,C-REG-002-001,2026-05-12,0,AT04,Major,5,1,5
A000257,C-REG-002-001,2026-05-19,10,AT07,Major,90,1,90
A000258,C-REG-002-003,2026-05-07,4,AT04,Major,8,1,8
A000259,C-MIS-024-002,2026-05-27,5,AT05,Major,5,1,5
A000260,C-HAM-025-002,2026-05-23,6,AT05,Major,27,1,27
A000261,C-HAM-025-002,2026-05-18,12,AT05,Major,119,1,119
A000262,C-MTL-021-003,2026-05-22,18,AT05,Major,59,1,59
A000263,C-MTL-021-003,2026-05-30,9,AT03,Major,32,1,32
A000264,C-MNC-005-001,2026-05-17,18,AT07,Major,5,1,5
A000265,C-MNC-005-002,2026-05-06,18,AT05,Major,5,1,5
A000266,C-QBC-022-002,2026-05-22,7,AT03,Major,75,1,75
A000267,C-QBC-022-002,2026-05-08,10,AT03,Major,11,1,11
A000268,C-QBC-022-002,2026-05-04,12,AT14,Minor,77,1,77
A000269,C-QBC-022-002,2026-05-25,2,AT07,Major,18,1,18
A000270,C-QBC-022-003,2026-05-24,11,AT15,Minor,34,1,34
A000271,C-QBC-022-003,2026-05-06,19,AT14,Minor,38,1,38
A000272,C-QBC-022-003,2026-05-29,6,AT14,Minor,25,1,25
A000273,C-CAL-004-001,2026-05-24,4,AT05,Major,105,1,105
A000274,C-CAL-004-001,2026-05-06,21,AT07,Major,52,1,52
A000275,C-CAL-004-001,2026-05-26,9,AT14,Minor,8,1,8
A000276,C-CAL-004-001,2026-05-23,0,AT07,Major,13,1,13
A000277,C-CAL-004-002,2026-05-30,5,AT03,Major,5,1,5
A000278,C-CAL-004-003,2026-05-21,16,AT05,Major,12,1,12
A000279,C-CAL-004-003,2026-05-19,12,AT13,Minor,26,1,26
A000280,C-QBC-023-001,2026-05-31,20,AT04,Major,30,1,30
A000281,C-QBC-023-001,2026-05-09,15,AT04,Major,29,1,29
A000282,C-QBC-023-002,2026-05-24,10,AT05,Major,13,1,13
A000283,C-QBC-023-003,2026-05-31,16,AT03,Major,5,1,5
A000284,C-TOR-009-001,2026-05-25,16,AT01,Critical,182,1,182
A000285,C-TOR-009-001,2026-05-25,16,AT06,Critical,196,1,196
A000286,C-TOR-009-001,2026-05-25,16,AT11,Critical,193,1,193
A000287,C-TOR-009-002,2026-05-25,16,AT01,Critical,199,1,199
A000288,C-TOR-009-002,2026-05-25,16,AT06,Critical,221,1,221
A000289,C-TOR-009-002,2026-05-25,16,AT11,Critical,233,1,233
A000290,C-TOR-009-003,2026-05-25,16,AT01,Critical,184,1,184
A000291,C-TOR-009-003,2026-05-25,16,AT06,Critical,186,1,186
A000292,C-TOR-009-003,2026-05-25,16,AT11,Critical,200,1,200
A000293,C-VAN-N-002,2026-05-23,14,AT05,Major,70,1,99
A000294,C-VAN-N-002,2026-05-25,14,AT05,Major,175,1,150
A000295,C-VAN-N-002,2026-05-27,14,AT05,Major,66,1,145
A000296,C-VAN-N-002,2026-05-29,14,AT05,Major,128,1,147
A000297,C-VAN-001-002,2026-05-23,14,AT05,Major,67,1,165
A000298,C-VAN-001-002,2026-05-25,14,AT05,Major,85,1,77
A000299,C-VAN-001-002,2026-05-27,14,AT05,Major,87,1,156
A000300,C-VAN-001-002,2026-05-29,14,AT05,Major,61,1,105
A000301,C-VAN-001-003,2026-05-23,14,AT05,Major,96,1,74
A000302,C-VAN-001-003,2026-05-25,14,AT05,Major,76,1,114
A000303,C-VAN-001-003,2026-05-27,14,AT05,Major,67,1,168
A000304,C-VAN-001-003,2026-05-29,14,AT05,Major,136,1,167
A000305,C-VAN-004-003,2026-05-23,14,AT05,Major,159,1,63
A000306,C-VAN-004-003,2026-05-25,14,AT05,Major,89,1,76
A000307,C-VAN-004-003,2026-05-27,14,AT05,Major,157,1,96
A000308,C-VAN-004-003,2026-05-29,14,AT05,Major,68,1,141
A000309,C-SUR-005-001,2026-05-23,14,AT05,Major,172,1,147
A000310,C-SUR-005-001,2026-05-25,14,AT05,Major,66,1,94
A000311,C-SUR-005-001,2026-05-27,14,AT05,Major,121,1,64
A000312,C-SUR-005-001,2026-05-29,14,AT05,Major,132,1,106
A000313,C-SUR-005-002,2026-05-23,14,AT05,Major,128,1,111
A000314,C-SUR-005-002,2026-05-25,14,AT05,Major,174,1,94
A000315,C-SUR-005-002,2026-05-27,14,AT05,Major,101,1,178
A000316,C-SUR-005-002,2026-05-29,14,AT05,Major,92,1,130
A000317,C-SUR-005-003,2026-05-23,14,AT05,Major,87,1,161
A000318,C-SUR-005-003,2026-05-25,14,AT05,Major,61,1,157
A000319,C-SUR-005-003,2026-05-27,14,AT05,Major,83,1,90
A000320,C-SUR-005-003,2026-05-29,14,AT05,Major,85,1,171
A000321,C-VAN-007-001,2026-05-23,14,AT05,Major,87,1,101
A000322,C-VAN-007-001,2026-05-25,14,AT05,Major,61,1,65
A000323,C-VAN-007-001,2026-05-27,14,AT05,Major,73,1,175
A000324,C-VAN-007-001,2026-05-29,14,AT05,Major,109,1,153
A000325,C-SUR-009-001,2026-05-23,14,AT05,Major,60,1,130
A000326,C-SUR-009-001,2026-05-25,14,AT05,Major,155,1,144
A000327,C-SUR-009-001,2026-05-27,14,AT05,Major,140,1,64
A000328,C-SUR-009-001,2026-05-29,14,AT05,Major,152,1,71
A000329,C-SUR-009-002,2026-05-23,14,AT05,Major,121,1,128
A000330,C-SUR-009-002,2026-05-25,14,AT05,Major,124,1,117
A000331,C-SUR-009-002,2026-05-27,14,AT05,Major,150,1,173
A000332,C-SUR-009-002,2026-05-29,14,AT05,Major,162,1,138
A000333,C-SUR-009-003,2026-05-23,14,AT05,Major,75,1,61
A000334,C-SUR-009-003,2026-05-25,14,AT05,Major,71,1,97
A000335,C-SUR-009-003,2026-05-27,14,AT05,Major,138,1,112
A000336,C-SUR-009-003,2026-05-29,14,AT05,Major,66,1,95
A000337,C-SUR-011-001,2026-05-23,14,AT05,Major,131,1,169
A000338,C-SUR-011-001,2026-05-25,14,AT05,Major,160,1,125
A000339,C-SUR-011-001,2026-05-27,14,AT05,Major,135,1,112
A000340,C-SUR-011-001,2026-05-29,14,AT05,Major,93,1,70
A000341,C-SUR-011-002,2026-05-23,14,AT05,Major,64,1,159
A000342,C-SUR-011-002,2026-05-25,14,AT05,Major,164,1,105
A000343,C-SUR-011-002,2026-05-27,14,AT05,Major,171,1,78
A000344,C-SUR-011-002,2026-05-29,14,AT05,Major,175,1,101
A000345,C-SUR-011-003,2026-05-23,14,AT05,Major,127,1,81
A000346,C-SUR-011-003,2026-05-25,14,AT05,Major,74,1,106
A000347,C-SUR-011-003,2026-05-27,14,AT05,Major,68,1,175
A000348,C-SUR-011-003,2026-05-29,14,AT05,Major,68,1,94
A000349,C-VAN-014-003,2026-05-23,14,AT05,Major,109,1,106
A000350,C-VAN-014-003,2026-05-25,14,AT05,Major,141,1,163
A000351,C-VAN-014-003,2026-05-27,14,AT05,Major,103,1,136
A000352,C-VAN-014-003,2026-05-29,14,AT05,Major,78,1,163
A000353,C-TOR-009-001,2026-05-24,18,AT03,Major,237,1,140
A000354,C-TOR-009-002,2026-05-24,18,AT03,Major,238,1,161
A000355,C-TOR-009-003,2026-05-24,18,AT03,Major,146,1,120
A000356,C-TOR-017-001,2026-05-24,18,AT03,Major,163,1,229
A000357,C-TOR-017-002,2026-05-24,18,AT03,Major,135,1,169
A000358,C-TOR-017-003,2026-05-24,18,AT03,Major,200,1,153
A000359,C-TOR-018-001,2026-05-24,18,AT03,Major,141,1,233
A000360,C-TOR-018-002,2026-05-24,18,AT03,Major,120,1,122
A000361,C-TOR-018-003,2026-05-24,18,AT03,Major,141,1,189
A000362,C-TOR-019-001,2026-05-24,18,AT03,Major,195,1,192
A000363,C-TOR-019-002,2026-05-24,18,AT03,Major,131,1,132
A000364,C-TOR-019-003,2026-05-24,18,AT03,Major,164,1,156
A000365,C-VAN-N-002,2026-05-24,10,AT04,Major,102,1,102
A000366,C-VAN-N-002,2026-05-26,10,AT04,Major,130,1,93
A000367,C-VAN-N-002,2026-05-28,10,AT04,Major,101,0,0
A000368,C-VAN-N-002,2026-05-30,10,AT04,Major,134,0,0
