req_id,posting_date,hire_date,status,department_id,role_id,location_id,applicants,interviewed,offers_made,offers_accepted,time_to_fill_days,source_channel,hired_employee_id
REQ-00092,2024-07-31,2024-09-15,Filled,DPT-006,ROL-002,LOC-004,323,23,3,1,46,Employee referral,EMP-00114
REQ-00093,2023-06-08,2023-10-03,Filled,DPT-006,ROL-004,LOC-004,407,28,3,1,117,LinkedIn,EMP-00115
REQ-00094,2022-11-20,2023-01-15,Filled,DPT-004,ROL-002,LOC-001,541,30,5,1,56,LinkedIn,EMP-00117
REQ-00095,2025-10-25,2026-02-24,Filled,DPT-006,ROL-028,LOC-001,429,40,3,1,122,Direct apply,EMP-00118
REQ-00096,2025-02-15,2025-04-09,Filled,DPT-009,ROL-008,LOC-007,528,36,4,1,53,LinkedIn,EMP-00119
REQ-00097,2023-02-01,2023-04-21,Filled,DPT-020,ROL-026,LOC-001,312,27,3,1,79,LinkedIn,EMP-00120
REQ-00098,2022-05-15,2022-07-15,Filled,DPT-010,ROL-020,LOC-004,470,31,4,1,61,LinkedIn,EMP-00121
REQ-00099,2025-02-15,2025-04-26,Filled,DPT-021,ROL-023,LOC-002,141,13,2,1,70,Agency,EMP-00122
REQ-00100,2025-02-21,2025-04-02,Filled,DPT-013,ROL-010,LOC-001,375,19,3,1,40,Conference / event,EMP-00123
REQ-00101,2024-03-08,2024-05-03,Filled,DPT-004,ROL-002,LOC-007,350,24,3,1,56,Direct apply,EMP-00124
REQ-00102,2023-11-13,2024-02-24,Filled,DPT-002,ROL-003,LOC-007,223,12,1,1,103,University recruit,EMP-00125
REQ-00103,2023-05-21,2023-07-02,Filled,DPT-012,ROL-010,LOC-004,249,22,4,1,42,Conference / event,EMP-00126
REQ-00104,2025-04-22,2025-07-10,Filled,DPT-002,ROL-003,LOC-003,655,54,10,1,79,Employee referral,EMP-00127
REQ-00105,2024-03-16,2024-05-07,Filled,DPT-009,ROL-008,LOC-002,632,37,7,1,52,LinkedIn,EMP-00128
REQ-00106,2023-01-02,2023-06-12,Filled,DPT-022,ROL-030,LOC-002,538,26,2,1,161,Direct apply,EMP-00129
REQ-00107,2022-04-11,2022-05-12,Filled,DPT-017,ROL-016,LOC-003,377,35,5,1,31,LinkedIn,EMP-00131
REQ-00108,2024-06-27,2024-09-17,Filled,DPT-004,ROL-003,LOC-001,494,42,4,1,82,LinkedIn,EMP-00132
REQ-00109,2024-07-29,2024-09-11,Filled,DPT-001,ROL-002,LOC-001,84,7,1,1,44,Employee referral,EMP-00133
REQ-00110,2024-08-27,2024-12-12,Filled,DPT-006,ROL-028,LOC-001,476,29,5,1,107,University recruit,EMP-00134
REQ-00111,2025-06-18,2025-08-20,Filled,DPT-001,ROL-002,LOC-001,55,4,1,1,63,LinkedIn,EMP-00136
REQ-00112,2025-04-01,2025-05-31,Filled,DPT-013,ROL-011,LOC-005,699,30,3,1,60,Direct apply,EMP-00137
REQ-00113,2024-08-23,2024-10-01,Filled,DPT-022,ROL-022,LOC-003,544,42,7,1,39,LinkedIn,EMP-00138
REQ-00114,2024-05-18,2024-06-12,Filled,DPT-009,ROL-020,LOC-001,68,6,1,1,25,Indeed,EMP-00139
REQ-00115,2024-03-30,2024-06-18,Filled,DPT-017,ROL-017,LOC-001,164,16,1,1,80,LinkedIn,EMP-00140
REQ-00116,2025-08-16,2025-09-21,Filled,DPT-007,ROL-001,LOC-006,192,8,1,1,36,Agency,EMP-00141
REQ-00117,2024-08-11,2024-10-02,Filled,DPT-004,ROL-002,LOC-004,263,26,3,1,52,LinkedIn,EMP-00142
REQ-00118,2023-11-28,2024-02-24,Filled,DPT-009,ROL-021,LOC-001,353,26,2,1,88,Direct apply,EMP-00143
REQ-00119,2025-05-05,2025-07-10,Filled,DPT-009,ROL-007,LOC-001,185,16,2,1,66,Conference / event,EMP-00144
REQ-00120,2024-06-11,2024-08-15,Filled,DPT-009,ROL-020,LOC-001,175,8,1,1,65,LinkedIn,EMP-00145
REQ-00121,2025-04-28,2025-09-05,Filled,DPT-020,ROL-028,LOC-001,261,12,1,1,130,LinkedIn,EMP-00146
REQ-00122,2025-06-28,2025-08-26,Filled,DPT-009,ROL-020,LOC-004,589,54,7,1,59,Conference / event,EMP-00147
REQ-00123,2024-03-15,2024-04-16,Filled,DPT-009,ROL-020,LOC-001,426,17,2,1,32,Agency,EMP-00148
REQ-00124,2024-03-29,2024-05-29,Filled,DPT-017,ROL-016,LOC-001,90,7,1,1,61,Direct apply,EMP-00149
REQ-00125,2022-06-26,2022-09-20,Filled,DPT-003,ROL-025,LOC-005,55,4,1,1,86,Indeed,EMP-00150
REQ-00126,2025-01-22,2025-03-24,Filled,DPT-001,ROL-001,LOC-007,196,14,1,1,61,Employee referral,EMP-00151
REQ-00127,2023-02-20,2023-03-17,Filled,DPT-003,ROL-002,LOC-005,164,12,1,1,25,Direct apply,EMP-00152
REQ-00128,2021-12-16,2022-05-23,Filled,DPT-016,ROL-028,LOC-004,614,55,11,1,158,Employee referral,EMP-00153
REQ-00129,2023-05-28,2023-10-27,Filled,DPT-004,ROL-029,LOC-006,471,31,5,1,152,LinkedIn,EMP-00155
REQ-00130,2023-10-28,2023-12-12,Filled,DPT-003,ROL-003,LOC-002,575,47,4,1,45,LinkedIn,EMP-00156
REQ-00131,2024-02-19,2024-06-02,Filled,DPT-024,ROL-023,LOC-003,320,24,1,1,104,LinkedIn,EMP-00158
REQ-00132,2023-10-12,2023-11-28,Filled,DPT-001,ROL-002,LOC-001,677,61,5,1,47,Employee referral,EMP-00159
REQ-00133,2024-06-24,2024-09-24,Filled,DPT-007,ROL-003,LOC-004,95,5,1,1,92,Employee referral,EMP-00160
REQ-00134,2025-04-29,2025-09-21,Filled,DPT-001,ROL-004,LOC-006,242,11,2,1,145,Conference / event,EMP-00161
REQ-00135,2024-12-27,2025-03-13,Filled,DPT-020,ROL-017,LOC-004,646,59,11,1,76,LinkedIn,EMP-00162
REQ-00136,2024-08-19,2024-10-09,Filled,DPT-006,ROL-002,LOC-003,343,30,5,1,51,LinkedIn,EMP-00164
REQ-00137,2024-12-01,2025-01-28,Filled,DPT-020,ROL-019,LOC-001,610,28,5,1,58,Employee referral,EMP-00165
REQ-00138,2024-08-06,2024-11-26,Filled,DPT-018,ROL-029,LOC-004,336,25,4,1,112,LinkedIn,EMP-00166
REQ-00139,2025-02-04,2025-04-08,Filled,DPT-005,ROL-003,LOC-001,86,6,1,1,63,Agency,EMP-00167
REQ-00140,2024-10-03,2025-03-19,Filled,DPT-002,ROL-004,LOC-001,617,32,6,1,167,Employee referral,EMP-00168
REQ-00141,2023-03-01,2023-05-06,Filled,DPT-006,ROL-002,LOC-003,155,7,1,1,66,LinkedIn,EMP-00169
REQ-00142,2025-02-01,2025-07-27,Filled,DPT-005,ROL-004,LOC-001,218,11,1,1,176,Indeed,EMP-00170
REQ-00143,2024-08-18,2024-10-28,Filled,DPT-021,ROL-023,LOC-001,121,10,1,1,71,LinkedIn,EMP-00171
REQ-00144,2023-09-06,2023-10-26,Filled,DPT-012,ROL-010,LOC-003,373,17,3,1,50,Conference / event,EMP-00172
REQ-00145,2023-08-09,2023-09-03,Filled,DPT-001,ROL-002,LOC-007,103,8,1,1,25,Employee referral,EMP-00173
REQ-00146,2024-02-16,2024-04-05,Filled,DPT-009,ROL-020,LOC-006,90,7,1,1,49,Conference / event,EMP-00174
REQ-00147,2025-02-08,2025-08-06,Filled,DPT-016,ROL-025,LOC-004,473,46,4,1,179,LinkedIn,EMP-00175
REQ-00148,2024-12-07,2025-01-17,Filled,DPT-003,ROL-002,LOC-001,693,39,6,1,41,LinkedIn,EMP-00176
REQ-00149,2024-04-20,2024-07-07,Filled,DPT-013,ROL-029,LOC-001,399,32,4,1,78,Agency,EMP-00177
REQ-00150,2023-05-24,2023-07-20,Filled,DPT-023,ROL-022,LOC-007,197,12,2,1,57,Employee referral,EMP-00178
REQ-00151,2025-04-05,2025-08-27,Filled,DPT-017,ROL-030,LOC-001,299,19,2,1,144,LinkedIn,EMP-00179
REQ-00152,2025-03-29,2025-06-05,Filled,DPT-010,ROL-020,LOC-002,170,14,2,1,68,Employee referral,EMP-00180
REQ-00153,2024-06-20,2024-07-28,Filled,DPT-001,ROL-002,LOC-001,231,16,1,1,38,LinkedIn,EMP-00181
REQ-00154,2022-04-13,2022-07-05,Filled,DPT-012,ROL-028,LOC-001,278,23,4,1,83,Agency,EMP-00182
REQ-00155,2021-08-27,2022-02-11,Filled,DPT-021,ROL-024,LOC-001,320,31,6,1,168,LinkedIn,EMP-00183
REQ-00156,2024-05-24,2024-10-24,Filled,DPT-008,ROL-004,LOC-001,610,25,4,1,153,Agency,EMP-00184
REQ-00157,2022-09-06,2022-11-10,Filled,DPT-023,ROL-022,LOC-007,100,8,1,1,65,Direct apply,EMP-00185
REQ-00158,2025-05-30,2025-07-25,Filled,DPT-016,ROL-016,LOC-003,454,33,4,1,56,Agency,EMP-00186
REQ-00159,2022-06-16,2022-08-20,Filled,DPT-002,ROL-002,LOC-001,604,59,7,1,65,LinkedIn,EMP-00187
REQ-00160,2024-10-19,2024-12-03,Filled,DPT-023,ROL-022,LOC-001,697,59,5,1,45,Direct apply,EMP-00188
REQ-00161,2022-05-21,2022-07-14,Filled,DPT-019,ROL-017,LOC-001,571,30,2,1,54,Employee referral,EMP-00189
REQ-00162,2025-05-31,2025-08-01,Filled,DPT-012,ROL-011,LOC-004,417,28,5,1,62,Indeed,EMP-00190
REQ-00163,2024-12-05,2024-12-30,Filled,DPT-025,ROL-022,LOC-006,123,5,1,1,25,Indeed,EMP-00191
REQ-00164,2024-12-05,2025-03-24,Filled,DPT-020,ROL-017,LOC-001,401,16,3,1,109,LinkedIn,EMP-00192
REQ-00165,2024-03-08,2024-05-11,Filled,DPT-001,ROL-002,LOC-001,335,25,4,1,64,Indeed,EMP-00193
REQ-00166,2022-08-16,2022-10-06,Filled,DPT-002,ROL-002,LOC-001,438,35,3,1,51,LinkedIn,EMP-00194
REQ-00167,2024-08-19,2024-10-27,Filled,DPT-002,ROL-003,LOC-001,71,4,1,1,69,University recruit,EMP-00195
REQ-00168,2023-07-15,2023-10-01,Filled,DPT-002,ROL-005,LOC-006,527,37,4,1,78,Employee referral,EMP-00196
REQ-00169,2025-01-23,2025-03-25,Filled,DPT-022,ROL-023,LOC-001,217,8,1,1,61,Agency,EMP-00197
REQ-00170,2023-06-19,2023-08-17,Filled,DPT-016,ROL-015,LOC-001,353,25,5,1,59,Employee referral,EMP-00198
REQ-00171,2023-03-18,2023-04-14,Filled,DPT-002,ROL-002,LOC-001,445,27,4,1,27,Employee referral,EMP-00199
REQ-00172,2023-12-31,2024-04-16,Filled,DPT-003,ROL-003,LOC-005,555,53,7,1,107,Employee referral,EMP-00200
REQ-00173,2025-04-14,2025-06-22,Filled,DPT-005,ROL-001,LOC-001,608,26,4,1,69,LinkedIn,EMP-00201
REQ-00174,2024-11-22,2025-01-02,Filled,DPT-013,ROL-010,LOC-005,318,25,2,1,41,Direct apply,EMP-00202
REQ-00175,2025-04-07,2025-09-09,Filled,DPT-018,ROL-034,LOC-001,383,25,3,1,155,Agency,EMP-00205
REQ-00176,2025-03-29,2025-07-04,Filled,DPT-020,ROL-017,LOC-003,676,64,7,1,97,Employee referral,EMP-00206
REQ-00177,2024-06-28,2024-10-13,Filled,DPT-009,ROL-008,LOC-001,90,7,1,1,107,University recruit,EMP-00207
REQ-00178,2023-05-23,2023-07-13,Filled,DPT-002,ROL-002,LOC-001,271,13,2,1,51,Employee referral,EMP-00208
REQ-00179,2023-10-18,2023-12-31,Filled,DPT-020,ROL-017,LOC-001,627,33,5,1,74,Agency,EMP-00209
REQ-00180,2024-10-28,2025-01-10,Filled,DPT-012,ROL-013,LOC-005,343,27,4,1,74,LinkedIn,EMP-00210
REQ-00181,2024-11-04,2024-12-27,Filled,DPT-017,ROL-015,LOC-007,535,45,9,1,53,Employee referral,EMP-00211
REQ-00182,2025-01-23,2025-03-16,Filled,DPT-010,ROL-007,LOC-001,591,51,6,1,52,Indeed,EMP-00212
REQ-00183,2024-09-04,2025-02-23,Filled,DPT-002,ROL-005,LOC-003,503,50,4,1,172,LinkedIn,EMP-00215
REQ-00184,2023-03-29,2023-04-29,Filled,DPT-007,ROL-001,LOC-001,206,10,1,1,31,LinkedIn,EMP-00216
REQ-00185,2025-09-06,2025-10-22,Filled,DPT-010,ROL-020,LOC-001,520,36,2,1,46,LinkedIn,EMP-00218
REQ-00186,2024-03-01,2024-04-06,Filled,DPT-001,ROL-001,LOC-005,189,12,2,1,36,Employee referral,EMP-00219
REQ-00187,2023-11-02,2023-12-04,Filled,DPT-004,ROL-001,LOC-007,59,4,1,1,32,Employee referral,EMP-00220
REQ-00188,2023-12-18,2024-05-03,Filled,DPT-021,ROL-024,LOC-001,506,47,4,1,137,Employee referral,EMP-00221
REQ-00189,2023-08-04,2023-10-11,Filled,DPT-002,ROL-001,LOC-006,623,50,7,1,68,University recruit,EMP-00223
REQ-00190,2025-10-04,2025-11-20,Filled,DPT-020,ROL-016,LOC-003,559,38,5,1,47,Indeed,EMP-00224
REQ-00191,2022-07-08,2022-09-13,Filled,DPT-024,ROL-022,LOC-003,459,25,3,1,67,Agency,EMP-00225
REQ-00192,2025-09-14,2026-02-25,Filled,DPT-001,ROL-004,LOC-001,57,5,1,1,164,LinkedIn,EMP-00226
REQ-00193,2025-02-01,2025-03-22,Filled,DPT-001,ROL-002,LOC-001,345,26,3,1,49,Agency,EMP-00228
REQ-00194,2024-11-26,2025-01-23,Filled,DPT-022,ROL-022,LOC-001,634,37,7,1,58,Direct apply,EMP-00229
REQ-00195,2023-11-19,2024-05-16,Filled,DPT-006,ROL-004,LOC-001,430,42,9,1,179,Employee referral,EMP-00230
REQ-00196,2022-11-27,2023-02-26,Filled,DPT-006,ROL-003,LOC-001,424,18,3,1,91,Employee referral,EMP-00231
REQ-00197,2024-02-17,2024-04-11,Filled,DPT-009,ROL-021,LOC-004,693,53,9,1,54,Agency,EMP-00232
REQ-00198,2023-02-05,2023-07-18,Filled,DPT-012,ROL-014,LOC-004,178,12,2,1,163,Indeed,EMP-00233
REQ-00199,2025-07-21,2025-10-19,Filled,DPT-018,ROL-017,LOC-003,686,64,11,1,90,Agency,EMP-00234
REQ-00200,2023-02-18,2023-04-27,Filled,DPT-003,ROL-002,LOC-001,615,51,4,1,68,LinkedIn,EMP-00235
REQ-00201,2023-05-19,2023-11-27,Filled,DPT-022,ROL-034,LOC-001,69,5,1,1,192,LinkedIn,EMP-00237
REQ-00202,2022-08-12,2023-01-18,Filled,DPT-010,ROL-009,LOC-002,607,43,7,1,159,LinkedIn,EMP-00238
REQ-00203,2022-01-10,2022-04-17,Filled,DPT-001,ROL-027,LOC-002,417,37,4,1,97,Agency,EMP-00239
REQ-00204,2023-03-02,2023-05-28,Filled,DPT-023,ROL-023,LOC-001,219,9,1,1,87,Indeed,EMP-00240
REQ-00205,2023-02-22,2023-06-12,Filled,DPT-026,ROL-023,LOC-001,342,20,2,1,110,LinkedIn,EMP-00241
REQ-00206,2023-04-07,2023-09-28,Filled,DPT-019,ROL-034,LOC-006,653,49,6,1,174,University recruit,EMP-00242
REQ-00207,2023-04-01,2023-06-03,Filled,DPT-018,ROL-015,LOC-004,423,22,2,1,63,University recruit,EMP-00243
REQ-00208,2026-03-19,2026-04-24,Filled,DPT-019,ROL-015,LOC-001,531,36,7,1,36,Agency,EMP-00244
REQ-00209,2023-06-02,2023-11-21,Filled,DPT-005,ROL-004,LOC-004,473,45,5,1,172,Conference / event,EMP-00245
REQ-00210,2024-07-25,2024-08-24,Filled,DPT-011,ROL-010,LOC-001,640,58,5,1,30,Employee referral,EMP-00246
