comp_action_id,employee_id,effective_date,action_type,previous_base_salary,new_base_salary,bonus_target_pct,equity_grant_cad,department_id,role_id
CMP-000040,EMP-00017,2025-12-06,Hire,179000,201000,0.2,201000,DPT-025,ROL-030
CMP-000041,EMP-00018,2024-09-28,Hire,77000,85000,0.1,17000,DPT-004,ROL-001
CMP-000042,EMP-00018,2025-05-05,Promotion,85000,94290,0.1,0,DPT-004,ROL-001
CMP-000043,EMP-00018,2025-11-09,Annual Adjustment,85000,87897,0.1,0,DPT-004,ROL-001
CMP-000044,EMP-00019,2025-01-20,Hire,95000,103000,0.1,20600,DPT-007,ROL-002
CMP-000045,EMP-00019,2025-11-04,Annual Adjustment,103000,107341,0.1,0,DPT-007,ROL-002
CMP-000046,EMP-00020,2024-11-05,Hire,149000,169000,0.1,84500,DPT-003,ROL-004
CMP-000047,EMP-00020,2025-11-10,Equity Refresh,169000,169000,0.1,49800,DPT-003,ROL-004
CMP-000048,EMP-00021,2023-08-09,Hire,119000,134000,0.1,26800,DPT-012,ROL-012
CMP-000049,EMP-00021,2024-06-22,Annual Adjustment,134000,136894,0.1,0,DPT-012,ROL-012
CMP-000050,EMP-00021,2025-05-21,Annual Adjustment,134000,136904,0.1,0,DPT-012,ROL-012
CMP-000051,EMP-00022,2025-08-08,Hire,188000,218000,0.2,218000,DPT-026,ROL-030
CMP-000052,EMP-00023,2024-10-11,Hire,86000,96000,0.1,19200,DPT-018,ROL-016
CMP-000053,EMP-00023,2025-10-01,Annual Adjustment,96000,101331,0.1,0,DPT-018,ROL-016
CMP-000054,EMP-00023,2026-04-15,Annual Adjustment,96000,98948,0.1,0,DPT-018,ROL-016
CMP-000055,EMP-00024,2025-12-12,Hire,302000,334000,0.2,334000,DPT-004,ROL-032
CMP-000056,EMP-00025,2023-02-12,Hire,117000,135000,0.1,27000,DPT-013,ROL-014
CMP-000057,EMP-00025,2023-09-01,Equity Refresh,135000,135000,0.1,26563,DPT-013,ROL-014
CMP-000058,EMP-00026,2024-01-08,Hire,172000,193000,0.2,193000,DPT-018,ROL-025
CMP-000059,EMP-00026,2024-08-31,Annual Adjustment,193000,199923,0.2,0,DPT-018,ROL-025
CMP-000060,EMP-00026,2025-06-05,Promotion,193000,213898,0.2,0,DPT-018,ROL-025
CMP-000061,EMP-00027,2024-01-04,Hire,116000,132000,0.1,26400,DPT-006,ROL-003
CMP-000062,EMP-00027,2025-02-12,Termination,132000,0,0,0,DPT-006,ROL-003
CMP-000063,EMP-00028,2024-10-27,Hire,116000,131000,0.1,26200,DPT-001,ROL-003
CMP-000064,EMP-00028,2025-11-15,Termination,131000,0,0,0,DPT-001,ROL-003
CMP-000065,EMP-00029,2024-06-06,Hire,146000,161000,0.1,80500,DPT-005,ROL-004
CMP-000066,EMP-00029,2025-05-02,Equity Refresh,161000,161000,0.1,87936,DPT-005,ROL-004
CMP-000067,EMP-00029,2026-03-06,Annual Adjustment,161000,167201,0.1,0,DPT-005,ROL-004
CMP-000068,EMP-00030,2024-07-01,Hire,123000,142000,0.1,28400,DPT-010,ROL-021
CMP-000069,EMP-00030,2025-02-09,Annual Adjustment,142000,148211,0.1,0,DPT-010,ROL-021
CMP-000070,EMP-00030,2026-01-16,Annual Adjustment,142000,148518,0.1,0,DPT-010,ROL-021
CMP-000071,EMP-00031,2022-07-07,Hire,97000,110000,0.1,22000,DPT-021,ROL-023
CMP-000072,EMP-00031,2023-04-15,Annual Adjustment,110000,116498,0.1,0,DPT-021,ROL-023
CMP-000073,EMP-00031,2024-04-01,Annual Adjustment,110000,115444,0.1,0,DPT-021,ROL-023
CMP-000074,EMP-00031,2024-12-18,Promotion,110000,127200,0.1,0,DPT-021,ROL-023
CMP-000075,EMP-00032,2022-02-15,Hire,134000,147000,0.1,29400,DPT-024,ROL-024
CMP-000076,EMP-00032,2022-10-23,Annual Adjustment,147000,155441,0.1,0,DPT-024,ROL-024
CMP-000077,EMP-00032,2023-12-07,Annual Adjustment,147000,154421,0.1,0,DPT-024,ROL-024
CMP-000078,EMP-00033,2024-05-19,Hire,96000,107000,0.1,21400,DPT-006,ROL-002
CMP-000079,EMP-00033,2025-02-03,Annual Adjustment,107000,112058,0.1,0,DPT-006,ROL-002
CMP-000080,EMP-00033,2025-12-02,Annual Adjustment,107000,109501,0.1,0,DPT-006,ROL-002
CMP-000081,EMP-00034,2024-06-20,Hire,308000,344000,0.2,344000,DPT-008,ROL-032
CMP-000082,EMP-00035,2024-02-11,Hire,67000,75000,0.1,15000,DPT-017,ROL-015
CMP-000083,EMP-00035,2024-08-23,Annual Adjustment,75000,77830,0.1,0,DPT-017,ROL-015
CMP-000084,EMP-00036,2026-02-28,Hire,121000,141000,0.1,28200,DPT-022,ROL-024
CMP-000085,EMP-00037,2023-03-19,Hire,54000,62000,0.1,12400,DPT-020,ROL-018
CMP-000086,EMP-00038,2020-11-11,Hire,176000,201000,0.1,100500,DPT-008,ROL-005
CMP-000087,EMP-00038,2021-09-01,Annual Adjustment,201000,205507,0.1,0,DPT-008,ROL-005
CMP-000088,EMP-00038,2022-09-04,Annual Adjustment,201000,210158,0.1,0,DPT-008,ROL-005
CMP-000089,EMP-00039,2024-11-01,Hire,99000,115000,0.1,23000,DPT-018,ROL-017
CMP-000090,EMP-00039,2025-09-08,Termination,115000,0,0,0,DPT-018,ROL-017
CMP-000091,EMP-00040,2020-06-24,Hire,137000,160000,0.1,80000,DPT-002,ROL-004
CMP-000092,EMP-00040,2021-01-04,Annual Adjustment,160000,165400,0.1,0,DPT-002,ROL-004
CMP-000093,EMP-00041,2024-04-09,Hire,97000,110000,0.1,22000,DPT-004,ROL-002
CMP-000094,EMP-00042,2024-12-25,Hire,89000,103000,0.1,20600,DPT-007,ROL-002
CMP-000095,EMP-00042,2026-01-14,Promotion,103000,120415,0.1,0,DPT-007,ROL-002
CMP-000096,EMP-00043,2025-02-10,Hire,98000,113000,0.1,22600,DPT-009,ROL-020
CMP-000097,EMP-00044,2025-03-26,Hire,76000,85000,0.1,17000,DPT-023,ROL-022
CMP-000098,EMP-00044,2026-05-04,Annual Adjustment,85000,88220,0.1,0,DPT-023,ROL-022
CMP-000099,EMP-00045,2023-12-06,Hire,99000,108000,0.1,21600,DPT-023,ROL-023
CMP-000100,EMP-00046,2024-09-03,Hire,120000,135000,0.1,27000,DPT-023,ROL-024
CMP-000101,EMP-00046,2025-08-10,Promotion,135000,163473,0.1,0,DPT-023,ROL-024
CMP-000102,EMP-00046,2026-03-29,Termination,135000,0,0,0,DPT-023,ROL-024
CMP-000103,EMP-00047,2024-05-02,Hire,118000,131000,0.1,26200,DPT-007,ROL-003
CMP-000104,EMP-00047,2026-01-10,Termination,131000,0,0,0,DPT-007,ROL-003
CMP-000105,EMP-00048,2021-10-28,Hire,182000,209000,0.1,104500,DPT-002,ROL-005
CMP-000106,EMP-00048,2022-07-21,Annual Adjustment,209000,216001,0.1,0,DPT-002,ROL-005
CMP-000107,EMP-00049,2023-01-06,Hire,174000,194000,0.2,194000,DPT-005,ROL-025
CMP-000108,EMP-00049,2024-01-02,Equity Refresh,194000,194000,0.2,241107,DPT-005,ROL-025
CMP-000109,EMP-00050,2024-04-08,Hire,73000,85000,0.1,17000,DPT-005,ROL-001
CMP-000110,EMP-00050,2024-12-07,Promotion,85000,98965,0.1,0,DPT-005,ROL-001
CMP-000111,EMP-00051,2023-11-15,Hire,274000,311000,0.2,311000,DPT-021,ROL-034
CMP-000112,EMP-00051,2024-07-13,Annual Adjustment,311000,320314,0.2,0,DPT-021,ROL-034
CMP-000113,EMP-00052,2025-08-07,Hire,76000,86000,0.1,17200,DPT-023,ROL-022
CMP-000114,EMP-00052,2026-04-29,Annual Adjustment,86000,88822,0.1,0,DPT-023,ROL-022
CMP-000115,EMP-00053,2024-04-20,Hire,300000,336000,0.2,336000,DPT-020,ROL-032
CMP-000116,EMP-00053,2025-05-27,Equity Refresh,336000,336000,0.2,309344,DPT-020,ROL-032
CMP-000117,EMP-00053,2025-08-24,Termination,336000,0,0,0,DPT-020,ROL-032
CMP-000118,EMP-00054,2020-12-27,Hire,145000,159000,0.1,79500,DPT-008,ROL-004
CMP-000119,EMP-00055,2022-12-23,Hire,93000,107000,0.1,21400,DPT-007,ROL-002
CMP-000120,EMP-00055,2023-10-17,Annual Adjustment,107000,110453,0.1,0,DPT-007,ROL-002
CMP-000121,EMP-00055,2024-05-08,Annual Adjustment,107000,112953,0.1,0,DPT-007,ROL-002
CMP-000122,EMP-00056,2021-11-14,Hire,116000,128000,0.1,25600,DPT-014,ROL-014
CMP-000123,EMP-00056,2022-06-08,Promotion,128000,149239,0.1,0,DPT-014,ROL-014
CMP-000124,EMP-00056,2023-04-24,Annual Adjustment,128000,135331,0.1,0,DPT-014,ROL-014
CMP-000125,EMP-00056,2024-02-24,Termination,128000,0,0,0,DPT-014,ROL-014
CMP-000126,EMP-00057,2025-11-13,Hire,152000,170000,0.1,85000,DPT-002,ROL-004
CMP-000127,EMP-00058,2024-06-24,Hire,157000,179000,0.2,179000,DPT-003,ROL-025
CMP-000128,EMP-00058,2025-01-22,Annual Adjustment,179000,189535,0.2,0,DPT-003,ROL-025
CMP-000129,EMP-00059,2023-05-05,Hire,73000,83000,0.1,16600,DPT-021,ROL-022
CMP-000130,EMP-00059,2023-11-29,Annual Adjustment,83000,86049,0.1,0,DPT-021,ROL-022
CMP-000131,EMP-00059,2024-01-30,Termination,83000,0,0,0,DPT-021,ROL-022
CMP-000132,EMP-00060,2023-12-10,Hire,116000,127000,0.1,25400,DPT-001,ROL-003
CMP-000133,EMP-00060,2024-08-29,Annual Adjustment,127000,131861,0.1,0,DPT-001,ROL-003
CMP-000134,EMP-00060,2025-04-18,Annual Adjustment,127000,129793,0.1,0,DPT-001,ROL-003
CMP-000135,EMP-00061,2025-11-01,Hire,188000,209000,0.1,104500,DPT-001,ROL-005
CMP-000136,EMP-00062,2022-04-29,Hire,187000,213000,0.2,213000,DPT-014,ROL-026
CMP-000137,EMP-00063,2024-03-30,Hire,110000,127000,0.1,25400,DPT-001,ROL-003
CMP-000138,EMP-00063,2025-02-18,Annual Adjustment,127000,131929,0.1,0,DPT-001,ROL-003
CMP-000139,EMP-00063,2025-12-28,Annual Adjustment,127000,131545,0.1,0,DPT-001,ROL-003
CMP-000140,EMP-00064,2024-04-16,Hire,80000,90000,0.1,18000,DPT-001,ROL-001
CMP-000141,EMP-00065,2026-01-02,Hire,120000,136000,0.1,27200,DPT-005,ROL-003
CMP-000142,EMP-00066,2024-10-26,Hire,94000,106000,0.1,21200,DPT-001,ROL-002
CMP-000143,EMP-00066,2025-11-07,Annual Adjustment,106000,110578,0.1,0,DPT-001,ROL-002
CMP-000144,EMP-00067,2025-06-03,Hire,104000,117000,0.1,23400,DPT-017,ROL-017
CMP-000145,EMP-00067,2026-01-01,Promotion,117000,139929,0.1,0,DPT-017,ROL-017
CMP-000146,EMP-00068,2026-04-16,Hire,71000,78000,0.1,15600,DPT-021,ROL-022
CMP-000147,EMP-00069,2022-04-15,Hire,121000,142000,0.1,28400,DPT-021,ROL-024
CMP-000148,EMP-00069,2024-07-04,Termination,142000,0,0,0,DPT-021,ROL-024
CMP-000149,EMP-00070,2024-12-25,Hire,70000,80000,0.1,16000,DPT-026,ROL-022
CMP-000150,EMP-00070,2025-11-30,Annual Adjustment,80000,83132,0.1,0,DPT-026,ROL-022
CMP-000151,EMP-00071,2024-06-11,Hire,119000,136000,0.1,27200,DPT-003,ROL-003
CMP-000152,EMP-00071,2025-06-02,Annual Adjustment,136000,140015,0.1,0,DPT-003,ROL-003
CMP-000153,EMP-00072,2024-05-04,Hire,112000,126000,0.1,25200,DPT-006,ROL-003
CMP-000154,EMP-00072,2025-01-10,Annual Adjustment,126000,129629,0.1,0,DPT-006,ROL-003
CMP-000155,EMP-00073,2023-01-15,Hire,154000,179000,0.2,179000,DPT-024,ROL-031
CMP-000156,EMP-00073,2023-08-12,Annual Adjustment,179000,188893,0.2,0,DPT-024,ROL-031
CMP-000157,EMP-00074,2023-04-26,Hire,112000,130000,0.1,26000,DPT-005,ROL-003
CMP-000158,EMP-00075,2023-03-12,Hire,85000,93000,0.1,18600,DPT-018,ROL-016
CMP-000159,EMP-00075,2023-11-25,Promotion,93000,109517,0.1,0,DPT-018,ROL-016
CMP-000160,EMP-00076,2026-04-18,Hire,149000,171000,0.1,85500,DPT-008,ROL-004
CMP-000161,EMP-00077,2021-02-21,Hire,171000,193000,0.2,193000,DPT-024,ROL-025
CMP-000162,EMP-00077,2021-09-14,Promotion,193000,215724,0.2,0,DPT-024,ROL-025
CMP-000163,EMP-00078,2023-09-11,Hire,82000,95000,0.1,19000,DPT-020,ROL-016
CMP-000164,EMP-00078,2024-06-20,Equity Refresh,95000,95000,0.1,20180,DPT-020,ROL-016
CMP-000165,EMP-00078,2024-10-03,Termination,95000,0,0,0,DPT-020,ROL-016
CMP-000166,EMP-00079,2020-12-22,Hire,247000,283000,0.2,283000,DPT-021,ROL-027
CMP-000167,EMP-00079,2021-08-16,Annual Adjustment,283000,294022,0.2,0,DPT-021,ROL-027
CMP-000168,EMP-00080,2024-02-11,Hire,116000,128000,0.1,25600,DPT-001,ROL-003
CMP-000169,EMP-00081,2025-08-26,Hire,122000,136000,0.1,27200,DPT-014,ROL-012
CMP-000170,EMP-00082,2024-09-10,Hire,74000,84000,0.1,16800,DPT-022,ROL-022
CMP-000171,EMP-00082,2025-06-10,Annual Adjustment,84000,86245,0.1,0,DPT-022,ROL-022
CMP-000172,EMP-00083,2020-11-20,Hire,206000,234000,0.2,234000,DPT-003,ROL-028
CMP-000173,EMP-00083,2022-01-13,Annual Adjustment,234000,245091,0.2,0,DPT-003,ROL-028
CMP-000174,EMP-00084,2022-03-03,Hire,293000,342000,0.2,342000,DPT-024,ROL-032
CMP-000175,EMP-00084,2022-09-01,Equity Refresh,342000,342000,0.2,287682,DPT-024,ROL-032
CMP-000176,EMP-00084,2023-05-01,Equity Refresh,342000,342000,0.2,379581,DPT-024,ROL-032
CMP-000177,EMP-00084,2023-12-31,Annual Adjustment,342000,351415,0.2,0,DPT-024,ROL-032
CMP-000178,EMP-00085,2021-01-17,Hire,128000,148000,0.1,29600,DPT-023,ROL-024
CMP-000179,EMP-00085,2021-10-02,Annual Adjustment,148000,151879,0.1,0,DPT-023,ROL-024
CMP-000180,EMP-00085,2022-04-25,Equity Refresh,148000,148000,0.1,16068,DPT-023,ROL-024
CMP-000181,EMP-00086,2022-03-06,Hire,192000,219000,0.2,219000,DPT-012,ROL-029
CMP-000182,EMP-00086,2022-09-23,Annual Adjustment,219000,226832,0.2,0,DPT-012,ROL-029
CMP-000183,EMP-00087,2023-12-27,Hire,79000,92000,0.1,18400,DPT-016,ROL-016
CMP-000184,EMP-00087,2024-07-29,Annual Adjustment,92000,94059,0.1,0,DPT-016,ROL-016
CMP-000185,EMP-00087,2025-08-25,Annual Adjustment,92000,94082,0.1,0,DPT-016,ROL-016
CMP-000186,EMP-00087,2026-04-01,Equity Refresh,92000,92000,0.1,21276,DPT-016,ROL-016
CMP-000187,EMP-00088,2024-10-25,Hire,94000,108000,0.1,21600,DPT-021,ROL-023
CMP-000188,EMP-00088,2025-10-10,Equity Refresh,108000,108000,0.1,21566,DPT-021,ROL-023
CMP-000189,EMP-00089,2024-05-17,Hire,139000,162000,0.1,81000,DPT-005,ROL-004
CMP-000190,EMP-00090,2022-09-19,Hire,116000,132000,0.1,26400,DPT-023,ROL-024
CMP-000191,EMP-00091,2024-11-12,Hire,204000,225000,0.2,225000,DPT-016,ROL-026
CMP-000192,EMP-00091,2025-12-08,Equity Refresh,225000,225000,0.2,318372,DPT-016,ROL-026
CMP-000193,EMP-00092,2023-11-09,Hire,112000,128000,0.1,25600,DPT-005,ROL-003
CMP-000194,EMP-00093,2021-04-29,Hire,121000,136000,0.1,27200,DPT-011,ROL-014
CMP-000195,EMP-00094,2023-03-12,Hire,165000,186000,0.2,186000,DPT-004,ROL-025
CMP-000196,EMP-00095,2022-05-23,Hire,101000,112000,0.1,22400,DPT-008,ROL-002
CMP-000197,EMP-00095,2023-02-04,Annual Adjustment,112000,117150,0.1,0,DPT-008,ROL-002
CMP-000198,EMP-00095,2023-10-12,Annual Adjustment,112000,114457,0.1,0,DPT-008,ROL-002
CMP-000199,EMP-00096,2022-10-15,Hire,165000,183000,0.2,183000,DPT-018,ROL-025
CMP-000200,EMP-00097,2024-05-18,Hire,117000,136000,0.1,27200,DPT-001,ROL-003
CMP-000201,EMP-00097,2025-03-09,Promotion,136000,163047,0.1,0,DPT-001,ROL-003
CMP-000202,EMP-00097,2025-09-25,Promotion,136000,159199,0.1,0,DPT-001,ROL-003
CMP-000203,EMP-00097,2025-12-30,Termination,136000,0,0,0,DPT-001,ROL-003
CMP-000204,EMP-00098,2021-05-24,Hire,215000,246000,0.2,246000,DPT-005,ROL-028
CMP-000205,EMP-00099,2023-05-20,Hire,101000,112000,0.1,22400,DPT-019,ROL-017
CMP-000206,EMP-00099,2024-01-14,Annual Adjustment,112000,114397,0.1,0,DPT-019,ROL-017
CMP-000207,EMP-00099,2024-07-15,Annual Adjustment,112000,118557,0.1,0,DPT-019,ROL-017
CMP-000208,EMP-00099,2025-02-04,Termination,112000,0,0,0,DPT-019,ROL-017
CMP-000209,EMP-00100,2025-12-06,Hire,78000,86000,0.1,17200,DPT-026,ROL-022
CMP-000210,EMP-00101,2023-08-26,Hire,67000,77000,0.1,15400,DPT-020,ROL-019
CMP-000211,EMP-00101,2024-09-29,Annual Adjustment,77000,80244,0.1,0,DPT-020,ROL-019
CMP-000212,EMP-00101,2025-10-06,Termination,77000,0,0,0,DPT-020,ROL-019
CMP-000213,EMP-00102,2024-12-07,Hire,113000,125000,0.1,25000,DPT-016,ROL-017
CMP-000214,EMP-00102,2025-11-18,Annual Adjustment,125000,130694,0.1,0,DPT-016,ROL-017
CMP-000215,EMP-00103,2020-07-29,Hire,203000,226000,0.2,226000,DPT-011,ROL-026
CMP-000216,EMP-00103,2022-06-25,Termination,226000,0,0,0,DPT-011,ROL-026
CMP-000217,EMP-00104,2021-06-25,Hire,152000,168000,0.1,84000,DPT-001,ROL-004
CMP-000218,EMP-00104,2022-06-09,Annual Adjustment,168000,171993,0.1,0,DPT-001,ROL-004
CMP-000219,EMP-00104,2023-07-25,Promotion,168000,202521,0.1,0,DPT-001,ROL-004
CMP-000220,EMP-00105,2023-01-04,Hire,204000,228000,0.2,228000,DPT-005,ROL-028
CMP-000221,EMP-00105,2023-07-03,Annual Adjustment,228000,238244,0.2,0,DPT-005,ROL-028
CMP-000222,EMP-00106,2023-11-14,Hire,90000,105000,0.1,21000,DPT-010,ROL-020
CMP-000223,EMP-00106,2024-11-23,Equity Refresh,105000,105000,0.1,25544,DPT-010,ROL-020
CMP-000224,EMP-00106,2025-07-17,Annual Adjustment,105000,110652,0.1,0,DPT-010,ROL-020
CMP-000225,EMP-00106,2026-02-03,Annual Adjustment,105000,110590,0.1,0,DPT-010,ROL-020
CMP-000226,EMP-00107,2023-09-14,Hire,115000,132000,0.1,26400,DPT-006,ROL-003
CMP-000227,EMP-00107,2024-04-22,Annual Adjustment,132000,135485,0.1,0,DPT-006,ROL-003
CMP-000228,EMP-00107,2025-03-23,Annual Adjustment,132000,138379,0.1,0,DPT-006,ROL-003
CMP-000229,EMP-00108,2020-11-09,Hire,204000,222000,0.2,222000,DPT-002,ROL-026
CMP-000230,EMP-00108,2021-07-10,Annual Adjustment,222000,234487,0.2,0,DPT-002,ROL-026
CMP-000231,EMP-00108,2022-07-08,Equity Refresh,222000,222000,0.2,187259,DPT-002,ROL-026
CMP-000232,EMP-00109,2025-07-14,Hire,80000,89000,0.1,17800,DPT-005,ROL-001
CMP-000233,EMP-00110,2025-11-03,Hire,98000,107000,0.1,21400,DPT-022,ROL-023
CMP-000234,EMP-00111,2025-08-02,Hire,126000,138000,0.1,27600,DPT-012,ROL-012
CMP-000235,EMP-00112,2025-01-25,Hire,98000,113000,0.1,22600,DPT-001,ROL-002
CMP-000236,EMP-00112,2025-10-06,Equity Refresh,113000,113000,0.1,22534,DPT-001,ROL-002
CMP-000237,EMP-00113,2024-05-29,Hire,157000,183000,0.2,183000,DPT-004,ROL-025
CMP-000238,EMP-00113,2025-01-04,Promotion,183000,221655,0.2,0,DPT-004,ROL-025
CMP-000239,EMP-00113,2025-12-27,Termination,183000,0,0,0,DPT-004,ROL-025
CMP-000240,EMP-00114,2024-09-15,Hire,99000,108000,0.1,21600,DPT-006,ROL-002
CMP-000241,EMP-00114,2025-10-22,Annual Adjustment,108000,110530,0.1,0,DPT-006,ROL-002
CMP-000242,EMP-00115,2023-10-03,Hire,152000,168000,0.1,84000,DPT-006,ROL-004
CMP-000243,EMP-00115,2024-04-05,Promotion,168000,191138,0.1,0,DPT-006,ROL-004
CMP-000244,EMP-00115,2025-07-07,Termination,168000,0,0,0,DPT-006,ROL-004
CMP-000245,EMP-00116,2021-11-13,Hire,280000,317000,0.2,317000,DPT-006,ROL-034
CMP-000246,EMP-00116,2022-06-24,Promotion,317000,374174,0.2,0,DPT-006,ROL-034
CMP-000247,EMP-00117,2023-01-15,Hire,93000,106000,0.1,21200,DPT-004,ROL-002
CMP-000248,EMP-00118,2026-02-24,Hire,212000,244000,0.2,244000,DPT-006,ROL-028
CMP-000249,EMP-00119,2025-04-09,Hire,120000,139000,0.1,27800,DPT-009,ROL-008
CMP-000250,EMP-00120,2023-04-21,Hire,191000,215000,0.2,215000,DPT-020,ROL-026
CMP-000251,EMP-00120,2024-04-02,Annual Adjustment,215000,224726,0.2,0,DPT-020,ROL-026
CMP-000252,EMP-00120,2026-02-06,Termination,215000,0,0,0,DPT-020,ROL-026
CMP-000253,EMP-00121,2022-07-15,Hire,98000,107000,0.1,21400,DPT-010,ROL-020
CMP-000254,EMP-00121,2023-03-31,Promotion,107000,127291,0.1,0,DPT-010,ROL-020
CMP-000255,EMP-00121,2024-01-21,Annual Adjustment,107000,109623,0.1,0,DPT-010,ROL-020
CMP-000256,EMP-00122,2025-04-26,Hire,91000,107000,0.1,21400,DPT-021,ROL-023
CMP-000257,EMP-00122,2025-12-14,Annual Adjustment,107000,111787,0.1,0,DPT-021,ROL-023
CMP-000258,EMP-00123,2025-04-02,Hire,77000,84000,0.1,16800,DPT-013,ROL-010
CMP-000259,EMP-00123,2026-03-19,Annual Adjustment,84000,87423,0.1,0,DPT-013,ROL-010
CMP-000260,EMP-00124,2024-05-03,Hire,97000,111000,0.1,22200,DPT-004,ROL-002
CMP-000261,EMP-00124,2024-12-30,Annual Adjustment,111000,117263,0.1,0,DPT-004,ROL-002
CMP-000262,EMP-00124,2026-02-16,Annual Adjustment,111000,116194,0.1,0,DPT-004,ROL-002
CMP-000263,EMP-00125,2024-02-24,Hire,121000,137000,0.1,27400,DPT-002,ROL-003
CMP-000264,EMP-00125,2024-11-13,Annual Adjustment,137000,143112,0.1,0,DPT-002,ROL-003
CMP-000265,EMP-00125,2024-12-20,Termination,137000,0,0,0,DPT-002,ROL-003
CMP-000266,EMP-00126,2023-07-02,Hire,73000,84000,0.1,16800,DPT-012,ROL-010
CMP-000267,EMP-00126,2024-01-16,Annual Adjustment,84000,87443,0.1,0,DPT-012,ROL-010
CMP-000268,EMP-00126,2025-01-20,Annual Adjustment,84000,85966,0.1,0,DPT-012,ROL-010
CMP-000269,EMP-00126,2026-02-19,Annual Adjustment,84000,86096,0.1,0,DPT-012,ROL-010
CMP-000270,EMP-00127,2025-07-10,Hire,123000,134000,0.1,26800,DPT-002,ROL-003
CMP-000271,EMP-00127,2026-04-17,Equity Refresh,134000,134000,0.1,25473,DPT-002,ROL-003
