attrition_id,employee_id,termination_date,termination_type,termination_reason,regrettable,tenure_days,tenure_months,exit_interview_score,department_id,role_id,location_id,manager_id
TRM-00023,EMP-00125,2024-12-20,Voluntary,Work-life balance / burnout,No,300,9.9,4.4,DPT-002,ROL-003,LOC-007,
TRM-00024,EMP-00135,2025-06-18,Involuntary,Performance,No,1303,42.8,3.1,DPT-001,ROL-004,LOC-001,
TRM-00025,EMP-00139,2026-01-26,Voluntary,Better opportunity - growth/scope,Yes,593,19.5,3.7,DPT-009,ROL-020,LOC-001,
TRM-00026,EMP-00140,2025-06-21,Voluntary,Relocation / personal,No,368,12.1,3.4,DPT-017,ROL-017,LOC-001,
TRM-00027,EMP-00143,2026-04-04,Voluntary,Better opportunity - higher comp,No,770,25.3,3.9,DPT-009,ROL-021,LOC-001,
TRM-00028,EMP-00145,2025-06-11,Voluntary,Better opportunity - higher comp,No,300,9.9,3.6,DPT-009,ROL-020,LOC-001,
TRM-00029,EMP-00163,2024-01-28,Voluntary,Other voluntary,No,931,30.6,4.0,DPT-001,ROL-005,LOC-001,
TRM-00030,EMP-00171,2026-04-01,Voluntary,Manager / culture,No,520,17.1,4.7,DPT-021,ROL-023,LOC-001,
TRM-00031,EMP-00172,2026-04-28,Voluntary,Better opportunity - higher comp,No,915,30.1,4.7,DPT-012,ROL-010,LOC-003,
TRM-00032,EMP-00173,2024-07-01,Voluntary,Work-life balance / burnout,Yes,302,9.9,2.9,DPT-001,ROL-002,LOC-007,
TRM-00033,EMP-00174,2026-02-28,Voluntary,Better opportunity - higher comp,No,694,22.8,3.2,DPT-009,ROL-020,LOC-006,
TRM-00034,EMP-00182,2025-04-13,Voluntary,Other voluntary,Yes,1013,33.3,2.4,DPT-012,ROL-028,LOC-001,
TRM-00035,EMP-00184,2026-05-12,Involuntary,Performance,No,565,18.6,2.6,DPT-008,ROL-004,LOC-001,
TRM-00036,EMP-00185,2025-05-02,Voluntary,Other voluntary,No,904,29.7,4.3,DPT-023,ROL-022,LOC-007,
TRM-00037,EMP-00189,2026-03-17,Voluntary,Better opportunity - higher comp,No,1342,44.1,4.3,DPT-019,ROL-017,LOC-001,
TRM-00038,EMP-00193,2025-05-30,Voluntary,Better opportunity - higher comp,No,384,12.6,4.6,DPT-001,ROL-002,LOC-001,
TRM-00039,EMP-00194,2026-03-07,Voluntary,Career change,No,1248,41.0,3.0,DPT-002,ROL-002,LOC-001,
TRM-00040,EMP-00203,2023-09-12,Voluntary,Better opportunity - growth/scope,No,807,26.5,2.9,DPT-002,ROL-025,LOC-004,
TRM-00041,EMP-00219,2025-07-08,Involuntary,Conduct / policy violation,No,458,15.0,3.9,DPT-001,ROL-001,LOC-005,
TRM-00042,EMP-00221,2025-09-28,Involuntary,Performance,No,513,16.9,3.8,DPT-021,ROL-024,LOC-001,
TRM-00043,EMP-00238,2024-10-22,Voluntary,Career change,No,643,21.1,3.0,DPT-010,ROL-009,LOC-002,
TRM-00044,EMP-00240,2025-06-25,Voluntary,Return to study,No,759,24.9,3.6,DPT-023,ROL-023,LOC-001,
TRM-00045,EMP-00241,2025-02-24,Voluntary,Retirement,No,623,20.5,3.5,DPT-026,ROL-023,LOC-001,
TRM-00046,EMP-00254,2025-03-09,Voluntary,Career change,No,396,13.0,3.4,DPT-004,ROL-004,LOC-001,
TRM-00047,EMP-00261,2026-03-09,Voluntary,Better opportunity - higher comp,No,604,19.8,2.7,DPT-012,ROL-011,LOC-004,
TRM-00048,EMP-00263,2023-08-25,Voluntary,Manager / culture,Yes,793,26.1,3.0,DPT-009,ROL-025,LOC-001,
TRM-00049,EMP-00264,2023-09-30,Voluntary,Better opportunity - higher comp,Yes,348,11.4,2.3,DPT-012,ROL-012,LOC-004,
TRM-00050,EMP-00274,2025-08-18,Involuntary,End of contract,No,337,11.1,2.9,DPT-023,ROL-023,LOC-004,
TRM-00051,EMP-00277,2025-01-02,Involuntary,Role eliminated,No,478,15.7,2.9,DPT-006,ROL-003,LOC-006,
TRM-00052,EMP-00280,2025-12-27,Voluntary,Better opportunity - higher comp,No,547,18.0,4.2,DPT-019,ROL-016,LOC-003,
TRM-00053,EMP-00282,2026-04-15,Voluntary,Return to study,Yes,1305,42.9,2.9,DPT-002,ROL-026,LOC-001,
TRM-00054,EMP-00284,2025-11-29,Voluntary,Work-life balance / burnout,No,682,22.4,3.9,DPT-016,ROL-017,LOC-004,
TRM-00055,EMP-00287,2026-03-06,Voluntary,Better opportunity - higher comp,Yes,1136,37.3,3.7,DPT-001,ROL-028,LOC-001,
TRM-00056,EMP-00295,2024-12-04,Voluntary,Better opportunity - higher comp,Yes,854,28.1,3.4,DPT-026,ROL-024,LOC-001,
TRM-00057,EMP-00303,2023-01-17,Voluntary,Better opportunity - higher comp,No,365,12.0,4.3,DPT-002,ROL-004,LOC-001,
TRM-00058,EMP-00315,2025-12-19,Voluntary,Work-life balance / burnout,Yes,1649,54.2,2.5,DPT-003,ROL-025,LOC-001,
TRM-00059,EMP-00318,2024-04-05,Involuntary,End of contract,No,388,12.7,3.6,DPT-026,ROL-033,LOC-003,
TRM-00060,EMP-00319,2025-09-14,Voluntary,Work-life balance / burnout,No,662,21.7,2.5,DPT-020,ROL-017,LOC-001,
TRM-00061,EMP-00328,2023-09-13,Voluntary,Manager / culture,Yes,969,31.8,3.7,DPT-001,ROL-033,LOC-001,
TRM-00062,EMP-00345,2025-03-30,Voluntary,Better opportunity - higher comp,No,442,14.5,4.0,DPT-012,ROL-013,LOC-001,
TRM-00063,EMP-00348,2026-01-02,Voluntary,Better opportunity - higher comp,Yes,1345,44.2,2.0,DPT-019,ROL-032,LOC-006,
TRM-00064,EMP-00349,2025-11-12,Involuntary,Role eliminated,No,470,15.4,4.4,DPT-009,ROL-007,LOC-004,
TRM-00065,EMP-00350,2025-10-19,Involuntary,End of contract,No,632,20.8,3.3,DPT-011,ROL-011,LOC-003,
TRM-00066,EMP-00355,2025-11-16,Voluntary,Better opportunity - growth/scope,Yes,783,25.7,3.3,DPT-001,ROL-004,LOC-001,
TRM-00067,EMP-00358,2025-07-01,Voluntary,Retirement,No,343,11.3,4.6,DPT-019,ROL-017,LOC-006,
TRM-00068,EMP-00364,2025-11-29,Voluntary,Retirement,Yes,1208,39.7,2.4,DPT-002,ROL-003,LOC-001,
TRM-00069,EMP-00365,2024-09-07,Voluntary,Better opportunity - higher comp,No,966,31.7,3.9,DPT-022,ROL-024,LOC-002,
TRM-00070,EMP-00368,2025-05-25,Voluntary,Career change,No,548,18.0,4.7,DPT-001,ROL-030,LOC-004,
TRM-00071,EMP-00369,2025-06-14,Voluntary,Work-life balance / burnout,No,359,11.8,2.7,DPT-002,ROL-001,LOC-007,
TRM-00072,EMP-00373,2024-07-10,Voluntary,Better opportunity - higher comp,No,584,19.2,3.8,DPT-009,ROL-008,LOC-001,
TRM-00073,EMP-00375,2026-01-19,Involuntary,End of contract,No,525,17.2,4.0,DPT-019,ROL-017,LOC-006,
TRM-00074,EMP-00382,2025-06-17,Voluntary,Relocation / personal,Yes,1121,36.8,2.5,DPT-003,ROL-029,LOC-001,
TRM-00075,EMP-00383,2026-03-18,Voluntary,Work-life balance / burnout,No,921,30.3,3.3,DPT-019,ROL-016,LOC-001,
TRM-00076,EMP-00386,2024-06-22,Voluntary,Better opportunity - higher comp,No,348,11.4,2.6,DPT-002,ROL-003,LOC-003,
TRM-00077,EMP-00387,2025-06-01,Voluntary,Better opportunity - higher comp,No,888,29.2,4.6,DPT-009,ROL-021,LOC-005,
TRM-00078,EMP-00388,2026-02-26,Voluntary,Better opportunity - higher comp,No,754,24.8,4.0,DPT-010,ROL-009,LOC-002,
TRM-00079,EMP-00393,2025-07-22,Voluntary,Better opportunity - higher comp,Yes,400,13.1,3.5,DPT-001,ROL-002,LOC-003,
TRM-00080,EMP-00395,2025-05-14,Voluntary,Better opportunity - higher comp,Yes,342,11.2,3.5,DPT-023,ROL-023,LOC-002,
TRM-00081,EMP-00399,2026-03-21,Voluntary,Manager / culture,No,734,24.1,4.1,DPT-001,ROL-004,LOC-001,
TRM-00082,EMP-00400,2024-04-30,Voluntary,Work-life balance / burnout,No,380,12.5,4.6,DPT-011,ROL-011,LOC-001,
TRM-00083,EMP-00403,2026-02-12,Voluntary,Retirement,No,874,28.7,3.6,DPT-009,ROL-007,LOC-001,
TRM-00084,EMP-00409,2025-05-20,Voluntary,Better opportunity - higher comp,No,895,29.4,3.3,DPT-006,ROL-003,LOC-001,
TRM-00085,EMP-00413,2025-11-03,Voluntary,Better opportunity - growth/scope,No,896,29.4,3.1,DPT-014,ROL-012,LOC-001,
TRM-00086,EMP-00416,2026-02-25,Involuntary,Conduct / policy violation,No,1115,36.6,4.1,DPT-023,ROL-025,LOC-003,
TRM-00087,EMP-00418,2024-02-11,Involuntary,Performance,No,453,14.9,3.8,DPT-012,ROL-013,LOC-006,
TRM-00088,EMP-00420,2025-03-10,Voluntary,Retirement,No,865,28.4,2.8,DPT-001,ROL-033,LOC-001,
TRM-00089,EMP-00438,2026-04-02,Voluntary,Better opportunity - higher comp,No,1108,36.4,3.3,DPT-002,ROL-005,LOC-006,
TRM-00090,EMP-00448,2025-04-29,Voluntary,Retirement,No,350,11.5,2.6,DPT-009,ROL-021,LOC-001,
TRM-00091,EMP-00449,2026-05-13,Involuntary,Performance,No,700,23.0,4.4,DPT-020,ROL-017,LOC-001,
TRM-00092,EMP-00458,2026-02-02,Voluntary,Return to study,Yes,1350,44.3,2.0,DPT-005,ROL-002,LOC-001,
TRM-00093,EMP-00464,2025-07-31,Voluntary,Better opportunity - growth/scope,Yes,756,24.8,3.1,DPT-004,ROL-003,LOC-004,
TRM-00094,EMP-00468,2025-01-01,Voluntary,Other voluntary,No,342,11.2,4.7,DPT-018,ROL-015,LOC-003,
TRM-00095,EMP-00471,2026-05-06,Voluntary,Better opportunity - growth/scope,Yes,1191,39.1,2.8,DPT-002,ROL-003,LOC-002,
TRM-00096,EMP-00476,2025-10-20,Voluntary,Retirement,Yes,625,20.5,3.5,DPT-004,ROL-003,LOC-001,
TRM-00097,EMP-00481,2025-11-05,Voluntary,Better opportunity - growth/scope,No,699,23.0,3.3,DPT-001,ROL-002,LOC-001,
TRM-00098,EMP-00482,2026-05-09,Voluntary,Better opportunity - higher comp,No,978,32.1,4.6,DPT-006,ROL-002,LOC-001,
TRM-00099,EMP-00488,2025-09-29,Voluntary,Return to study,No,1236,40.6,3.9,DPT-002,ROL-005,LOC-003,
TRM-00100,EMP-00490,2025-06-20,Voluntary,Better opportunity - higher comp,Yes,445,14.6,2.3,DPT-013,ROL-013,LOC-002,
TRM-00101,EMP-00497,2026-03-17,Voluntary,Manager / culture,Yes,538,17.7,2.5,DPT-009,ROL-009,LOC-001,
TRM-00102,EMP-00500,2025-11-03,Voluntary,Better opportunity - growth/scope,No,435,14.3,2.8,DPT-009,ROL-008,LOC-004,
TRM-00103,EMP-00507,2025-09-24,Involuntary,Role eliminated,No,662,21.7,3.0,DPT-004,ROL-002,LOC-001,
TRM-00104,EMP-00510,2025-02-12,Voluntary,Better opportunity - growth/scope,No,283,9.3,3.0,DPT-007,ROL-002,LOC-003,
TRM-00105,EMP-00514,2025-09-30,Voluntary,Better opportunity - higher comp,No,444,14.6,3.6,DPT-013,ROL-010,LOC-004,
TRM-00106,EMP-00516,2025-12-01,Voluntary,Better opportunity - growth/scope,No,1178,38.7,2.9,DPT-022,ROL-023,LOC-007,
TRM-00107,EMP-00524,2024-04-12,Voluntary,Career change,Yes,294,9.7,2.6,DPT-005,ROL-005,LOC-001,
TRM-00108,EMP-00528,2026-03-19,Voluntary,Career change,No,726,23.9,3.2,DPT-026,ROL-029,LOC-001,
TRM-00109,EMP-00534,2025-09-24,Involuntary,Performance,No,998,32.8,3.7,DPT-009,ROL-008,LOC-006,
TRM-00110,EMP-00540,2025-05-26,Voluntary,Better opportunity - higher comp,No,562,18.5,2.9,DPT-012,ROL-013,LOC-002,
TRM-00111,EMP-00546,2025-04-06,Voluntary,Relocation / personal,No,1125,37.0,2.7,DPT-021,ROL-024,LOC-001,
TRM-00112,EMP-00553,2025-09-20,Voluntary,Work-life balance / burnout,No,932,30.6,3.4,DPT-002,ROL-002,LOC-004,
TRM-00113,EMP-00557,2024-12-02,Voluntary,Return to study,No,761,25.0,4.1,DPT-016,ROL-031,LOC-001,
TRM-00114,EMP-00588,2026-01-17,Voluntary,Other voluntary,No,1510,49.6,4.2,DPT-004,ROL-031,LOC-004,
TRM-00115,EMP-00592,2026-04-27,Voluntary,Better opportunity - higher comp,No,1142,37.5,2.9,DPT-011,ROL-010,LOC-001,
TRM-00116,EMP-00601,2025-06-06,Voluntary,Retirement,No,315,10.3,3.8,DPT-006,ROL-003,LOC-004,
TRM-00117,EMP-00603,2025-12-10,Voluntary,Better opportunity - growth/scope,No,410,13.5,3.6,DPT-005,ROL-002,LOC-004,
TRM-00118,EMP-00606,2025-08-20,Voluntary,Better opportunity - growth/scope,Yes,781,25.7,2.1,DPT-002,ROL-029,LOC-001,
TRM-00119,EMP-00607,2025-09-08,Voluntary,Better opportunity - higher comp,No,1218,40.0,2.6,DPT-003,ROL-001,LOC-004,
TRM-00120,EMP-00623,2025-03-20,Voluntary,Better opportunity - higher comp,No,319,10.5,4.2,DPT-009,ROL-021,LOC-001,
TRM-00121,EMP-00625,2024-02-15,Voluntary,Better opportunity - higher comp,Yes,851,28.0,3.1,DPT-002,ROL-032,LOC-004,
TRM-00122,EMP-00631,2026-01-23,Voluntary,Relocation / personal,No,640,21.0,2.5,DPT-009,ROL-008,LOC-002,
TRM-00123,EMP-00635,2025-09-07,Voluntary,Manager / culture,No,1352,44.4,3.4,DPT-004,ROL-032,LOC-003,
TRM-00124,EMP-00638,2025-10-02,Voluntary,Better opportunity - growth/scope,No,416,13.7,2.7,DPT-023,ROL-023,LOC-001,
TRM-00125,EMP-00640,2025-06-16,Voluntary,Return to study,No,370,12.2,2.6,DPT-009,ROL-009,LOC-002,
TRM-00126,EMP-00641,2025-07-15,Voluntary,Better opportunity - higher comp,No,750,24.6,4.8,DPT-019,ROL-017,LOC-004,
TRM-00127,EMP-00644,2025-09-04,Voluntary,Return to study,No,1057,34.7,3.7,DPT-002,ROL-028,LOC-001,
TRM-00128,EMP-00651,2023-04-11,Involuntary,Role eliminated,No,447,14.7,3.5,DPT-010,ROL-009,LOC-002,
TRM-00129,EMP-00654,2025-11-05,Involuntary,Performance,No,601,19.7,3.3,DPT-021,ROL-022,LOC-001,
TRM-00130,EMP-00655,2025-11-20,Involuntary,Role eliminated,No,552,18.1,4.1,DPT-002,ROL-028,LOC-004,
TRM-00131,EMP-00657,2025-08-26,Involuntary,Performance,No,288,9.5,3.4,DPT-016,ROL-015,LOC-001,
TRM-00132,EMP-00670,2026-04-27,Voluntary,Career change,No,940,30.9,2.6,DPT-004,ROL-001,LOC-001,
TRM-00133,EMP-00673,2024-12-25,Voluntary,Better opportunity - higher comp,No,749,24.6,4.1,DPT-026,ROL-026,LOC-004,
TRM-00134,EMP-00685,2024-08-24,Voluntary,Other voluntary,No,572,18.8,2.9,DPT-009,ROL-009,LOC-001,
TRM-00135,EMP-00689,2022-11-26,Voluntary,Return to study,No,350,11.5,3.0,DPT-012,ROL-014,LOC-004,
TRM-00136,EMP-00693,2024-12-24,Voluntary,Manager / culture,No,313,10.3,4.2,DPT-002,ROL-002,LOC-006,
TRM-00137,EMP-00699,2025-06-17,Involuntary,Role eliminated,No,1246,40.9,3.1,DPT-019,ROL-029,LOC-004,
TRM-00138,EMP-00700,2025-12-23,Voluntary,Manager / culture,Yes,756,24.8,2.8,DPT-008,ROL-004,LOC-002,
TRM-00139,EMP-00706,2026-03-31,Voluntary,Career change,No,1223,40.2,4.5,DPT-013,ROL-031,LOC-001,
TRM-00140,EMP-00719,2025-12-28,Voluntary,Career change,No,1266,41.6,4.4,DPT-023,ROL-022,LOC-001,
TRM-00141,EMP-00723,2023-07-29,Voluntary,Retirement,No,796,26.1,2.6,DPT-021,ROL-033,LOC-001,
TRM-00142,EMP-00729,2024-04-02,Voluntary,Other voluntary,No,303,10.0,2.9,DPT-018,ROL-017,LOC-006,
TRM-00143,EMP-00733,2024-12-07,Involuntary,Role eliminated,No,576,18.9,3.7,DPT-010,ROL-009,LOC-001,
TRM-00144,EMP-00734,2024-08-24,Voluntary,Other voluntary,Yes,556,18.3,2.9,DPT-022,ROL-029,LOC-001,
TRM-00145,EMP-00736,2022-11-18,Voluntary,Career change,No,481,15.8,3.5,DPT-002,ROL-031,LOC-004,
TRM-00146,EMP-00747,2025-07-03,Involuntary,Performance,No,497,16.3,3.6,DPT-024,ROL-028,LOC-001,
TRM-00147,EMP-00750,2024-11-17,Voluntary,Relocation / personal,No,425,14.0,2.8,DPT-016,ROL-015,LOC-001,
TRM-00148,EMP-00757,2026-05-08,Voluntary,Better opportunity - higher comp,No,672,22.1,2.8,DPT-021,ROL-023,LOC-002,
TRM-00149,EMP-00763,2025-04-06,Voluntary,Career change,No,1657,54.4,3.0,DPT-023,ROL-024,LOC-004,
TRM-00150,EMP-00765,2025-11-09,Voluntary,Better opportunity - higher comp,No,578,19.0,4.0,DPT-002,ROL-003,LOC-001,
TRM-00151,EMP-00768,2025-11-26,Voluntary,Other voluntary,No,468,15.4,2.8,DPT-023,ROL-022,LOC-003,
TRM-00152,EMP-00774,2025-09-06,Voluntary,Better opportunity - higher comp,Yes,1015,33.3,2.6,DPT-001,ROL-003,LOC-003,
TRM-00153,EMP-00779,2026-02-06,Involuntary,Conduct / policy violation,No,1080,35.5,2.7,DPT-010,ROL-021,LOC-004,
TRM-00154,EMP-00785,2026-05-03,Voluntary,Career change,No,650,21.4,4.3,DPT-008,ROL-002,LOC-002,
TRM-00155,EMP-00787,2025-11-10,Voluntary,Better opportunity - growth/scope,No,836,27.5,3.5,DPT-012,ROL-011,LOC-003,
TRM-00156,EMP-00789,2023-05-20,Voluntary,Better opportunity - higher comp,Yes,290,9.5,2.8,DPT-020,ROL-028,LOC-001,
TRM-00157,EMP-00790,2025-09-15,Voluntary,Better opportunity - growth/scope,No,934,30.7,4.0,DPT-020,ROL-018,LOC-007,
TRM-00158,EMP-00798,2024-06-24,Voluntary,Better opportunity - higher comp,Yes,489,16.1,2.4,DPT-006,ROL-003,LOC-004,
TRM-00159,EMP-00817,2025-08-01,Voluntary,Better opportunity - growth/scope,No,325,10.7,2.6,DPT-005,ROL-001,LOC-001,
TRM-00160,EMP-00824,2026-02-21,Voluntary,Better opportunity - higher comp,Yes,461,15.1,2.5,DPT-021,ROL-023,LOC-001,
TRM-00161,EMP-00833,2023-06-30,Voluntary,Retirement,Yes,345,11.3,2.5,DPT-002,ROL-029,LOC-001,
TRM-00162,EMP-00834,2022-05-27,Voluntary,Better opportunity - higher comp,No,583,19.2,3.1,DPT-007,ROL-025,LOC-004,
TRM-00163,EMP-00840,2024-07-30,Voluntary,Other voluntary,No,1360,44.7,4.1,DPT-026,ROL-024,LOC-001,
TRM-00164,EMP-00841,2025-11-04,Voluntary,Better opportunity - higher comp,Yes,998,32.8,2.7,DPT-001,ROL-030,LOC-002,
TRM-00165,EMP-00843,2025-10-27,Voluntary,Manager / culture,Yes,684,22.5,3.7,DPT-005,ROL-003,LOC-001,
TRM-00166,EMP-00845,2024-03-10,Voluntary,Better opportunity - higher comp,No,559,18.4,4.7,DPT-004,ROL-002,LOC-004,
TRM-00167,EMP-00850,2025-04-30,Involuntary,Conduct / policy violation,No,271,8.9,3.1,DPT-012,ROL-025,LOC-001,
TRM-00168,EMP-00853,2026-05-08,Voluntary,Better opportunity - growth/scope,No,1287,42.3,2.8,DPT-008,ROL-003,LOC-004,
TRM-00169,EMP-00854,2024-08-28,Voluntary,Better opportunity - growth/scope,No,521,17.1,2.8,DPT-023,ROL-023,LOC-002,
TRM-00170,EMP-00865,2023-09-18,Voluntary,Better opportunity - growth/scope,Yes,1106,36.3,3.4,DPT-006,ROL-005,LOC-001,
TRM-00171,EMP-00872,2024-12-16,Voluntary,Better opportunity - higher comp,No,450,14.8,2.7,DPT-013,ROL-013,LOC-007,
TRM-00172,EMP-00873,2025-07-11,Voluntary,Better opportunity - higher comp,No,841,27.6,3.1,DPT-001,ROL-029,LOC-001,
TRM-00173,EMP-00876,2024-08-04,Voluntary,Better opportunity - higher comp,No,618,20.3,4.7,DPT-002,ROL-034,LOC-003,
TRM-00174,EMP-00883,2025-10-03,Voluntary,Better opportunity - growth/scope,No,756,24.8,4.5,DPT-023,ROL-023,LOC-001,
TRM-00175,EMP-00887,2025-11-20,Voluntary,Manager / culture,No,1543,50.7,4.1,DPT-002,ROL-005,LOC-003,
TRM-00176,EMP-00904,2025-10-16,Involuntary,Role eliminated,No,1154,37.9,3.0,DPT-001,ROL-004,LOC-003,
TRM-00177,EMP-00906,2025-08-31,Voluntary,Manager / culture,No,547,18.0,3.2,DPT-011,ROL-010,LOC-001,
TRM-00178,EMP-00921,2026-04-28,Voluntary,Manager / culture,No,1257,41.3,3.0,DPT-016,ROL-017,LOC-001,
TRM-00179,EMP-00928,2025-03-02,Voluntary,Other voluntary,No,724,23.8,3.0,DPT-021,ROL-023,LOC-004,
TRM-00180,EMP-00938,2025-08-25,Voluntary,Other voluntary,Yes,536,17.6,3.6,DPT-016,ROL-016,LOC-005,
TRM-00181,EMP-00939,2025-12-17,Voluntary,Better opportunity - growth/scope,No,1992,65.4,4.8,DPT-001,ROL-029,LOC-001,
TRM-00182,EMP-00948,2026-02-12,Voluntary,Work-life balance / burnout,No,891,29.3,4.2,DPT-004,ROL-001,LOC-006,
TRM-00183,EMP-00956,2023-07-27,Voluntary,Return to study,No,851,28.0,3.3,DPT-021,ROL-031,LOC-007,
TRM-00184,EMP-00958,2026-01-07,Voluntary,Better opportunity - growth/scope,No,474,15.6,4.1,DPT-006,ROL-003,LOC-001,
TRM-00185,EMP-00962,2025-04-22,Voluntary,Manager / culture,No,309,10.2,2.8,DPT-023,ROL-022,LOC-006,
TRM-00186,EMP-00973,2026-04-15,Voluntary,Better opportunity - higher comp,No,722,23.7,3.4,DPT-005,ROL-002,LOC-001,
TRM-00187,EMP-00975,2025-03-30,Voluntary,Relocation / personal,No,750,24.6,4.7,DPT-023,ROL-027,LOC-001,
TRM-00188,EMP-00981,2024-08-09,Voluntary,Better opportunity - higher comp,Yes,322,10.6,2.1,DPT-016,ROL-015,LOC-001,
TRM-00189,EMP-00988,2025-10-20,Voluntary,Work-life balance / burnout,No,761,25.0,3.5,DPT-023,ROL-022,LOC-002,
TRM-00190,EMP-00992,2025-05-04,Voluntary,Career change,Yes,852,28.0,3.6,DPT-002,ROL-003,LOC-007,
TRM-00191,EMP-00993,2025-05-24,Voluntary,Manager / culture,Yes,746,24.5,2.5,DPT-016,ROL-017,LOC-004,
TRM-00192,EMP-01009,2024-05-16,Voluntary,Work-life balance / burnout,Yes,305,10.0,2.2,DPT-023,ROL-024,LOC-007,
TRM-00193,EMP-01012,2026-03-24,Voluntary,Manager / culture,Yes,598,19.6,2.3,DPT-011,ROL-013,LOC-003,
TRM-00194,EMP-01013,2025-08-25,Voluntary,Manager / culture,No,400,13.1,4.2,DPT-002,ROL-003,LOC-003,
TRM-00195,EMP-01025,2025-10-25,Voluntary,Relocation / personal,Yes,611,20.1,2.1,DPT-002,ROL-003,LOC-004,
TRM-00196,EMP-01040,2024-08-18,Voluntary,Manager / culture,No,1134,37.3,3.8,DPT-012,ROL-014,LOC-003,
TRM-00197,EMP-01041,2026-01-21,Voluntary,Relocation / personal,No,444,14.6,2.9,DPT-006,ROL-002,LOC-002,
TRM-00198,EMP-01042,2025-06-04,Voluntary,Better opportunity - growth/scope,Yes,286,9.4,2.3,DPT-007,ROL-028,LOC-004,
TRM-00199,EMP-01043,2025-10-30,Voluntary,Better opportunity - higher comp,No,614,20.2,4.1,DPT-021,ROL-024,LOC-001,
TRM-00200,EMP-01057,2025-09-16,Voluntary,Work-life balance / burnout,No,759,24.9,3.4,DPT-009,ROL-021,LOC-007,
TRM-00201,EMP-01058,2025-10-15,Voluntary,Better opportunity - growth/scope,No,397,13.0,2.9,DPT-008,ROL-003,LOC-001,
TRM-00202,EMP-01060,2025-04-25,Voluntary,Better opportunity - higher comp,No,408,13.4,3.2,DPT-014,ROL-013,LOC-001,
TRM-00203,EMP-01072,2025-12-30,Involuntary,Performance,No,816,26.8,3.0,DPT-006,ROL-002,LOC-001,
TRM-00204,EMP-01075,2022-07-07,Voluntary,Work-life balance / burnout,Yes,653,21.5,2.5,DPT-016,ROL-030,LOC-001,
TRM-00205,EMP-01091,2026-03-23,Involuntary,Conduct / policy violation,No,535,17.6,2.6,DPT-009,ROL-025,LOC-001,
