training_record_id,employee_id,course_id,course_name,regulator,is_mandatory,due_date,completion_date,status,days_overdue,department_id,location_id
TRC-000040,EMP-00009,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-01-25,2026-01-03,Completed,0,DPT-008,LOC-005
TRC-000041,EMP-00009,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-10-23,2025-09-23,Completed,0,DPT-008,LOC-005
TRC-000042,EMP-00009,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-06-12,2025-04-28,Completed,0,DPT-008,LOC-005
TRC-000043,EMP-00009,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-11-15,2025-11-08,Completed,0,DPT-008,LOC-005
TRC-000044,EMP-00009,TRN-005,Insider Trading Policy,Internal,Yes,2026-02-19,2026-02-04,Completed,0,DPT-008,LOC-005
TRC-000045,EMP-00009,TRN-006,Cyber Security Awareness,Internal,Yes,2025-12-18,2025-11-17,Completed,0,DPT-008,LOC-005
TRC-000046,EMP-00009,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-01-04,2024-11-26,Completed,0,DPT-008,LOC-005
TRC-000047,EMP-00009,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-06-11,2025-04-30,Completed,0,DPT-008,LOC-005
TRC-000048,EMP-00009,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-11-25,2025-11-04,Completed,0,DPT-008,LOC-005
TRC-000049,EMP-00010,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-07-08,2026-04-12,Completed,0,DPT-021,LOC-003
TRC-000050,EMP-00010,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-11-05,2026-03-30,Completed,0,DPT-021,LOC-003
TRC-000051,EMP-00010,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-06-07,,Overdue,351,DPT-021,LOC-003
TRC-000052,EMP-00010,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2024-09-05,2026-04-10,Completed,0,DPT-021,LOC-003
TRC-000053,EMP-00010,TRN-005,Insider Trading Policy,Internal,Yes,2025-08-01,2026-03-30,Completed,0,DPT-021,LOC-003
TRC-000054,EMP-00010,TRN-006,Cyber Security Awareness,Internal,Yes,2026-05-15,2026-05-03,Completed,0,DPT-021,LOC-003
TRC-000055,EMP-00010,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-01-10,2026-03-29,Completed,0,DPT-021,LOC-003
TRC-000056,EMP-00010,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-10-16,2026-04-26,Completed,0,DPT-021,LOC-003
TRC-000057,EMP-00010,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-08-30,2026-04-16,Completed,0,DPT-021,LOC-003
TRC-000058,EMP-00012,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-09-20,2025-09-17,Completed,0,DPT-001,LOC-001
TRC-000059,EMP-00012,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-12-27,2025-11-12,Completed,0,DPT-001,LOC-001
TRC-000060,EMP-00012,TRN-003,Code of Conduct & Ethics,Internal,Yes,2026-04-20,2026-03-25,Completed,0,DPT-001,LOC-001
TRC-000061,EMP-00012,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2024-07-03,2025-06-26,Completed,0,DPT-001,LOC-001
TRC-000062,EMP-00012,TRN-005,Insider Trading Policy,Internal,Yes,2026-01-29,2025-12-30,Completed,0,DPT-001,LOC-001
TRC-000063,EMP-00012,TRN-006,Cyber Security Awareness,Internal,Yes,2026-01-22,2026-01-11,Completed,0,DPT-001,LOC-001
TRC-000064,EMP-00012,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-10-03,2025-09-11,Completed,0,DPT-001,LOC-001
TRC-000065,EMP-00012,TRN-008,Workplace Respect & Harassment,Internal,Yes,2024-06-09,2025-06-15,Completed,0,DPT-001,LOC-001
TRC-000066,EMP-00012,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-12-01,,Overdue,174,DPT-001,LOC-001
TRC-000067,EMP-00012,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-21,Completed,0,DPT-001,LOC-001
TRC-000068,EMP-00013,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-02-05,2026-01-20,Completed,0,DPT-009,LOC-004
TRC-000069,EMP-00013,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-09-10,2025-08-09,Completed,0,DPT-009,LOC-004
TRC-000070,EMP-00013,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-06-20,2025-06-06,Completed,0,DPT-009,LOC-004
TRC-000071,EMP-00013,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2026-04-26,2026-03-24,Completed,0,DPT-009,LOC-004
TRC-000072,EMP-00013,TRN-005,Insider Trading Policy,Internal,Yes,2026-01-26,2025-12-12,Completed,0,DPT-009,LOC-004
TRC-000073,EMP-00013,TRN-006,Cyber Security Awareness,Internal,Yes,2026-01-17,2025-12-19,Completed,0,DPT-009,LOC-004
TRC-000074,EMP-00013,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-07-27,2025-07-19,Completed,0,DPT-009,LOC-004
TRC-000075,EMP-00013,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-09-14,2025-09-05,Completed,0,DPT-009,LOC-004
TRC-000076,EMP-00013,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-07-28,,Overdue,300,DPT-009,LOC-004
TRC-000077,EMP-00014,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-09-10,2025-08-21,Completed,0,DPT-005,LOC-001
TRC-000078,EMP-00014,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-10-16,2025-09-19,Completed,0,DPT-005,LOC-001
TRC-000079,EMP-00014,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-12-25,2025-12-18,Completed,0,DPT-005,LOC-001
TRC-000080,EMP-00014,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2026-05-16,2026-05-06,Completed,0,DPT-005,LOC-001
TRC-000081,EMP-00014,TRN-005,Insider Trading Policy,Internal,Yes,2025-09-28,2025-08-14,Completed,0,DPT-005,LOC-001
TRC-000082,EMP-00014,TRN-006,Cyber Security Awareness,Internal,Yes,2026-02-03,2025-12-25,Completed,0,DPT-005,LOC-001
TRC-000083,EMP-00014,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-08-01,,Overdue,296,DPT-005,LOC-001
TRC-000084,EMP-00014,TRN-008,Workplace Respect & Harassment,Internal,Yes,2026-01-28,2026-01-04,Completed,0,DPT-005,LOC-001
TRC-000085,EMP-00014,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-10-27,2025-09-25,Completed,0,DPT-005,LOC-001
TRC-000086,EMP-00014,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,,Upcoming,0,DPT-005,LOC-001
TRC-000087,EMP-00015,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-12-09,2026-03-12,Completed,0,DPT-020,LOC-001
TRC-000088,EMP-00015,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2026-04-01,2026-03-07,Completed,0,DPT-020,LOC-001
TRC-000089,EMP-00015,TRN-003,Code of Conduct & Ethics,Internal,Yes,2026-04-21,2026-03-22,Completed,0,DPT-020,LOC-001
TRC-000090,EMP-00015,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-11-18,2026-03-15,Completed,0,DPT-020,LOC-001
TRC-000091,EMP-00015,TRN-005,Insider Trading Policy,Internal,Yes,2026-04-22,,Overdue,32,DPT-020,LOC-001
TRC-000092,EMP-00015,TRN-006,Cyber Security Awareness,Internal,Yes,2026-03-17,2026-03-02,Completed,0,DPT-020,LOC-001
TRC-000093,EMP-00015,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-05-15,2026-03-18,Completed,0,DPT-020,LOC-001
TRC-000094,EMP-00015,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-10-10,2026-03-10,Completed,0,DPT-020,LOC-001
TRC-000095,EMP-00015,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-11-30,,Overdue,175,DPT-020,LOC-001
TRC-000096,EMP-00015,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,,Upcoming,0,DPT-020,LOC-001
TRC-000097,EMP-00016,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-05-10,2026-04-05,Completed,0,DPT-020,LOC-002
TRC-000098,EMP-00016,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2026-01-01,2025-11-26,Completed,0,DPT-020,LOC-002
TRC-000099,EMP-00016,TRN-003,Code of Conduct & Ethics,Internal,Yes,2026-04-08,2026-04-07,Completed,0,DPT-020,LOC-002
TRC-000100,EMP-00016,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-10-17,2025-09-05,Completed,0,DPT-020,LOC-002
TRC-000101,EMP-00016,TRN-005,Insider Trading Policy,Internal,Yes,2026-02-01,2026-01-12,Completed,0,DPT-020,LOC-002
TRC-000102,EMP-00016,TRN-006,Cyber Security Awareness,Internal,Yes,2025-12-04,2025-10-27,Completed,0,DPT-020,LOC-002
TRC-000103,EMP-00016,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-12-03,2025-11-08,Completed,0,DPT-020,LOC-002
TRC-000104,EMP-00016,TRN-008,Workplace Respect & Harassment,Internal,Yes,2024-12-01,2025-03-25,Completed,0,DPT-020,LOC-002
TRC-000105,EMP-00016,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2026-01-20,2026-01-10,Completed,0,DPT-020,LOC-002
TRC-000106,EMP-00016,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-11-06,Completed,0,DPT-020,LOC-002
TRC-000107,EMP-00017,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-07-27,2025-12-16,Completed,0,DPT-025,LOC-001
TRC-000108,EMP-00017,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-11-06,2025-12-15,Completed,0,DPT-025,LOC-001
TRC-000109,EMP-00017,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-06-10,2026-01-05,Completed,0,DPT-025,LOC-001
TRC-000110,EMP-00017,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2024-06-07,2026-01-20,Completed,0,DPT-025,LOC-001
TRC-000111,EMP-00017,TRN-005,Insider Trading Policy,Internal,Yes,2026-03-03,,Overdue,82,DPT-025,LOC-001
TRC-000112,EMP-00017,TRN-006,Cyber Security Awareness,Internal,Yes,2026-02-04,2026-01-04,Completed,0,DPT-025,LOC-001
TRC-000113,EMP-00017,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2024-09-19,2026-01-08,Completed,0,DPT-025,LOC-001
TRC-000114,EMP-00017,TRN-008,Workplace Respect & Harassment,Internal,Yes,2024-08-18,2026-01-16,Completed,0,DPT-025,LOC-001
TRC-000115,EMP-00017,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-08-07,2026-01-11,Completed,0,DPT-025,LOC-001
TRC-000116,EMP-00018,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-11-25,2025-10-26,Completed,0,DPT-004,LOC-004
TRC-000117,EMP-00018,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-11-18,,Overdue,187,DPT-004,LOC-004
TRC-000118,EMP-00018,TRN-003,Code of Conduct & Ethics,Internal,Yes,2026-04-18,2026-03-08,Completed,0,DPT-004,LOC-004
TRC-000119,EMP-00018,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2026-03-20,2026-02-25,Completed,0,DPT-004,LOC-004
TRC-000120,EMP-00018,TRN-005,Insider Trading Policy,Internal,Yes,2025-09-02,2025-08-15,Completed,0,DPT-004,LOC-004
TRC-000121,EMP-00018,TRN-006,Cyber Security Awareness,Internal,Yes,2026-05-10,2026-04-08,Completed,0,DPT-004,LOC-004
TRC-000122,EMP-00018,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2026-04-06,2026-02-22,Completed,0,DPT-004,LOC-004
TRC-000123,EMP-00018,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-06-15,2025-05-13,Completed,0,DPT-004,LOC-004
TRC-000124,EMP-00018,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2026-01-09,2025-12-05,Completed,0,DPT-004,LOC-004
TRC-000125,EMP-00018,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-07,Completed,0,DPT-004,LOC-004
TRC-000126,EMP-00019,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-06-19,2025-06-01,Completed,0,DPT-007,LOC-006
TRC-000127,EMP-00019,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2026-01-04,,Overdue,140,DPT-007,LOC-006
TRC-000128,EMP-00019,TRN-003,Code of Conduct & Ethics,Internal,Yes,2026-03-27,2026-02-26,Completed,0,DPT-007,LOC-006
TRC-000129,EMP-00019,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-04-20,2025-03-15,Completed,0,DPT-007,LOC-006
TRC-000130,EMP-00019,TRN-005,Insider Trading Policy,Internal,Yes,2025-11-23,2025-10-26,Completed,0,DPT-007,LOC-006
TRC-000131,EMP-00019,TRN-006,Cyber Security Awareness,Internal,Yes,2026-01-25,2025-12-30,Completed,0,DPT-007,LOC-006
TRC-000132,EMP-00019,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-02-21,2025-02-04,Completed,0,DPT-007,LOC-006
TRC-000133,EMP-00019,TRN-008,Workplace Respect & Harassment,Internal,Yes,2026-05-07,,Overdue,17,DPT-007,LOC-006
TRC-000134,EMP-00019,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2026-01-04,2025-11-30,Completed,0,DPT-007,LOC-006
TRC-000135,EMP-00020,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-03-14,2026-01-30,Completed,0,DPT-003,LOC-006
TRC-000136,EMP-00020,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-12-25,2025-12-12,Completed,0,DPT-003,LOC-006
TRC-000137,EMP-00020,TRN-003,Code of Conduct & Ethics,Internal,Yes,2026-02-14,2026-02-09,Completed,0,DPT-003,LOC-006
TRC-000138,EMP-00020,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-05-17,2025-04-21,Completed,0,DPT-003,LOC-006
TRC-000139,EMP-00020,TRN-005,Insider Trading Policy,Internal,Yes,2026-01-22,2026-01-04,Completed,0,DPT-003,LOC-006
TRC-000140,EMP-00020,TRN-006,Cyber Security Awareness,Internal,Yes,2025-12-19,2025-11-08,Completed,0,DPT-003,LOC-006
TRC-000141,EMP-00020,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2026-01-23,2026-01-19,Completed,0,DPT-003,LOC-006
TRC-000142,EMP-00020,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-09-04,,Overdue,262,DPT-003,LOC-006
TRC-000143,EMP-00020,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-12-26,2025-12-05,Completed,0,DPT-003,LOC-006
TRC-000144,EMP-00020,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-31,Completed,0,DPT-003,LOC-006
TRC-000145,EMP-00021,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-10-21,2025-10-08,Completed,0,DPT-012,LOC-003
TRC-000146,EMP-00021,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-07-03,2025-05-30,Completed,0,DPT-012,LOC-003
TRC-000147,EMP-00021,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-07-22,2025-07-13,Completed,0,DPT-012,LOC-003
TRC-000148,EMP-00021,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2024-07-13,2024-06-27,Completed,0,DPT-012,LOC-003
TRC-000149,EMP-00021,TRN-005,Insider Trading Policy,Internal,Yes,2026-01-17,2025-12-03,Completed,0,DPT-012,LOC-003
TRC-000150,EMP-00021,TRN-006,Cyber Security Awareness,Internal,Yes,2026-03-30,2026-02-28,Completed,0,DPT-012,LOC-003
TRC-000151,EMP-00021,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-07-17,2025-07-06,Completed,0,DPT-012,LOC-003
TRC-000152,EMP-00021,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-04-06,2025-04-02,Completed,0,DPT-012,LOC-003
TRC-000153,EMP-00021,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-07-05,,Overdue,323,DPT-012,LOC-003
TRC-000154,EMP-00021,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-11-09,Completed,0,DPT-012,LOC-003
TRC-000155,EMP-00022,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-12-17,2025-11-19,Completed,0,DPT-026,LOC-003
TRC-000156,EMP-00022,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2026-03-30,2026-03-22,Completed,0,DPT-026,LOC-003
TRC-000157,EMP-00022,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-09-28,2025-08-25,Completed,0,DPT-026,LOC-003
TRC-000158,EMP-00022,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-02-10,2025-08-28,Completed,0,DPT-026,LOC-003
TRC-000159,EMP-00022,TRN-005,Insider Trading Policy,Internal,Yes,2026-04-07,2026-03-15,Completed,0,DPT-026,LOC-003
TRC-000160,EMP-00022,TRN-006,Cyber Security Awareness,Internal,Yes,2026-05-15,2026-04-07,Completed,0,DPT-026,LOC-003
TRC-000161,EMP-00022,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-03-21,2025-08-26,Completed,0,DPT-026,LOC-003
TRC-000162,EMP-00022,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-07-10,2025-08-27,Completed,0,DPT-026,LOC-003
TRC-000163,EMP-00022,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-07-09,2025-09-16,Completed,0,DPT-026,LOC-003
TRC-000164,EMP-00023,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-06-20,2025-06-04,Completed,0,DPT-018,LOC-001
TRC-000165,EMP-00023,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2026-03-19,2026-02-28,Completed,0,DPT-018,LOC-001
TRC-000166,EMP-00023,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-12-07,2025-11-08,Completed,0,DPT-018,LOC-001
TRC-000167,EMP-00023,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2026-02-14,2026-01-25,Completed,0,DPT-018,LOC-001
TRC-000168,EMP-00023,TRN-005,Insider Trading Policy,Internal,Yes,2025-08-20,2025-07-21,Completed,0,DPT-018,LOC-001
TRC-000169,EMP-00023,TRN-006,Cyber Security Awareness,Internal,Yes,2025-11-29,2025-10-15,Completed,0,DPT-018,LOC-001
TRC-000170,EMP-00023,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-12-27,2025-12-24,Completed,0,DPT-018,LOC-001
TRC-000171,EMP-00023,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-01-16,2024-12-14,Completed,0,DPT-018,LOC-001
TRC-000172,EMP-00023,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2026-03-26,2026-02-11,Completed,0,DPT-018,LOC-001
TRC-000173,EMP-00023,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-24,Completed,0,DPT-018,LOC-001
TRC-000174,EMP-00024,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-08-05,2025-12-19,Completed,0,DPT-004,LOC-001
TRC-000175,EMP-00024,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2026-04-15,2026-03-17,Completed,0,DPT-004,LOC-001
TRC-000176,EMP-00024,TRN-003,Code of Conduct & Ethics,Internal,Yes,2026-04-10,2026-03-16,Completed,0,DPT-004,LOC-001
TRC-000177,EMP-00024,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2026-01-28,2026-01-14,Completed,0,DPT-004,LOC-001
TRC-000178,EMP-00024,TRN-005,Insider Trading Policy,Internal,Yes,2025-07-12,2026-01-25,Completed,0,DPT-004,LOC-001
TRC-000179,EMP-00024,TRN-006,Cyber Security Awareness,Internal,Yes,2026-05-14,2026-04-09,Completed,0,DPT-004,LOC-001
TRC-000180,EMP-00024,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-09-16,2026-01-19,Completed,0,DPT-004,LOC-001
TRC-000181,EMP-00024,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-01-31,2026-01-04,Completed,0,DPT-004,LOC-001
TRC-000182,EMP-00024,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-10-30,2026-01-15,Completed,0,DPT-004,LOC-001
TRC-000183,EMP-00024,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-07,Completed,0,DPT-004,LOC-001
TRC-000184,EMP-00025,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-07-18,2025-06-23,Completed,0,DPT-013,LOC-001
TRC-000185,EMP-00025,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2026-04-22,2026-03-11,Completed,0,DPT-013,LOC-001
TRC-000186,EMP-00025,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-11-30,2025-11-23,Completed,0,DPT-013,LOC-001
TRC-000187,EMP-00025,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2024-09-25,2024-08-13,Completed,0,DPT-013,LOC-001
