date,year,quarter,month_num,day,year_month,year_quarter,day_name,month_name,iso_week,is_weekend
2022-04-29,2022,2,4,29,2022-04,2022-Q2,Friday,April,17,No
2022-04-30,2022,2,4,30,2022-04,2022-Q2,Saturday,April,17,Yes
2022-05-01,2022,2,5,1,2022-05,2022-Q2,Sunday,May,17,Yes
2022-05-02,2022,2,5,2,2022-05,2022-Q2,Monday,May,18,No
2022-05-03,2022,2,5,3,2022-05,2022-Q2,Tuesday,May,18,No
2022-05-04,2022,2,5,4,2022-05,2022-Q2,Wednesday,May,18,No
2022-05-05,2022,2,5,5,2022-05,2022-Q2,Thursday,May,18,No
2022-05-06,2022,2,5,6,2022-05,2022-Q2,Friday,May,18,No
2022-05-07,2022,2,5,7,2022-05,2022-Q2,Saturday,May,18,Yes
2022-05-08,2022,2,5,8,2022-05,2022-Q2,Sunday,May,18,Yes
2022-05-09,2022,2,5,9,2022-05,2022-Q2,Monday,May,19,No
2022-05-10,2022,2,5,10,2022-05,2022-Q2,Tuesday,May,19,No
2022-05-11,2022,2,5,11,2022-05,2022-Q2,Wednesday,May,19,No
2022-05-12,2022,2,5,12,2022-05,2022-Q2,Thursday,May,19,No
2022-05-13,2022,2,5,13,2022-05,2022-Q2,Friday,May,19,No
2022-05-14,2022,2,5,14,2022-05,2022-Q2,Saturday,May,19,Yes
2022-05-15,2022,2,5,15,2022-05,2022-Q2,Sunday,May,19,Yes
2022-05-16,2022,2,5,16,2022-05,2022-Q2,Monday,May,20,No
2022-05-17,2022,2,5,17,2022-05,2022-Q2,Tuesday,May,20,No
2022-05-18,2022,2,5,18,2022-05,2022-Q2,Wednesday,May,20,No
2022-05-19,2022,2,5,19,2022-05,2022-Q2,Thursday,May,20,No
2022-05-20,2022,2,5,20,2022-05,2022-Q2,Friday,May,20,No
2022-05-21,2022,2,5,21,2022-05,2022-Q2,Saturday,May,20,Yes
2022-05-22,2022,2,5,22,2022-05,2022-Q2,Sunday,May,20,Yes
2022-05-23,2022,2,5,23,2022-05,2022-Q2,Monday,May,21,No
2022-05-24,2022,2,5,24,2022-05,2022-Q2,Tuesday,May,21,No
2022-05-25,2022,2,5,25,2022-05,2022-Q2,Wednesday,May,21,No
2022-05-26,2022,2,5,26,2022-05,2022-Q2,Thursday,May,21,No
2022-05-27,2022,2,5,27,2022-05,2022-Q2,Friday,May,21,No
2022-05-28,2022,2,5,28,2022-05,2022-Q2,Saturday,May,21,Yes
2022-05-29,2022,2,5,29,2022-05,2022-Q2,Sunday,May,21,Yes
2022-05-30,2022,2,5,30,2022-05,2022-Q2,Monday,May,22,No
2022-05-31,2022,2,5,31,2022-05,2022-Q2,Tuesday,May,22,No
2022-06-01,2022,2,6,1,2022-06,2022-Q2,Wednesday,June,22,No
2022-06-02,2022,2,6,2,2022-06,2022-Q2,Thursday,June,22,No
2022-06-03,2022,2,6,3,2022-06,2022-Q2,Friday,June,22,No
2022-06-04,2022,2,6,4,2022-06,2022-Q2,Saturday,June,22,Yes
2022-06-05,2022,2,6,5,2022-06,2022-Q2,Sunday,June,22,Yes
2022-06-06,2022,2,6,6,2022-06,2022-Q2,Monday,June,23,No
2022-06-07,2022,2,6,7,2022-06,2022-Q2,Tuesday,June,23,No
2022-06-08,2022,2,6,8,2022-06,2022-Q2,Wednesday,June,23,No
2022-06-09,2022,2,6,9,2022-06,2022-Q2,Thursday,June,23,No
2022-06-10,2022,2,6,10,2022-06,2022-Q2,Friday,June,23,No
2022-06-11,2022,2,6,11,2022-06,2022-Q2,Saturday,June,23,Yes
2022-06-12,2022,2,6,12,2022-06,2022-Q2,Sunday,June,23,Yes
2022-06-13,2022,2,6,13,2022-06,2022-Q2,Monday,June,24,No
2022-06-14,2022,2,6,14,2022-06,2022-Q2,Tuesday,June,24,No
2022-06-15,2022,2,6,15,2022-06,2022-Q2,Wednesday,June,24,No
2022-06-16,2022,2,6,16,2022-06,2022-Q2,Thursday,June,24,No
2022-06-17,2022,2,6,17,2022-06,2022-Q2,Friday,June,24,No
2022-06-18,2022,2,6,18,2022-06,2022-Q2,Saturday,June,24,Yes
2022-06-19,2022,2,6,19,2022-06,2022-Q2,Sunday,June,24,Yes
2022-06-20,2022,2,6,20,2022-06,2022-Q2,Monday,June,25,No
2022-06-21,2022,2,6,21,2022-06,2022-Q2,Tuesday,June,25,No
2022-06-22,2022,2,6,22,2022-06,2022-Q2,Wednesday,June,25,No
2022-06-23,2022,2,6,23,2022-06,2022-Q2,Thursday,June,25,No
2022-06-24,2022,2,6,24,2022-06,2022-Q2,Friday,June,25,No
2022-06-25,2022,2,6,25,2022-06,2022-Q2,Saturday,June,25,Yes
2022-06-26,2022,2,6,26,2022-06,2022-Q2,Sunday,June,25,Yes
2022-06-27,2022,2,6,27,2022-06,2022-Q2,Monday,June,26,No
2022-06-28,2022,2,6,28,2022-06,2022-Q2,Tuesday,June,26,No
2022-06-29,2022,2,6,29,2022-06,2022-Q2,Wednesday,June,26,No
2022-06-30,2022,2,6,30,2022-06,2022-Q2,Thursday,June,26,No
2022-07-01,2022,3,7,1,2022-07,2022-Q3,Friday,July,26,No
2022-07-02,2022,3,7,2,2022-07,2022-Q3,Saturday,July,26,Yes
2022-07-03,2022,3,7,3,2022-07,2022-Q3,Sunday,July,26,Yes
2022-07-04,2022,3,7,4,2022-07,2022-Q3,Monday,July,27,No
2022-07-05,2022,3,7,5,2022-07,2022-Q3,Tuesday,July,27,No
2022-07-06,2022,3,7,6,2022-07,2022-Q3,Wednesday,July,27,No
2022-07-07,2022,3,7,7,2022-07,2022-Q3,Thursday,July,27,No
2022-07-08,2022,3,7,8,2022-07,2022-Q3,Friday,July,27,No
2022-07-09,2022,3,7,9,2022-07,2022-Q3,Saturday,July,27,Yes
2022-07-10,2022,3,7,10,2022-07,2022-Q3,Sunday,July,27,Yes
2022-07-11,2022,3,7,11,2022-07,2022-Q3,Monday,July,28,No
2022-07-12,2022,3,7,12,2022-07,2022-Q3,Tuesday,July,28,No
2022-07-13,2022,3,7,13,2022-07,2022-Q3,Wednesday,July,28,No
2022-07-14,2022,3,7,14,2022-07,2022-Q3,Thursday,July,28,No
2022-07-15,2022,3,7,15,2022-07,2022-Q3,Friday,July,28,No
2022-07-16,2022,3,7,16,2022-07,2022-Q3,Saturday,July,28,Yes
2022-07-17,2022,3,7,17,2022-07,2022-Q3,Sunday,July,28,Yes
2022-07-18,2022,3,7,18,2022-07,2022-Q3,Monday,July,29,No
2022-07-19,2022,3,7,19,2022-07,2022-Q3,Tuesday,July,29,No
2022-07-20,2022,3,7,20,2022-07,2022-Q3,Wednesday,July,29,No
2022-07-21,2022,3,7,21,2022-07,2022-Q3,Thursday,July,29,No
2022-07-22,2022,3,7,22,2022-07,2022-Q3,Friday,July,29,No
2022-07-23,2022,3,7,23,2022-07,2022-Q3,Saturday,July,29,Yes
2022-07-24,2022,3,7,24,2022-07,2022-Q3,Sunday,July,29,Yes
2022-07-25,2022,3,7,25,2022-07,2022-Q3,Monday,July,30,No
2022-07-26,2022,3,7,26,2022-07,2022-Q3,Tuesday,July,30,No
2022-07-27,2022,3,7,27,2022-07,2022-Q3,Wednesday,July,30,No
2022-07-28,2022,3,7,28,2022-07,2022-Q3,Thursday,July,30,No
2022-07-29,2022,3,7,29,2022-07,2022-Q3,Friday,July,30,No
2022-07-30,2022,3,7,30,2022-07,2022-Q3,Saturday,July,30,Yes
2022-07-31,2022,3,7,31,2022-07,2022-Q3,Sunday,July,30,Yes
2022-08-01,2022,3,8,1,2022-08,2022-Q3,Monday,August,31,No
2022-08-02,2022,3,8,2,2022-08,2022-Q3,Tuesday,August,31,No
2022-08-03,2022,3,8,3,2022-08,2022-Q3,Wednesday,August,31,No
2022-08-04,2022,3,8,4,2022-08,2022-Q3,Thursday,August,31,No
2022-08-05,2022,3,8,5,2022-08,2022-Q3,Friday,August,31,No
2022-08-06,2022,3,8,6,2022-08,2022-Q3,Saturday,August,31,Yes
2022-08-07,2022,3,8,7,2022-08,2022-Q3,Sunday,August,31,Yes
2022-08-08,2022,3,8,8,2022-08,2022-Q3,Monday,August,32,No
2022-08-09,2022,3,8,9,2022-08,2022-Q3,Tuesday,August,32,No
2022-08-10,2022,3,8,10,2022-08,2022-Q3,Wednesday,August,32,No
2022-08-11,2022,3,8,11,2022-08,2022-Q3,Thursday,August,32,No
2022-08-12,2022,3,8,12,2022-08,2022-Q3,Friday,August,32,No
2022-08-13,2022,3,8,13,2022-08,2022-Q3,Saturday,August,32,Yes
2022-08-14,2022,3,8,14,2022-08,2022-Q3,Sunday,August,32,Yes
2022-08-15,2022,3,8,15,2022-08,2022-Q3,Monday,August,33,No
2022-08-16,2022,3,8,16,2022-08,2022-Q3,Tuesday,August,33,No
2022-08-17,2022,3,8,17,2022-08,2022-Q3,Wednesday,August,33,No
2022-08-18,2022,3,8,18,2022-08,2022-Q3,Thursday,August,33,No
2022-08-19,2022,3,8,19,2022-08,2022-Q3,Friday,August,33,No
2022-08-20,2022,3,8,20,2022-08,2022-Q3,Saturday,August,33,Yes
2022-08-21,2022,3,8,21,2022-08,2022-Q3,Sunday,August,33,Yes
2022-08-22,2022,3,8,22,2022-08,2022-Q3,Monday,August,34,No
2022-08-23,2022,3,8,23,2022-08,2022-Q3,Tuesday,August,34,No
2022-08-24,2022,3,8,24,2022-08,2022-Q3,Wednesday,August,34,No
2022-08-25,2022,3,8,25,2022-08,2022-Q3,Thursday,August,34,No
2022-08-26,2022,3,8,26,2022-08,2022-Q3,Friday,August,34,No
2022-08-27,2022,3,8,27,2022-08,2022-Q3,Saturday,August,34,Yes
2022-08-28,2022,3,8,28,2022-08,2022-Q3,Sunday,August,34,Yes
2022-08-29,2022,3,8,29,2022-08,2022-Q3,Monday,August,35,No
2022-08-30,2022,3,8,30,2022-08,2022-Q3,Tuesday,August,35,No
2022-08-31,2022,3,8,31,2022-08,2022-Q3,Wednesday,August,35,No
2022-09-01,2022,3,9,1,2022-09,2022-Q3,Thursday,September,35,No
2022-09-02,2022,3,9,2,2022-09,2022-Q3,Friday,September,35,No
2022-09-03,2022,3,9,3,2022-09,2022-Q3,Saturday,September,35,Yes
2022-09-04,2022,3,9,4,2022-09,2022-Q3,Sunday,September,35,Yes
2022-09-05,2022,3,9,5,2022-09,2022-Q3,Monday,September,36,No
2022-09-06,2022,3,9,6,2022-09,2022-Q3,Tuesday,September,36,No
2022-09-07,2022,3,9,7,2022-09,2022-Q3,Wednesday,September,36,No
2022-09-08,2022,3,9,8,2022-09,2022-Q3,Thursday,September,36,No
2022-09-09,2022,3,9,9,2022-09,2022-Q3,Friday,September,36,No
2022-09-10,2022,3,9,10,2022-09,2022-Q3,Saturday,September,36,Yes
2022-09-11,2022,3,9,11,2022-09,2022-Q3,Sunday,September,36,Yes
2022-09-12,2022,3,9,12,2022-09,2022-Q3,Monday,September,37,No
2022-09-13,2022,3,9,13,2022-09,2022-Q3,Tuesday,September,37,No
2022-09-14,2022,3,9,14,2022-09,2022-Q3,Wednesday,September,37,No
2022-09-15,2022,3,9,15,2022-09,2022-Q3,Thursday,September,37,No
2022-09-16,2022,3,9,16,2022-09,2022-Q3,Friday,September,37,No
2022-09-17,2022,3,9,17,2022-09,2022-Q3,Saturday,September,37,Yes
2022-09-18,2022,3,9,18,2022-09,2022-Q3,Sunday,September,37,Yes
2022-09-19,2022,3,9,19,2022-09,2022-Q3,Monday,September,38,No
2022-09-20,2022,3,9,20,2022-09,2022-Q3,Tuesday,September,38,No
2022-09-21,2022,3,9,21,2022-09,2022-Q3,Wednesday,September,38,No
2022-09-22,2022,3,9,22,2022-09,2022-Q3,Thursday,September,38,No
2022-09-23,2022,3,9,23,2022-09,2022-Q3,Friday,September,38,No
2022-09-24,2022,3,9,24,2022-09,2022-Q3,Saturday,September,38,Yes
2022-09-25,2022,3,9,25,2022-09,2022-Q3,Sunday,September,38,Yes
2022-09-26,2022,3,9,26,2022-09,2022-Q3,Monday,September,39,No
2022-09-27,2022,3,9,27,2022-09,2022-Q3,Tuesday,September,39,No
2022-09-28,2022,3,9,28,2022-09,2022-Q3,Wednesday,September,39,No
2022-09-29,2022,3,9,29,2022-09,2022-Q3,Thursday,September,39,No
2022-09-30,2022,3,9,30,2022-09,2022-Q3,Friday,September,39,No
2022-10-01,2022,4,10,1,2022-10,2022-Q4,Saturday,October,39,Yes
2022-10-02,2022,4,10,2,2022-10,2022-Q4,Sunday,October,39,Yes
2022-10-03,2022,4,10,3,2022-10,2022-Q4,Monday,October,40,No
2022-10-04,2022,4,10,4,2022-10,2022-Q4,Tuesday,October,40,No
2022-10-05,2022,4,10,5,2022-10,2022-Q4,Wednesday,October,40,No
2022-10-06,2022,4,10,6,2022-10,2022-Q4,Thursday,October,40,No
2022-10-07,2022,4,10,7,2022-10,2022-Q4,Friday,October,40,No
2022-10-08,2022,4,10,8,2022-10,2022-Q4,Saturday,October,40,Yes
2022-10-09,2022,4,10,9,2022-10,2022-Q4,Sunday,October,40,Yes
2022-10-10,2022,4,10,10,2022-10,2022-Q4,Monday,October,41,No
2022-10-11,2022,4,10,11,2022-10,2022-Q4,Tuesday,October,41,No
2022-10-12,2022,4,10,12,2022-10,2022-Q4,Wednesday,October,41,No
2022-10-13,2022,4,10,13,2022-10,2022-Q4,Thursday,October,41,No
2022-10-14,2022,4,10,14,2022-10,2022-Q4,Friday,October,41,No
2022-10-15,2022,4,10,15,2022-10,2022-Q4,Saturday,October,41,Yes
2022-10-16,2022,4,10,16,2022-10,2022-Q4,Sunday,October,41,Yes
2022-10-17,2022,4,10,17,2022-10,2022-Q4,Monday,October,42,No
2022-10-18,2022,4,10,18,2022-10,2022-Q4,Tuesday,October,42,No
2022-10-19,2022,4,10,19,2022-10,2022-Q4,Wednesday,October,42,No
2022-10-20,2022,4,10,20,2022-10,2022-Q4,Thursday,October,42,No
2022-10-21,2022,4,10,21,2022-10,2022-Q4,Friday,October,42,No
2022-10-22,2022,4,10,22,2022-10,2022-Q4,Saturday,October,42,Yes
2022-10-23,2022,4,10,23,2022-10,2022-Q4,Sunday,October,42,Yes
2022-10-24,2022,4,10,24,2022-10,2022-Q4,Monday,October,43,No
2022-10-25,2022,4,10,25,2022-10,2022-Q4,Tuesday,October,43,No
2022-10-26,2022,4,10,26,2022-10,2022-Q4,Wednesday,October,43,No
2022-10-27,2022,4,10,27,2022-10,2022-Q4,Thursday,October,43,No
2022-10-28,2022,4,10,28,2022-10,2022-Q4,Friday,October,43,No
2022-10-29,2022,4,10,29,2022-10,2022-Q4,Saturday,October,43,Yes
2022-10-30,2022,4,10,30,2022-10,2022-Q4,Sunday,October,43,Yes
2022-10-31,2022,4,10,31,2022-10,2022-Q4,Monday,October,44,No
2022-11-01,2022,4,11,1,2022-11,2022-Q4,Tuesday,November,44,No
2022-11-02,2022,4,11,2,2022-11,2022-Q4,Wednesday,November,44,No
2022-11-03,2022,4,11,3,2022-11,2022-Q4,Thursday,November,44,No
2022-11-04,2022,4,11,4,2022-11,2022-Q4,Friday,November,44,No
2022-11-05,2022,4,11,5,2022-11,2022-Q4,Saturday,November,44,Yes
2022-11-06,2022,4,11,6,2022-11,2022-Q4,Sunday,November,44,Yes
2022-11-07,2022,4,11,7,2022-11,2022-Q4,Monday,November,45,No
2022-11-08,2022,4,11,8,2022-11,2022-Q4,Tuesday,November,45,No
2022-11-09,2022,4,11,9,2022-11,2022-Q4,Wednesday,November,45,No
2022-11-10,2022,4,11,10,2022-11,2022-Q4,Thursday,November,45,No
2022-11-11,2022,4,11,11,2022-11,2022-Q4,Friday,November,45,No
2022-11-12,2022,4,11,12,2022-11,2022-Q4,Saturday,November,45,Yes
2022-11-13,2022,4,11,13,2022-11,2022-Q4,Sunday,November,45,Yes
2022-11-14,2022,4,11,14,2022-11,2022-Q4,Monday,November,46,No
2022-11-15,2022,4,11,15,2022-11,2022-Q4,Tuesday,November,46,No
2022-11-16,2022,4,11,16,2022-11,2022-Q4,Wednesday,November,46,No
2022-11-17,2022,4,11,17,2022-11,2022-Q4,Thursday,November,46,No
2022-11-18,2022,4,11,18,2022-11,2022-Q4,Friday,November,46,No
2022-11-19,2022,4,11,19,2022-11,2022-Q4,Saturday,November,46,Yes
2022-11-20,2022,4,11,20,2022-11,2022-Q4,Sunday,November,46,Yes
2022-11-21,2022,4,11,21,2022-11,2022-Q4,Monday,November,47,No
2022-11-22,2022,4,11,22,2022-11,2022-Q4,Tuesday,November,47,No
2022-11-23,2022,4,11,23,2022-11,2022-Q4,Wednesday,November,47,No
2022-11-24,2022,4,11,24,2022-11,2022-Q4,Thursday,November,47,No
2022-11-25,2022,4,11,25,2022-11,2022-Q4,Friday,November,47,No
2022-11-26,2022,4,11,26,2022-11,2022-Q4,Saturday,November,47,Yes
2022-11-27,2022,4,11,27,2022-11,2022-Q4,Sunday,November,47,Yes
2022-11-28,2022,4,11,28,2022-11,2022-Q4,Monday,November,48,No
2022-11-29,2022,4,11,29,2022-11,2022-Q4,Tuesday,November,48,No
2022-11-30,2022,4,11,30,2022-11,2022-Q4,Wednesday,November,48,No
2022-12-01,2022,4,12,1,2022-12,2022-Q4,Thursday,December,48,No
2022-12-02,2022,4,12,2,2022-12,2022-Q4,Friday,December,48,No
2022-12-03,2022,4,12,3,2022-12,2022-Q4,Saturday,December,48,Yes
2022-12-04,2022,4,12,4,2022-12,2022-Q4,Sunday,December,48,Yes
2022-12-05,2022,4,12,5,2022-12,2022-Q4,Monday,December,49,No
2022-12-06,2022,4,12,6,2022-12,2022-Q4,Tuesday,December,49,No
2022-12-07,2022,4,12,7,2022-12,2022-Q4,Wednesday,December,49,No
2022-12-08,2022,4,12,8,2022-12,2022-Q4,Thursday,December,49,No
2022-12-09,2022,4,12,9,2022-12,2022-Q4,Friday,December,49,No
2022-12-10,2022,4,12,10,2022-12,2022-Q4,Saturday,December,49,Yes
2022-12-11,2022,4,12,11,2022-12,2022-Q4,Sunday,December,49,Yes
2022-12-12,2022,4,12,12,2022-12,2022-Q4,Monday,December,50,No
2022-12-13,2022,4,12,13,2022-12,2022-Q4,Tuesday,December,50,No
2022-12-14,2022,4,12,14,2022-12,2022-Q4,Wednesday,December,50,No
2022-12-15,2022,4,12,15,2022-12,2022-Q4,Thursday,December,50,No
2022-12-16,2022,4,12,16,2022-12,2022-Q4,Friday,December,50,No
2022-12-17,2022,4,12,17,2022-12,2022-Q4,Saturday,December,50,Yes
