attestation_record_id,employee_id,attestation_type,attestation_name,is_mandatory,due_date,completed_date,status,days_overdue,department_id
ATR-000021,EMP-00010,ATT-COI,Conflict of Interest,Yes,2026-04-12,2026-03-31,Completed,0,DPT-021
ATR-000022,EMP-00010,ATT-COC,Code of Conduct Attestation,Yes,2026-05-07,2026-04-20,Completed,0,DPT-021
ATR-000023,EMP-00010,ATT-PRV,Privacy & Data Handling,Yes,2025-10-03,2026-04-01,Completed,0,DPT-021
ATR-000024,EMP-00010,ATT-INS,Insider Trading Window,Yes,2025-12-13,2026-04-03,Completed,0,DPT-021
ATR-000025,EMP-00012,ATT-COI,Conflict of Interest,Yes,2025-08-04,2025-07-24,Completed,0,DPT-001
ATR-000026,EMP-00012,ATT-COC,Code of Conduct Attestation,Yes,2026-02-09,2026-01-27,Completed,0,DPT-001
ATR-000027,EMP-00012,ATT-PRV,Privacy & Data Handling,Yes,2026-05-09,2026-04-30,Completed,0,DPT-001
ATR-000028,EMP-00012,ATT-INS,Insider Trading Window,Yes,2026-05-08,2026-04-28,Completed,0,DPT-001
ATR-000029,EMP-00013,ATT-COI,Conflict of Interest,Yes,2025-11-25,2025-11-19,Completed,0,DPT-009
ATR-000030,EMP-00013,ATT-COC,Code of Conduct Attestation,Yes,2026-04-27,2026-04-12,Completed,0,DPT-009
ATR-000031,EMP-00013,ATT-PRV,Privacy & Data Handling,Yes,2025-06-28,2025-06-13,Completed,0,DPT-009
ATR-000032,EMP-00013,ATT-INS,Insider Trading Window,Yes,2026-02-03,2026-01-30,Completed,0,DPT-009
ATR-000033,EMP-00014,ATT-COI,Conflict of Interest,Yes,2025-07-15,2025-07-12,Completed,0,DPT-005
ATR-000034,EMP-00014,ATT-COC,Code of Conduct Attestation,Yes,2026-03-11,2026-02-27,Completed,0,DPT-005
ATR-000035,EMP-00014,ATT-PRV,Privacy & Data Handling,Yes,2026-02-26,2026-02-17,Completed,0,DPT-005
ATR-000036,EMP-00014,ATT-INS,Insider Trading Window,Yes,2026-03-03,2026-03-01,Completed,0,DPT-005
ATR-000037,EMP-00015,ATT-COI,Conflict of Interest,Yes,2025-07-09,2026-03-10,Completed,0,DPT-020
ATR-000038,EMP-00015,ATT-COC,Code of Conduct Attestation,Yes,2025-06-03,2026-03-03,Completed,0,DPT-020
ATR-000039,EMP-00015,ATT-PRV,Privacy & Data Handling,Yes,2025-08-24,2026-03-11,Completed,0,DPT-020
ATR-000040,EMP-00015,ATT-INS,Insider Trading Window,Yes,2026-01-21,2026-03-03,Completed,0,DPT-020
ATR-000041,EMP-00016,ATT-COI,Conflict of Interest,Yes,2025-06-17,2025-06-07,Completed,0,DPT-020
ATR-000042,EMP-00016,ATT-COC,Code of Conduct Attestation,Yes,2025-09-25,2025-09-13,Completed,0,DPT-020
ATR-000043,EMP-00016,ATT-PRV,Privacy & Data Handling,Yes,2025-11-18,2025-11-13,Completed,0,DPT-020
ATR-000044,EMP-00016,ATT-INS,Insider Trading Window,Yes,2026-02-05,2026-01-21,Completed,0,DPT-020
ATR-000045,EMP-00017,ATT-COI,Conflict of Interest,Yes,2025-10-28,2025-12-20,Completed,0,DPT-025
ATR-000046,EMP-00017,ATT-COC,Code of Conduct Attestation,Yes,2026-02-18,2026-02-05,Completed,0,DPT-025
ATR-000047,EMP-00017,ATT-PRV,Privacy & Data Handling,Yes,2026-03-06,2026-02-18,Completed,0,DPT-025
ATR-000048,EMP-00017,ATT-INS,Insider Trading Window,Yes,2026-05-04,2026-04-20,Completed,0,DPT-025
ATR-000049,EMP-00018,ATT-COI,Conflict of Interest,Yes,2025-12-19,2025-12-04,Completed,0,DPT-004
ATR-000050,EMP-00018,ATT-COC,Code of Conduct Attestation,Yes,2025-12-27,2025-12-22,Completed,0,DPT-004
ATR-000051,EMP-00018,ATT-PRV,Privacy & Data Handling,Yes,2026-03-11,2026-03-08,Completed,0,DPT-004
ATR-000052,EMP-00018,ATT-INS,Insider Trading Window,Yes,2025-12-05,2025-11-19,Completed,0,DPT-004
ATR-000053,EMP-00019,ATT-COI,Conflict of Interest,Yes,2025-06-24,2025-06-04,Completed,0,DPT-007
ATR-000054,EMP-00019,ATT-COC,Code of Conduct Attestation,Yes,2025-09-12,2025-08-24,Completed,0,DPT-007
ATR-000055,EMP-00019,ATT-PRV,Privacy & Data Handling,Yes,2025-10-13,2025-09-25,Completed,0,DPT-007
ATR-000056,EMP-00019,ATT-INS,Insider Trading Window,Yes,2026-03-25,2026-03-20,Completed,0,DPT-007
ATR-000057,EMP-00020,ATT-COI,Conflict of Interest,Yes,2025-09-06,2025-08-19,Completed,0,DPT-003
ATR-000058,EMP-00020,ATT-COC,Code of Conduct Attestation,Yes,2025-10-09,2025-09-27,Completed,0,DPT-003
ATR-000059,EMP-00020,ATT-PRV,Privacy & Data Handling,Yes,2025-10-01,2025-09-26,Completed,0,DPT-003
ATR-000060,EMP-00020,ATT-INS,Insider Trading Window,Yes,2026-04-21,2026-04-02,Completed,0,DPT-003
ATR-000061,EMP-00021,ATT-COI,Conflict of Interest,Yes,2025-06-15,2025-05-27,Completed,0,DPT-012
ATR-000062,EMP-00021,ATT-COC,Code of Conduct Attestation,Yes,2026-03-17,,Overdue,68,DPT-012
ATR-000063,EMP-00021,ATT-PRV,Privacy & Data Handling,Yes,2025-12-24,2025-12-07,Completed,0,DPT-012
ATR-000064,EMP-00021,ATT-INS,Insider Trading Window,Yes,2026-02-03,2026-01-14,Completed,0,DPT-012
ATR-000065,EMP-00022,ATT-COI,Conflict of Interest,Yes,2025-10-12,2025-10-11,Completed,0,DPT-026
ATR-000066,EMP-00022,ATT-COC,Code of Conduct Attestation,Yes,2025-07-15,2025-08-22,Completed,0,DPT-026
ATR-000067,EMP-00022,ATT-PRV,Privacy & Data Handling,Yes,2025-06-20,2025-08-22,Completed,0,DPT-026
ATR-000068,EMP-00022,ATT-INS,Insider Trading Window,Yes,2026-01-18,2026-01-12,Completed,0,DPT-026
ATR-000069,EMP-00023,ATT-COI,Conflict of Interest,Yes,2026-05-11,2026-05-05,Completed,0,DPT-018
ATR-000070,EMP-00023,ATT-COC,Code of Conduct Attestation,Yes,2025-09-18,2025-09-05,Completed,0,DPT-018
ATR-000071,EMP-00023,ATT-PRV,Privacy & Data Handling,Yes,2025-08-16,2025-08-02,Completed,0,DPT-018
ATR-000072,EMP-00023,ATT-INS,Insider Trading Window,Yes,2026-02-10,2026-02-04,Completed,0,DPT-018
ATR-000073,EMP-00024,ATT-COI,Conflict of Interest,Yes,2025-09-22,2025-12-31,Completed,0,DPT-004
ATR-000074,EMP-00024,ATT-COC,Code of Conduct Attestation,Yes,2025-06-27,2025-12-31,Completed,0,DPT-004
ATR-000075,EMP-00024,ATT-PRV,Privacy & Data Handling,Yes,2026-05-02,2026-04-28,Completed,0,DPT-004
ATR-000076,EMP-00024,ATT-INS,Insider Trading Window,Yes,2026-01-16,2026-01-09,Completed,0,DPT-004
ATR-000077,EMP-00025,ATT-COI,Conflict of Interest,Yes,2025-12-24,2025-12-13,Completed,0,DPT-013
ATR-000078,EMP-00025,ATT-COC,Code of Conduct Attestation,Yes,2025-11-01,2025-10-17,Completed,0,DPT-013
ATR-000079,EMP-00025,ATT-PRV,Privacy & Data Handling,Yes,2025-10-12,2025-10-11,Completed,0,DPT-013
ATR-000080,EMP-00025,ATT-INS,Insider Trading Window,Yes,2026-01-11,2025-12-23,Completed,0,DPT-013
ATR-000081,EMP-00026,ATT-COI,Conflict of Interest,Yes,2026-05-08,2026-05-05,Completed,0,DPT-018
ATR-000082,EMP-00026,ATT-COC,Code of Conduct Attestation,Yes,2025-10-25,2025-10-16,Completed,0,DPT-018
ATR-000083,EMP-00026,ATT-PRV,Privacy & Data Handling,Yes,2026-02-24,2026-02-12,Completed,0,DPT-018
ATR-000084,EMP-00026,ATT-INS,Insider Trading Window,Yes,2026-05-23,2026-05-04,Completed,0,DPT-018
ATR-000085,EMP-00029,ATT-COI,Conflict of Interest,Yes,2025-06-13,2025-05-26,Completed,0,DPT-005
ATR-000086,EMP-00029,ATT-COC,Code of Conduct Attestation,Yes,2025-12-29,2025-12-12,Completed,0,DPT-005
ATR-000087,EMP-00029,ATT-PRV,Privacy & Data Handling,Yes,2026-05-24,2026-05-21,Completed,0,DPT-005
ATR-000088,EMP-00029,ATT-INS,Insider Trading Window,Yes,2026-02-01,2026-01-25,Completed,0,DPT-005
ATR-000089,EMP-00030,ATT-COI,Conflict of Interest,Yes,2025-09-08,2025-09-06,Completed,0,DPT-010
ATR-000090,EMP-00030,ATT-COC,Code of Conduct Attestation,Yes,2025-11-10,2025-10-26,Completed,0,DPT-010
ATR-000091,EMP-00030,ATT-PRV,Privacy & Data Handling,Yes,2026-04-13,2026-03-24,Completed,0,DPT-010
ATR-000092,EMP-00030,ATT-INS,Insider Trading Window,Yes,2026-02-15,2026-02-10,Completed,0,DPT-010
ATR-000093,EMP-00031,ATT-COI,Conflict of Interest,Yes,2025-07-25,2025-07-09,Completed,0,DPT-021
ATR-000094,EMP-00031,ATT-COC,Code of Conduct Attestation,Yes,2026-05-05,2026-05-04,Completed,0,DPT-021
ATR-000095,EMP-00031,ATT-PRV,Privacy & Data Handling,Yes,2025-08-06,2025-07-30,Completed,0,DPT-021
ATR-000096,EMP-00031,ATT-INS,Insider Trading Window,Yes,2026-04-03,2026-03-30,Completed,0,DPT-021
ATR-000097,EMP-00032,ATT-COI,Conflict of Interest,Yes,2026-04-22,2026-04-17,Completed,0,DPT-024
ATR-000098,EMP-00032,ATT-COC,Code of Conduct Attestation,Yes,2025-11-17,2025-10-28,Completed,0,DPT-024
ATR-000099,EMP-00032,ATT-PRV,Privacy & Data Handling,Yes,2026-03-02,2026-02-11,Completed,0,DPT-024
ATR-000100,EMP-00032,ATT-INS,Insider Trading Window,Yes,2026-04-13,2026-04-01,Completed,0,DPT-024
ATR-000101,EMP-00033,ATT-COI,Conflict of Interest,Yes,2025-07-11,2025-06-24,Completed,0,DPT-006
ATR-000102,EMP-00033,ATT-COC,Code of Conduct Attestation,Yes,2025-11-13,2025-11-09,Completed,0,DPT-006
ATR-000103,EMP-00033,ATT-PRV,Privacy & Data Handling,Yes,2026-03-26,2026-03-15,Completed,0,DPT-006
ATR-000104,EMP-00033,ATT-INS,Insider Trading Window,Yes,2026-02-07,2026-01-29,Completed,0,DPT-006
ATR-000105,EMP-00034,ATT-COI,Conflict of Interest,Yes,2026-04-17,2026-03-29,Completed,0,DPT-008
ATR-000106,EMP-00034,ATT-COC,Code of Conduct Attestation,Yes,2025-06-19,2025-06-14,Completed,0,DPT-008
ATR-000107,EMP-00034,ATT-PRV,Privacy & Data Handling,Yes,2025-07-11,2025-06-24,Completed,0,DPT-008
ATR-000108,EMP-00034,ATT-INS,Insider Trading Window,Yes,2026-03-20,2026-03-04,Completed,0,DPT-008
ATR-000109,EMP-00035,ATT-COI,Conflict of Interest,Yes,2025-06-01,2025-05-30,Completed,0,DPT-017
ATR-000110,EMP-00035,ATT-COC,Code of Conduct Attestation,Yes,2025-08-31,2025-08-20,Completed,0,DPT-017
ATR-000111,EMP-00035,ATT-PRV,Privacy & Data Handling,Yes,2025-10-16,2025-10-12,Completed,0,DPT-017
ATR-000112,EMP-00035,ATT-INS,Insider Trading Window,Yes,2026-04-10,2026-03-28,Completed,0,DPT-017
ATR-000113,EMP-00036,ATT-COI,Conflict of Interest,Yes,2026-05-06,2026-04-27,Completed,0,DPT-022
ATR-000114,EMP-00036,ATT-COC,Code of Conduct Attestation,Yes,2025-11-03,2026-03-18,Completed,0,DPT-022
ATR-000115,EMP-00036,ATT-PRV,Privacy & Data Handling,Yes,2025-09-28,2026-03-18,Completed,0,DPT-022
ATR-000116,EMP-00036,ATT-INS,Insider Trading Window,Yes,2026-02-10,2026-03-09,Completed,0,DPT-022
ATR-000117,EMP-00037,ATT-COI,Conflict of Interest,Yes,2026-05-01,2026-04-18,Completed,0,DPT-020
ATR-000118,EMP-00037,ATT-COC,Code of Conduct Attestation,Yes,2026-04-14,2026-04-13,Completed,0,DPT-020
ATR-000119,EMP-00037,ATT-PRV,Privacy & Data Handling,Yes,2025-11-13,2025-10-31,Completed,0,DPT-020
ATR-000120,EMP-00037,ATT-INS,Insider Trading Window,Yes,2026-03-09,2026-02-23,Completed,0,DPT-020
ATR-000121,EMP-00038,ATT-COI,Conflict of Interest,Yes,2026-05-09,2026-05-06,Completed,0,DPT-008
ATR-000122,EMP-00038,ATT-COC,Code of Conduct Attestation,Yes,2026-03-10,2026-03-04,Completed,0,DPT-008
ATR-000123,EMP-00038,ATT-PRV,Privacy & Data Handling,Yes,2026-02-04,2026-01-30,Completed,0,DPT-008
ATR-000124,EMP-00038,ATT-INS,Insider Trading Window,Yes,2025-12-10,2025-12-03,Completed,0,DPT-008
ATR-000125,EMP-00040,ATT-COI,Conflict of Interest,Yes,2026-04-24,2026-04-22,Completed,0,DPT-002
ATR-000126,EMP-00040,ATT-COC,Code of Conduct Attestation,Yes,2025-07-24,2025-07-18,Completed,0,DPT-002
ATR-000127,EMP-00040,ATT-PRV,Privacy & Data Handling,Yes,2026-03-16,2026-03-04,Completed,0,DPT-002
ATR-000128,EMP-00040,ATT-INS,Insider Trading Window,Yes,2026-01-22,2026-01-18,Completed,0,DPT-002
ATR-000129,EMP-00041,ATT-COI,Conflict of Interest,Yes,2025-11-29,,Overdue,176,DPT-004
ATR-000130,EMP-00041,ATT-COC,Code of Conduct Attestation,Yes,2025-06-13,2025-06-11,Completed,0,DPT-004
ATR-000131,EMP-00041,ATT-PRV,Privacy & Data Handling,Yes,2025-12-23,2025-12-22,Completed,0,DPT-004
ATR-000132,EMP-00041,ATT-INS,Insider Trading Window,Yes,2026-03-16,2026-03-03,Completed,0,DPT-004
ATR-000133,EMP-00042,ATT-COI,Conflict of Interest,Yes,2025-11-16,2025-11-14,Completed,0,DPT-007
ATR-000134,EMP-00042,ATT-COC,Code of Conduct Attestation,Yes,2026-03-19,2026-03-14,Completed,0,DPT-007
ATR-000135,EMP-00042,ATT-PRV,Privacy & Data Handling,Yes,2025-07-16,2025-07-02,Completed,0,DPT-007
ATR-000136,EMP-00042,ATT-INS,Insider Trading Window,Yes,2026-05-05,2026-05-03,Completed,0,DPT-007
ATR-000137,EMP-00043,ATT-COI,Conflict of Interest,Yes,2026-02-04,2026-01-22,Completed,0,DPT-009
ATR-000138,EMP-00043,ATT-COC,Code of Conduct Attestation,Yes,2025-10-15,2025-10-14,Completed,0,DPT-009
ATR-000139,EMP-00043,ATT-PRV,Privacy & Data Handling,Yes,2026-05-13,2026-05-06,Completed,0,DPT-009
ATR-000140,EMP-00043,ATT-INS,Insider Trading Window,Yes,2025-12-22,2025-12-06,Completed,0,DPT-009
ATR-000141,EMP-00044,ATT-COI,Conflict of Interest,Yes,2025-08-07,2025-08-01,Completed,0,DPT-023
ATR-000142,EMP-00044,ATT-COC,Code of Conduct Attestation,Yes,2025-07-08,2025-06-18,Completed,0,DPT-023
ATR-000143,EMP-00044,ATT-PRV,Privacy & Data Handling,Yes,2026-05-24,2026-05-14,Completed,0,DPT-023
ATR-000144,EMP-00044,ATT-INS,Insider Trading Window,Yes,2026-03-17,2026-02-26,Completed,0,DPT-023
ATR-000145,EMP-00045,ATT-COI,Conflict of Interest,Yes,2025-12-18,2025-11-30,Completed,0,DPT-023
ATR-000146,EMP-00045,ATT-COC,Code of Conduct Attestation,Yes,2025-09-06,2025-08-20,Completed,0,DPT-023
ATR-000147,EMP-00045,ATT-PRV,Privacy & Data Handling,Yes,2025-11-16,2025-11-06,Completed,0,DPT-023
ATR-000148,EMP-00045,ATT-INS,Insider Trading Window,Yes,2025-11-27,2025-11-22,Completed,0,DPT-023
ATR-000149,EMP-00048,ATT-COI,Conflict of Interest,Yes,2025-08-10,2025-07-24,Completed,0,DPT-002
ATR-000150,EMP-00048,ATT-COC,Code of Conduct Attestation,Yes,2026-01-16,2026-01-04,Completed,0,DPT-002
ATR-000151,EMP-00048,ATT-PRV,Privacy & Data Handling,Yes,2026-04-25,2026-04-08,Completed,0,DPT-002
ATR-000152,EMP-00048,ATT-INS,Insider Trading Window,Yes,2026-01-28,2026-01-19,Completed,0,DPT-002
ATR-000153,EMP-00049,ATT-COI,Conflict of Interest,Yes,2025-10-30,2025-10-16,Completed,0,DPT-005
ATR-000154,EMP-00049,ATT-COC,Code of Conduct Attestation,Yes,2025-08-11,2025-08-02,Completed,0,DPT-005
ATR-000155,EMP-00049,ATT-PRV,Privacy & Data Handling,Yes,2026-03-05,2026-02-25,Completed,0,DPT-005
ATR-000156,EMP-00049,ATT-INS,Insider Trading Window,Yes,2026-01-26,2026-01-22,Completed,0,DPT-005
ATR-000157,EMP-00050,ATT-COI,Conflict of Interest,Yes,2025-09-25,2025-09-09,Completed,0,DPT-005
ATR-000158,EMP-00050,ATT-COC,Code of Conduct Attestation,Yes,2026-04-18,2026-04-03,Completed,0,DPT-005
ATR-000159,EMP-00050,ATT-PRV,Privacy & Data Handling,Yes,2025-07-05,2025-06-15,Completed,0,DPT-005
ATR-000160,EMP-00050,ATT-INS,Insider Trading Window,Yes,2025-12-04,2025-11-27,Completed,0,DPT-005
ATR-000161,EMP-00051,ATT-COI,Conflict of Interest,Yes,2025-07-31,2025-07-29,Completed,0,DPT-021
ATR-000162,EMP-00051,ATT-COC,Code of Conduct Attestation,Yes,2025-12-03,2025-11-26,Completed,0,DPT-021
ATR-000163,EMP-00051,ATT-PRV,Privacy & Data Handling,Yes,2025-09-15,2025-09-10,Completed,0,DPT-021
ATR-000164,EMP-00051,ATT-INS,Insider Trading Window,Yes,2026-02-02,2026-01-21,Completed,0,DPT-021
ATR-000165,EMP-00052,ATT-COI,Conflict of Interest,Yes,2025-08-11,2025-08-18,Completed,0,DPT-023
ATR-000166,EMP-00052,ATT-COC,Code of Conduct Attestation,Yes,2025-11-10,2025-10-24,Completed,0,DPT-023
ATR-000167,EMP-00052,ATT-PRV,Privacy & Data Handling,Yes,2026-02-01,2026-01-22,Completed,0,DPT-023
ATR-000168,EMP-00052,ATT-INS,Insider Trading Window,Yes,2026-05-17,2026-05-15,Completed,0,DPT-023
ATR-000169,EMP-00054,ATT-COI,Conflict of Interest,Yes,2026-01-07,2025-12-26,Completed,0,DPT-008
ATR-000170,EMP-00054,ATT-COC,Code of Conduct Attestation,Yes,2026-04-06,2026-04-03,Completed,0,DPT-008
ATR-000171,EMP-00054,ATT-PRV,Privacy & Data Handling,Yes,2026-03-04,2026-02-16,Completed,0,DPT-008
ATR-000172,EMP-00054,ATT-INS,Insider Trading Window,Yes,2026-03-18,2026-03-02,Completed,0,DPT-008
ATR-000173,EMP-00055,ATT-COI,Conflict of Interest,Yes,2026-04-03,2026-03-23,Completed,0,DPT-007
ATR-000174,EMP-00055,ATT-COC,Code of Conduct Attestation,Yes,2026-01-04,2025-12-29,Completed,0,DPT-007
ATR-000175,EMP-00055,ATT-PRV,Privacy & Data Handling,Yes,2026-03-18,2026-03-11,Completed,0,DPT-007
ATR-000176,EMP-00055,ATT-INS,Insider Trading Window,Yes,2026-01-15,2025-12-30,Completed,0,DPT-007
ATR-000177,EMP-00057,ATT-COI,Conflict of Interest,Yes,2026-03-09,2026-03-06,Completed,0,DPT-002
ATR-000178,EMP-00057,ATT-COC,Code of Conduct Attestation,Yes,2025-06-21,2025-11-28,Completed,0,DPT-002
ATR-000179,EMP-00057,ATT-PRV,Privacy & Data Handling,Yes,2025-08-22,2025-11-20,Completed,0,DPT-002
ATR-000180,EMP-00057,ATT-INS,Insider Trading Window,Yes,2026-04-29,2026-04-15,Completed,0,DPT-002
ATR-000181,EMP-00058,ATT-COI,Conflict of Interest,Yes,2025-11-10,2025-10-29,Completed,0,DPT-003
ATR-000182,EMP-00058,ATT-COC,Code of Conduct Attestation,Yes,2026-04-03,2026-03-29,Completed,0,DPT-003
ATR-000183,EMP-00058,ATT-PRV,Privacy & Data Handling,Yes,2026-03-01,2026-02-16,Completed,0,DPT-003
ATR-000184,EMP-00058,ATT-INS,Insider Trading Window,Yes,2026-02-21,2026-02-03,Completed,0,DPT-003
ATR-000185,EMP-00060,ATT-COI,Conflict of Interest,Yes,2025-12-08,2025-11-24,Completed,0,DPT-001
ATR-000186,EMP-00060,ATT-COC,Code of Conduct Attestation,Yes,2025-06-24,2025-06-13,Completed,0,DPT-001
ATR-000187,EMP-00060,ATT-PRV,Privacy & Data Handling,Yes,2026-03-14,2026-02-25,Completed,0,DPT-001
ATR-000188,EMP-00060,ATT-INS,Insider Trading Window,Yes,2025-12-15,2025-12-13,Completed,0,DPT-001
ATR-000189,EMP-00061,ATT-COI,Conflict of Interest,Yes,2025-08-23,2025-11-21,Completed,0,DPT-001
ATR-000190,EMP-00061,ATT-COC,Code of Conduct Attestation,Yes,2026-04-23,2026-04-13,Completed,0,DPT-001
ATR-000191,EMP-00061,ATT-PRV,Privacy & Data Handling,Yes,2025-09-06,2025-11-19,Completed,0,DPT-001
ATR-000192,EMP-00061,ATT-INS,Insider Trading Window,Yes,2026-04-12,2026-03-24,Completed,0,DPT-001
ATR-000193,EMP-00062,ATT-COI,Conflict of Interest,Yes,2026-04-30,2026-04-13,Completed,0,DPT-014
ATR-000194,EMP-00062,ATT-COC,Code of Conduct Attestation,Yes,2026-03-15,2026-03-02,Completed,0,DPT-014
ATR-000195,EMP-00062,ATT-PRV,Privacy & Data Handling,Yes,2025-12-27,2025-12-19,Completed,0,DPT-014
ATR-000196,EMP-00062,ATT-INS,Insider Trading Window,Yes,2026-02-22,2026-02-14,Completed,0,DPT-014
ATR-000197,EMP-00063,ATT-COI,Conflict of Interest,Yes,2025-09-10,2025-09-03,Completed,0,DPT-001
ATR-000198,EMP-00063,ATT-COC,Code of Conduct Attestation,Yes,2026-03-07,,Overdue,78,DPT-001
ATR-000199,EMP-00063,ATT-PRV,Privacy & Data Handling,Yes,2026-02-23,2026-02-09,Completed,0,DPT-001
ATR-000200,EMP-00063,ATT-INS,Insider Trading Window,Yes,2026-04-10,2026-04-07,Completed,0,DPT-001
ATR-000201,EMP-00064,ATT-COI,Conflict of Interest,Yes,2025-08-10,2025-08-04,Completed,0,DPT-001
ATR-000202,EMP-00064,ATT-COC,Code of Conduct Attestation,Yes,2026-01-16,2025-12-31,Completed,0,DPT-001
ATR-000203,EMP-00064,ATT-PRV,Privacy & Data Handling,Yes,2026-04-03,2026-03-24,Completed,0,DPT-001
ATR-000204,EMP-00064,ATT-INS,Insider Trading Window,Yes,2026-04-09,2026-04-02,Completed,0,DPT-001
ATR-000205,EMP-00065,ATT-COI,Conflict of Interest,Yes,2025-12-08,2026-01-15,Completed,0,DPT-005
ATR-000206,EMP-00065,ATT-COC,Code of Conduct Attestation,Yes,2026-03-27,2026-03-14,Completed,0,DPT-005
ATR-000207,EMP-00065,ATT-PRV,Privacy & Data Handling,Yes,2025-10-01,2026-01-09,Completed,0,DPT-005
ATR-000208,EMP-00065,ATT-INS,Insider Trading Window,Yes,2026-02-26,2026-02-25,Completed,0,DPT-005
ATR-000209,EMP-00066,ATT-COI,Conflict of Interest,Yes,2025-11-29,2025-11-20,Completed,0,DPT-001
ATR-000210,EMP-00066,ATT-COC,Code of Conduct Attestation,Yes,2026-01-07,2025-12-20,Completed,0,DPT-001
ATR-000211,EMP-00066,ATT-PRV,Privacy & Data Handling,Yes,2025-08-24,2025-08-21,Completed,0,DPT-001
ATR-000212,EMP-00066,ATT-INS,Insider Trading Window,Yes,2026-04-27,2026-04-12,Completed,0,DPT-001
ATR-000213,EMP-00067,ATT-COI,Conflict of Interest,Yes,2026-01-15,2025-12-27,Completed,0,DPT-017
ATR-000214,EMP-00067,ATT-COC,Code of Conduct Attestation,Yes,2025-09-17,2025-09-10,Completed,0,DPT-017
ATR-000215,EMP-00067,ATT-PRV,Privacy & Data Handling,Yes,2025-09-25,2025-09-09,Completed,0,DPT-017
ATR-000216,EMP-00067,ATT-INS,Insider Trading Window,Yes,2026-05-21,2026-05-15,Completed,0,DPT-017
ATR-000217,EMP-00068,ATT-COI,Conflict of Interest,Yes,2025-09-26,2026-04-28,Completed,0,DPT-021
ATR-000218,EMP-00068,ATT-COC,Code of Conduct Attestation,Yes,2025-12-07,2026-04-23,Completed,0,DPT-021
ATR-000219,EMP-00068,ATT-PRV,Privacy & Data Handling,Yes,2026-02-25,2026-05-02,Completed,0,DPT-021
ATR-000220,EMP-00068,ATT-INS,Insider Trading Window,Yes,2026-04-04,2026-05-03,Completed,0,DPT-021
ATR-000221,EMP-00070,ATT-COI,Conflict of Interest,Yes,2026-02-20,2026-02-18,Completed,0,DPT-026
ATR-000222,EMP-00070,ATT-COC,Code of Conduct Attestation,Yes,2025-09-04,2025-08-31,Completed,0,DPT-026
ATR-000223,EMP-00070,ATT-PRV,Privacy & Data Handling,Yes,2025-10-30,2025-10-11,Completed,0,DPT-026
ATR-000224,EMP-00070,ATT-INS,Insider Trading Window,Yes,2026-01-08,2026-01-02,Completed,0,DPT-026
ATR-000225,EMP-00071,ATT-COI,Conflict of Interest,Yes,2026-01-02,2025-12-22,Completed,0,DPT-003
ATR-000226,EMP-00071,ATT-COC,Code of Conduct Attestation,Yes,2025-07-31,2025-07-29,Completed,0,DPT-003
