policy_id,customer_id,product_id,advisor_id,policy_number,policy_type,status,effective_date,expiry_date,premium_amount,coverage_amount,payment_frequency,last_payment_date,risk_category
POL-00021,CUS-0109,PRD-0008,ADV-0005,MLJ-504221,Health,Active,2018-11-01,2038-11-01,14236,22572298,Annual,2025-04-29,Low
POL-00022,CUS-0081,PRD-0008,ADV-0020,MLJ-519701,Health,Cancelled,2021-11-25,2036-11-25,10698,12796266,Semi-Annual,2025-06-18,High
POL-00023,CUS-0132,PRD-0006,ADV-0023,MLJ-915475,Health,Active,2021-09-15,2031-09-15,5477,7005153,Monthly,2025-04-06,Medium
POL-00024,CUS-0012,PRD-0007,ADV-0005,MLJ-987830,Health,Active,2022-03-09,2052-03-09,5657,8129804,Monthly,2025-07-19,Medium
POL-00025,CUS-0100,PRD-0006,ADV-0002,MLJ-315300,Health,Cancelled,2023-01-08,2038-01-08,1938,2673664,Quarterly,2025-05-09,Low
POL-00026,CUS-0029,PRD-0001,ADV-0004,MLJ-519965,Wealth,Cancelled,2021-10-07,2120-10-07,23583,15915667,Annual,2025-05-06,Low
POL-00027,CUS-0181,PRD-0004,ADV-0028,MLJ-433643,Life,Active,2018-07-17,2033-07-17,2682,15088475,Annual,2026-01-24,Low
POL-00028,CUS-0133,PRD-0002,ADV-0026,MLJ-578930,Wealth,Cancelled,2022-08-25,2042-08-25,30210,22332105,Semi-Annual,2025-04-02,Low
POL-00029,CUS-0121,PRD-0002,ADV-0026,MLJ-472319,Wealth,Active,2024-05-22,2044-05-22,18517,16159643,Semi-Annual,2025-07-03,Medium
POL-00030,CUS-0121,PRD-0003,ADV-0028,MLJ-522579,Life,Active,2023-08-20,2043-08-20,118083,189139859,Quarterly,2025-08-22,Medium
POL-00031,CUS-0083,PRD-0002,ADV-0005,MLJ-146201,Wealth,Cancelled,2018-08-05,2048-08-05,27875,25841983,Monthly,2025-09-12,High
POL-00032,CUS-0064,PRD-0009,ADV-0002,MLJ-526327,Group,Cancelled,2020-02-17,2050-02-17,36043,124506980,Annual,2025-10-18,Low
POL-00033,CUS-0008,PRD-0009,ADV-0018,MLJ-758676,Group,Active,2019-04-05,2029-04-05,3772,13557224,Annual,2025-08-04,Low
POL-00034,CUS-0010,PRD-0005,ADV-0020,MLJ-743163,Life,Cancelled,2018-01-07,2117-01-07,16698,43327842,Quarterly,2025-03-06,High
POL-00035,CUS-0119,PRD-0005,ADV-0020,MLJ-718134,Life,Lapsed,2020-03-14,2035-03-14,7648,16241856,Quarterly,2025-11-19,Low
POL-00036,CUS-0197,PRD-0011,ADV-0020,MLJ-319416,Health,Active,2018-08-28,2117-08-28,3425,10453097,Quarterly,2025-06-21,Medium
POL-00037,CUS-0143,PRD-0007,ADV-0029,MLJ-380300,Health,Active,2022-08-01,2121-08-01,4607,7590503,Monthly,2025-09-24,Low
POL-00038,CUS-0084,PRD-0011,ADV-0018,MLJ-626283,Health,Active,2024-10-14,2034-10-14,4094,9172173,Monthly,2026-01-01,Medium
POL-00039,CUS-0040,PRD-0007,ADV-0001,MLJ-556247,Health,Active,2025-06-30,2045-06-28,1658,2926993,Semi-Annual,2025-03-14,Medium
POL-00040,CUS-0117,PRD-0003,ADV-0014,MLJ-464170,Life,Active,2021-01-11,2031-01-11,66317,83377500,Annual,2025-03-26,High
POL-00041,CUS-0014,PRD-0012,ADV-0017,MLJ-686056,Life,Cancelled,2025-01-23,2045-01-23,3896,9952468,Semi-Annual,2025-06-17,High
POL-00042,CUS-0047,PRD-0010,ADV-0021,MLJ-867507,Life,Lapsed,2022-06-19,2042-06-19,213107,122961993,Quarterly,2025-12-17,Low
POL-00043,CUS-0021,PRD-0004,ADV-0003,MLJ-146481,Life,Active,2023-12-02,2122-12-02,523,3002227,Quarterly,2025-10-14,Medium
POL-00044,CUS-0083,PRD-0008,ADV-0005,MLJ-219255,Health,Active,2022-03-17,2032-03-17,13761,16678134,Semi-Annual,2025-01-17,Low
POL-00045,CUS-0172,PRD-0001,ADV-0002,MLJ-618420,Wealth,Active,2021-09-24,2120-09-24,29714,14762817,Annual,2026-04-20,High
POL-00046,CUS-0084,PRD-0004,ADV-0024,MLJ-941596,Life,Active,2020-11-13,2035-11-13,2610,14749653,Annual,2025-10-15,Low
POL-00047,CUS-0150,PRD-0003,ADV-0013,MLJ-569820,Life,Active,2020-01-30,2030-01-28,33452,43064463,Monthly,2025-08-21,Medium
POL-00048,CUS-0011,PRD-0012,ADV-0019,MLJ-247009,Life,Active,2025-06-04,2124-06-04,8041,26509590,Monthly,2026-04-27,Low
POL-00049,CUS-0191,PRD-0012,ADV-0008,MLJ-832579,Life,Active,2024-03-17,2054-03-17,6507,16600923,Semi-Annual,2025-05-16,High
POL-00050,CUS-0185,PRD-0006,ADV-0026,MLJ-821792,Health,Active,2024-10-27,2034-10-27,945,1129391,Quarterly,2025-04-07,Low
POL-00051,CUS-0125,PRD-0003,ADV-0016,MLJ-360776,Life,Active,2022-11-12,2121-11-12,131765,172537788,Quarterly,2025-06-26,High
POL-00052,CUS-0075,PRD-0003,ADV-0026,MLJ-341701,Life,Lapsed,2022-02-25,2037-02-25,1360,1610780,Annual,2025-10-31,Low
POL-00053,CUS-0101,PRD-0003,ADV-0011,MLJ-771878,Life,Lapsed,2024-06-30,2044-06-28,14641,18721878,Annual,2025-02-24,Low
POL-00054,CUS-0138,PRD-0011,ADV-0015,MLJ-330032,Health,Active,2018-01-14,2038-01-14,4938,14068454,Semi-Annual,2025-08-23,Low
POL-00055,CUS-0087,PRD-0006,ADV-0028,MLJ-435070,Health,Cancelled,2025-08-12,2055-08-12,2181,2930811,Semi-Annual,2025-01-10,Low
POL-00056,CUS-0136,PRD-0001,ADV-0018,MLJ-329356,Wealth,Cancelled,2022-08-11,2052-08-11,53193,26182864,Quarterly,2026-02-20,Medium
POL-00057,CUS-0015,PRD-0004,ADV-0013,MLJ-985746,Life,Active,2021-11-23,2120-11-23,1134,8750383,Quarterly,2025-07-06,Medium
POL-00058,CUS-0134,PRD-0006,ADV-0015,MLJ-339862,Health,Active,2025-08-28,2040-08-28,7039,9720378,Annual,2025-02-02,High
POL-00059,CUS-0109,PRD-0009,ADV-0028,MLJ-135413,Group,Active,2023-06-24,2043-06-24,81330,328038905,Monthly,2025-10-12,Low
POL-00060,CUS-0098,PRD-0009,ADV-0007,MLJ-626969,Group,Active,2025-10-23,2045-10-23,9285,38906565,Quarterly,2025-10-25,Medium
POL-00061,CUS-0104,PRD-0009,ADV-0027,MLJ-481413,Group,Active,2019-09-27,2039-09-27,73249,214721309,Monthly,2026-05-01,High
POL-00062,CUS-0097,PRD-0010,ADV-0006,MLJ-120293,Life,Active,2019-04-04,2039-04-04,243673,150108436,Annual,2025-07-23,High
POL-00063,CUS-0174,PRD-0008,ADV-0007,MLJ-513154,Health,Active,2021-01-21,2051-01-21,5816,7619868,Annual,2026-03-06,Low
POL-00064,CUS-0078,PRD-0006,ADV-0003,MLJ-905047,Health,Active,2020-02-27,2050-02-27,3415,4149392,Quarterly,2025-06-01,High
POL-00065,CUS-0003,PRD-0006,ADV-0020,MLJ-173648,Health,Active,2023-03-15,2053-03-15,3639,4625581,Monthly,2025-07-31,Medium
POL-00066,CUS-0055,PRD-0012,ADV-0024,MLJ-664943,Life,Active,2023-01-27,2053-01-27,7022,23406360,Monthly,2025-06-12,High
POL-00067,CUS-0142,PRD-0004,ADV-0016,MLJ-371102,Life,Active,2021-04-09,2031-04-09,11170,74861610,Annual,2025-11-08,Medium
POL-00068,CUS-0198,PRD-0006,ADV-0003,MLJ-966833,Health,Active,2023-03-13,2122-03-13,5651,8535456,Semi-Annual,2025-10-10,Low
POL-00069,CUS-0041,PRD-0005,ADV-0014,MLJ-483680,Life,Active,2018-03-22,2048-03-22,4524,12136396,Semi-Annual,2025-02-13,High
POL-00070,CUS-0030,PRD-0003,ADV-0024,MLJ-829283,Life,Active,2022-12-06,2121-12-06,73248,92126099,Monthly,2025-07-18,Medium
POL-00071,CUS-0144,PRD-0001,ADV-0003,MLJ-522692,Wealth,Active,2023-01-20,2043-01-20,50945,23969669,Annual,2025-04-15,Medium
POL-00072,CUS-0033,PRD-0002,ADV-0016,MLJ-620148,Wealth,Lapsed,2022-09-26,2037-09-26,35770,25962793,Quarterly,2025-08-12,Low
POL-00073,CUS-0048,PRD-0003,ADV-0027,MLJ-560318,Life,Lapsed,2021-03-19,2120-03-19,108690,135573244,Semi-Annual,2026-02-24,Low
POL-00074,CUS-0075,PRD-0010,ADV-0017,MLJ-732079,Life,Active,2021-10-12,2041-10-12,174455,120057283,Semi-Annual,2026-01-25,Low
POL-00075,CUS-0087,PRD-0008,ADV-0010,MLJ-480989,Health,Lapsed,2024-11-10,2034-11-10,17330,28860768,Semi-Annual,2025-11-03,High
POL-00076,CUS-0109,PRD-0007,ADV-0013,MLJ-974191,Health,Active,2021-12-17,2041-12-17,1152,2366849,Semi-Annual,2025-03-02,Low
POL-00077,CUS-0009,PRD-0010,ADV-0006,MLJ-372157,Life,Active,2018-05-11,2117-05-11,17298,8789584,Semi-Annual,2026-03-30,Low
POL-00078,CUS-0085,PRD-0003,ADV-0021,MLJ-209252,Life,Active,2025-10-14,2124-10-14,10698,18688454,Semi-Annual,2025-08-20,High
POL-00079,CUS-0117,PRD-0011,ADV-0019,MLJ-463221,Health,Active,2023-05-11,2122-05-11,2555,5993073,Annual,2026-04-26,Medium
POL-00080,CUS-0193,PRD-0003,ADV-0003,MLJ-623068,Life,Active,2020-04-11,2040-04-11,58654,72351318,Semi-Annual,2026-03-24,High
POL-00081,CUS-0016,PRD-0008,ADV-0011,MLJ-165789,Health,Active,2023-07-23,2053-07-23,14365,21916643,Semi-Annual,2026-04-14,Low
POL-00082,CUS-0128,PRD-0011,ADV-0018,MLJ-321891,Health,Lapsed,2025-11-20,2035-11-20,5586,15535058,Monthly,2025-07-28,Low
POL-00083,CUS-0197,PRD-0001,ADV-0002,MLJ-253129,Wealth,Lapsed,2025-07-02,2040-07-02,26264,14528099,Annual,2025-07-17,Medium
POL-00084,CUS-0169,PRD-0006,ADV-0030,MLJ-301469,Health,Active,2022-12-22,2032-12-22,1104,1568022,Quarterly,2025-04-11,High
POL-00085,CUS-0022,PRD-0009,ADV-0002,MLJ-455231,Group,Active,2020-12-25,2030-12-25,4264,13014526,Monthly,2025-05-06,Medium
POL-00086,CUS-0174,PRD-0007,ADV-0003,MLJ-688976,Health,Active,2025-05-18,2040-05-18,220,356846,Monthly,2025-11-22,Low
POL-00087,CUS-0140,PRD-0003,ADV-0015,MLJ-144119,Life,Active,2022-04-14,2052-04-14,27665,42967405,Annual,2025-11-27,Low
POL-00088,CUS-0150,PRD-0004,ADV-0007,MLJ-205086,Life,Lapsed,2024-01-08,2039-01-08,14462,90429527,Semi-Annual,2026-01-04,High
POL-00089,CUS-0079,PRD-0008,ADV-0026,MLJ-449843,Health,Lapsed,2024-01-21,2034-01-21,13668,22726771,Semi-Annual,2025-01-13,High
POL-00090,CUS-0154,PRD-0005,ADV-0026,MLJ-315408,Life,Lapsed,2021-07-15,2051-07-15,2899,7338888,Semi-Annual,2025-11-19,Medium
POL-00091,CUS-0151,PRD-0002,ADV-0013,MLJ-463257,Wealth,Active,2020-04-12,2030-04-12,4785,4246822,Monthly,2026-04-11,Medium
POL-00092,CUS-0040,PRD-0002,ADV-0015,MLJ-377358,Wealth,Active,2018-01-12,2048-01-12,8500,8002063,Quarterly,2025-06-18,Low
POL-00093,CUS-0015,PRD-0004,ADV-0022,MLJ-417794,Life,Cancelled,2022-07-08,2032-07-08,11778,74946395,Annual,2025-05-24,Medium
POL-00094,CUS-0141,PRD-0012,ADV-0009,MLJ-151705,Life,Cancelled,2025-02-08,2055-02-08,7100,18581970,Quarterly,2025-04-10,Medium
POL-00095,CUS-0083,PRD-0005,ADV-0023,MLJ-662284,Life,Active,2019-12-02,2049-12-02,9053,17949745,Annual,2025-09-29,High
POL-00096,CUS-0103,PRD-0002,ADV-0021,MLJ-629454,Wealth,Active,2025-07-09,2035-07-09,7964,5565496,Monthly,2025-01-08,High
POL-00097,CUS-0196,PRD-0010,ADV-0011,MLJ-759721,Life,Active,2022-02-07,2052-02-07,338888,174815378,Semi-Annual,2026-03-04,Low
POL-00098,CUS-0151,PRD-0008,ADV-0024,MLJ-272530,Health,Active,2022-10-20,2052-10-20,14194,19148322,Quarterly,2025-08-10,Low
POL-00099,CUS-0054,PRD-0007,ADV-0015,MLJ-120937,Health,Active,2025-12-29,2035-12-28,1850,3847063,Semi-Annual,2026-05-01,Medium
POL-00100,CUS-0144,PRD-0010,ADV-0017,MLJ-422246,Life,Active,2024-12-28,2054-12-28,41869,27981896,Semi-Annual,2025-02-08,High
POL-00101,CUS-0116,PRD-0012,ADV-0003,MLJ-803488,Life,Active,2020-09-09,2040-09-09,950,3140629,Semi-Annual,2025-12-04,Medium
POL-00102,CUS-0029,PRD-0005,ADV-0018,MLJ-980942,Life,Active,2018-04-02,2048-04-02,18966,36233953,Monthly,2025-03-14,Low
POL-00103,CUS-0031,PRD-0011,ADV-0016,MLJ-358861,Health,Active,2020-10-07,2050-10-07,4385,9345611,Semi-Annual,2025-05-24,Medium
POL-00104,CUS-0169,PRD-0012,ADV-0013,MLJ-528102,Life,Cancelled,2021-01-07,2041-01-07,2995,8506075,Monthly,2025-02-28,High
POL-00105,CUS-0057,PRD-0006,ADV-0025,MLJ-191138,Health,Active,2020-04-01,2040-04-01,8472,10007390,Annual,2025-12-18,Medium
POL-00106,CUS-0153,PRD-0011,ADV-0009,MLJ-165844,Health,Active,2022-05-16,2042-05-16,3130,7012188,Semi-Annual,2026-01-18,Medium
POL-00107,CUS-0103,PRD-0002,ADV-0029,MLJ-566808,Wealth,Active,2018-07-23,2028-07-23,3734,3576151,Annual,2025-08-14,Low
POL-00108,CUS-0108,PRD-0002,ADV-0005,MLJ-288226,Wealth,Cancelled,2020-12-03,2035-12-03,37578,27457312,Monthly,2026-02-01,Low
POL-00109,CUS-0147,PRD-0004,ADV-0029,MLJ-610465,Life,Active,2018-05-19,2028-05-19,3037,22672981,Quarterly,2025-03-16,Medium
POL-00110,CUS-0039,PRD-0009,ADV-0017,MLJ-823830,Group,Active,2020-03-10,2030-03-10,59445,231025247,Annual,2025-06-10,Low
POL-00111,CUS-0060,PRD-0002,ADV-0022,MLJ-979871,Wealth,Cancelled,2025-12-24,2055-12-24,20590,14973896,Annual,2025-08-21,Low
POL-00112,CUS-0041,PRD-0008,ADV-0020,MLJ-463311,Health,Active,2024-10-03,2123-10-03,3429,5625846,Quarterly,2025-04-06,High
POL-00113,CUS-0140,PRD-0010,ADV-0020,MLJ-922663,Life,Lapsed,2022-04-07,2042-04-07,239009,160405628,Quarterly,2025-11-26,Low
POL-00114,CUS-0018,PRD-0001,ADV-0006,MLJ-566764,Wealth,Active,2022-12-20,2037-12-20,86741,42801581,Monthly,2025-04-16,Medium
POL-00115,CUS-0155,PRD-0011,ADV-0014,MLJ-256936,Health,Cancelled,2019-07-09,2034-07-09,6700,18412198,Quarterly,2025-05-21,Low
POL-00116,CUS-0174,PRD-0007,ADV-0024,MLJ-938413,Health,Active,2020-08-22,2040-08-22,1692,3400474,Monthly,2025-10-07,Low
POL-00117,CUS-0112,PRD-0008,ADV-0025,MLJ-195430,Health,Active,2022-07-15,2121-07-15,20908,25626238,Annual,2025-03-03,High
POL-00118,CUS-0018,PRD-0010,ADV-0018,MLJ-845831,Life,Lapsed,2024-01-12,2123-01-12,341357,177827563,Semi-Annual,2025-09-06,High
POL-00119,CUS-0186,PRD-0001,ADV-0002,MLJ-815651,Wealth,Active,2022-08-24,2052-08-24,75604,41518081,Monthly,2025-11-11,High
POL-00120,CUS-0189,PRD-0004,ADV-0001,MLJ-585609,Life,Lapsed,2018-07-06,2038-07-06,14308,81709570,Annual,2025-06-18,Medium
POL-00121,CUS-0115,PRD-0001,ADV-0004,MLJ-898012,Wealth,Active,2018-05-23,2033-05-23,80524,40655476,Annual,2025-03-07,Low
POL-00122,CUS-0106,PRD-0009,ADV-0019,MLJ-787740,Group,Active,2021-09-05,2051-09-05,11306,48248823,Quarterly,2025-03-11,High
POL-00123,CUS-0102,PRD-0002,ADV-0027,MLJ-559649,Wealth,Cancelled,2025-04-05,2045-04-05,20750,13905877,Monthly,2025-09-13,Medium
POL-00124,CUS-0027,PRD-0002,ADV-0008,MLJ-458138,Wealth,Lapsed,2020-05-19,2030-05-19,43592,29934218,Annual,2026-02-21,Low
POL-00125,CUS-0087,PRD-0009,ADV-0021,MLJ-718106,Group,Active,2021-01-05,2041-01-05,119348,499377003,Monthly,2025-05-27,High
POL-00126,CUS-0143,PRD-0009,ADV-0006,MLJ-769773,Group,Active,2018-09-09,2033-09-09,94187,306384551,Annual,2025-11-08,Medium
POL-00127,CUS-0019,PRD-0011,ADV-0014,MLJ-241523,Health,Active,2021-09-17,2041-09-17,605,1833783,Annual,2025-10-16,Low
POL-00128,CUS-0017,PRD-0009,ADV-0007,MLJ-739602,Group,Active,2018-01-02,2038-01-02,66048,212678763,Semi-Annual,2025-08-24,Low
POL-00129,CUS-0042,PRD-0011,ADV-0018,MLJ-311554,Health,Active,2023-08-17,2122-08-17,6075,18925805,Semi-Annual,2025-12-17,Medium
POL-00130,CUS-0082,PRD-0007,ADV-0025,MLJ-935896,Health,Active,2021-11-01,2041-11-01,1951,3562082,Semi-Annual,2025-01-29,Medium
POL-00131,CUS-0182,PRD-0006,ADV-0017,MLJ-335286,Health,Active,2020-06-25,2119-06-25,6412,6797082,Monthly,2025-01-13,Low
POL-00132,CUS-0121,PRD-0004,ADV-0008,MLJ-222781,Life,Active,2024-04-04,2123-04-04,870,4881106,Quarterly,2025-02-18,Low
POL-00133,CUS-0149,PRD-0007,ADV-0022,MLJ-696847,Health,Active,2018-06-05,2048-06-05,5811,9663313,Annual,2025-03-03,Medium
POL-00134,CUS-0053,PRD-0006,ADV-0004,MLJ-969877,Health,Active,2018-01-15,2038-01-15,1789,2523640,Monthly,2025-02-16,Medium
POL-00135,CUS-0186,PRD-0010,ADV-0030,MLJ-224523,Life,Active,2023-02-14,2043-02-14,310470,188630502,Semi-Annual,2025-02-01,Medium
POL-00136,CUS-0196,PRD-0008,ADV-0005,MLJ-781890,Health,Cancelled,2018-05-24,2048-05-24,21055,28416606,Semi-Annual,2025-11-01,Medium
POL-00137,CUS-0110,PRD-0006,ADV-0024,MLJ-429658,Health,Active,2022-12-04,2042-12-04,806,862993,Monthly,2025-12-02,High
POL-00138,CUS-0190,PRD-0005,ADV-0021,MLJ-708485,Life,Active,2024-07-30,2054-07-28,5584,11478826,Quarterly,2025-11-23,Low
POL-00139,CUS-0077,PRD-0002,ADV-0006,MLJ-900289,Wealth,Active,2022-10-27,2052-10-27,31531,28472788,Semi-Annual,2025-05-22,Low
POL-00140,CUS-0020,PRD-0001,ADV-0017,MLJ-851895,Wealth,Active,2021-07-14,2031-07-14,9596,5538867,Quarterly,2026-01-06,Low
POL-00141,CUS-0146,PRD-0012,ADV-0011,MLJ-209321,Life,Active,2021-07-25,2120-07-25,1326,3602544,Quarterly,2026-04-20,Medium
POL-00142,CUS-0077,PRD-0005,ADV-0018,MLJ-122955,Life,Active,2022-12-07,2037-12-07,19965,48817570,Quarterly,2025-04-29,Medium
POL-00143,CUS-0137,PRD-0008,ADV-0030,MLJ-318506,Health,Active,2018-07-19,2028-07-19,10022,12254006,Monthly,2025-10-31,Medium
POL-00144,CUS-0179,PRD-0007,ADV-0028,MLJ-584255,Health,Active,2025-05-05,2045-05-05,1381,2553957,Monthly,2025-10-24,High
POL-00145,CUS-0037,PRD-0010,ADV-0005,MLJ-451646,Life,Active,2020-04-10,2030-04-10,538693,259315195,Quarterly,2025-09-01,Medium
POL-00146,CUS-0129,PRD-0001,ADV-0006,MLJ-167574,Wealth,Active,2024-06-18,2054-06-18,5280,2518452,Monthly,2025-06-25,Low
POL-00147,CUS-0051,PRD-0005,ADV-0024,MLJ-637458,Life,Cancelled,2021-08-10,2036-08-10,19126,38211532,Semi-Annual,2025-03-17,High
POL-00148,CUS-0113,PRD-0009,ADV-0021,MLJ-315136,Group,Active,2021-12-09,2031-12-09,91473,324801354,Monthly,2025-12-17,High
POL-00149,CUS-0182,PRD-0005,ADV-0009,MLJ-227195,Life,Active,2018-04-24,2048-04-24,12854,25338339,Quarterly,2026-04-28,Low
POL-00150,CUS-0028,PRD-0002,ADV-0017,MLJ-356236,Wealth,Active,2018-05-31,2028-05-28,2062,1529783,Semi-Annual,2025-01-19,Low
POL-00151,CUS-0017,PRD-0011,ADV-0028,MLJ-522841,Health,Active,2020-07-05,2030-07-05,833,2014053,Annual,2026-03-16,High
POL-00152,CUS-0147,PRD-0006,ADV-0011,MLJ-785824,Health,Active,2024-07-28,2044-07-28,1714,2541658,Quarterly,2026-03-18,High
POL-00153,CUS-0051,PRD-0001,ADV-0023,MLJ-172659,Wealth,Active,2018-08-04,2033-08-04,98167,46841619,Monthly,2025-03-02,Low
POL-00154,CUS-0076,PRD-0006,ADV-0029,MLJ-605173,Health,Active,2020-03-24,2035-03-24,5497,7603497,Semi-Annual,2026-02-03,Medium
POL-00155,CUS-0024,PRD-0010,ADV-0007,MLJ-213249,Life,Active,2022-08-06,2037-08-06,421316,255777300,Monthly,2025-03-15,High
POL-00156,CUS-0021,PRD-0012,ADV-0013,MLJ-658411,Life,Lapsed,2025-07-17,2040-07-17,2283,6693416,Semi-Annual,2025-08-11,Low
POL-00157,CUS-0065,PRD-0007,ADV-0012,MLJ-153058,Health,Active,2019-10-11,2029-10-11,5078,7953357,Monthly,2026-04-30,Low
POL-00158,CUS-0049,PRD-0010,ADV-0001,MLJ-981278,Life,Active,2018-12-18,2048-12-18,126261,65832944,Semi-Annual,2025-05-05,High
POL-00159,CUS-0044,PRD-0007,ADV-0005,MLJ-156727,Health,Active,2024-06-25,2044-06-25,3023,5241746,Semi-Annual,2026-04-27,Low
POL-00160,CUS-0190,PRD-0010,ADV-0005,MLJ-492824,Life,Active,2023-12-26,2043-12-26,421888,214271910,Annual,2025-04-06,Medium
POL-00161,CUS-0082,PRD-0005,ADV-0030,MLJ-672230,Life,Cancelled,2024-03-06,2034-03-06,15644,40658121,Monthly,2025-11-02,Medium
POL-00162,CUS-0021,PRD-0012,ADV-0018,MLJ-698197,Life,Cancelled,2021-03-08,2051-03-08,1513,4841429,Semi-Annual,2026-02-02,Medium
POL-00163,CUS-0197,PRD-0005,ADV-0002,MLJ-189480,Life,Active,2023-11-10,2043-11-10,15671,39399287,Quarterly,2025-12-13,High
POL-00164,CUS-0015,PRD-0008,ADV-0001,MLJ-866415,Health,Active,2018-11-03,2048-11-03,1837,2745342,Semi-Annual,2026-01-14,High
POL-00165,CUS-0135,PRD-0010,ADV-0017,MLJ-323205,Life,Lapsed,2018-07-26,2048-07-26,434219,284479609,Quarterly,2026-03-16,Low
POL-00166,CUS-0170,PRD-0010,ADV-0006,MLJ-186767,Life,Active,2021-05-09,2051-05-09,353155,175592755,Monthly,2025-07-27,High
POL-00167,CUS-0067,PRD-0002,ADV-0018,MLJ-282698,Wealth,Active,2023-02-02,2043-02-02,12017,9081467,Monthly,2025-11-16,Medium
POL-00168,CUS-0046,PRD-0001,ADV-0007,MLJ-510517,Wealth,Active,2023-10-08,2122-10-08,67803,36167121,Semi-Annual,2025-08-31,Medium
POL-00169,CUS-0027,PRD-0002,ADV-0010,MLJ-932174,Wealth,Lapsed,2018-08-10,2038-08-10,42761,28893917,Annual,2025-12-22,Medium
POL-00170,CUS-0075,PRD-0003,ADV-0011,MLJ-954139,Life,Active,2021-06-30,2120-06-28,33775,39869071,Semi-Annual,2025-05-08,Low
POL-00171,CUS-0073,PRD-0007,ADV-0005,MLJ-989471,Health,Active,2019-02-20,2029-02-20,1741,3352558,Annual,2025-10-21,Medium
POL-00172,CUS-0098,PRD-0006,ADV-0005,MLJ-441900,Health,Active,2020-01-02,2050-01-02,598,796608,Monthly,2025-09-15,Medium
POL-00173,CUS-0105,PRD-0006,ADV-0001,MLJ-822876,Health,Active,2018-03-03,2033-03-03,8326,9085667,Monthly,2025-01-15,Medium
POL-00174,CUS-0171,PRD-0001,ADV-0004,MLJ-924854,Wealth,Active,2023-05-28,2122-05-28,30164,16659630,Quarterly,2025-05-02,Medium
POL-00175,CUS-0013,PRD-0007,ADV-0011,MLJ-135422,Health,Active,2020-05-30,2050-05-28,1380,2287404,Annual,2025-11-10,High
