SKU,Season,YTD_TY_POS,YTD_LY_POS,YTD_TY_Ship,YTD_LY_Ship,Retail_Inv_TY,Corp_Inv_TY,Current_POS_Forecast,Current_Ship_Forecast,Open_PO_Qty,Planned_Purchase_Qty,Weeks_of_Supply
AL-HA-005,S3 Spring,406,22,522,23,2881,4816,1117,1208,1024,1135,9.3
AL-HA-006,S3 Spring,669,558,848,638,1480,2388,1652,1772,1990,2142,6.5
AL-HA-007,S3 Spring,750,658,809,836,3525,1365,1900,2162,1250,2500,8.6
KS-AFR-001,S3 Spring,5889,3940,6587,4378,1910,1461,13850,15261,789,1529,12.4
KS-AFR-002,S3 Spring,3506,221,3884,259,677,1244,9240,10624,1443,1056,5.3
KS-AFR-003,S3 Spring,7451,6272,9046,7069,1637,1246,19779,22422,1518,2431,12.1
KS-BLN-001,S3 Spring,3284,2576,3801,3081,967,876,7680,8517,668,649,10.5
KS-BLN-002,S3 Spring,4771,5326,5220,5959,2659,1857,13343,15275,203,191,21.0
KS-CKW-001,S3 Spring,2297,2251,2715,2483,584,678,6018,6966,354,478,15.1
KS-CKW-002,S3 Spring,3246,3264,3649,3647,773,972,8352,9784,439,690,17.0
OL-PFR-001,S3 Spring,1291,1047,1439,1213,319,308,3498,3956,227,302,12.4
OL-PFR-002,S3 Spring,836,1318,916,1539,500,335,2221,2614,47,65,18.5
OL-PFR-003,S3 Spring,4658,4063,5501,4776,1261,854,11341,13330,500,806,15.1
OL-BBQ-001,S3 Spring,2021,1921,2324,2123,656,547,4723,5461,319,392,12.4
OL-BBQ-002,S3 Spring,3437,3388,3967,3659,851,524,8474,9201,643,784,17.4
OL-BBQ-003,S3 Spring,1528,88,1669,101,197,722,3759,4159,406,582,5.8
OL-SLR-001,S3 Spring,9314,6970,10335,8054,2943,1618,22606,25585,2240,2671,8.9
OL-SLR-002,S3 Spring,6492,482,7319,560,1038,2396,18012,21001,2539,2333,3.7
CA-TNT-001,S3 Spring,2159,2057,2534,2283,496,655,5950,6539,332,503,14.6
CA-TNT-002,S3 Spring,1109,72,1263,82,250,541,2873,3350,312,440,6.5
CA-SLP-001,S3 Spring,3213,3047,3672,3471,797,618,8418,9134,476,767,17.4
CA-SLP-002,S3 Spring,2847,3035,3461,3671,1592,904,6493,7259,111,122,21.9
CA-CLR-001,S3 Spring,1913,1437,2276,1643,500,536,4424,4909,355,561,13.0
CA-CLR-002,S3 Spring,2144,3080,2478,3649,797,854,5503,5987,182,67,22.0
CA-CLR-003,S3 Spring,6075,452,7135,503,878,3278,15751,17930,2314,2659,4.2
HO-SHL-001,S3 Spring,5035,4374,5582,5162,1215,1052,13160,14308,816,1243,11.0
HO-SHL-002,S3 Spring,3932,4300,4795,4688,916,749,9851,10794,743,927,17.5
HO-BIN-001,S3 Spring,11805,10750,13760,13096,3405,1727,30618,33479,1484,2375,16.5
HO-BIN-002,S3 Spring,8208,8028,9500,8976,2482,2199,21628,25316,1395,1349,11.6
HO-CLO-001,S3 Spring,1937,123,2207,138,235,922,4782,5369,566,839,5.4
HO-CLO-002,S3 Spring,6383,5906,7683,7126,1983,1847,16613,19436,963,1471,10.5
FR-DWB-001,S3 Spring,2693,3241,3247,3596,1144,839,6741,7384,239,119,24.2
FR-DWB-002,S3 Spring,1352,1891,1645,2257,772,395,3416,3984,65,93,23.9
FR-YGA-001,S3 Spring,7803,6384,9287,6991,2669,2110,18725,21712,1718,2036,8.3
FR-YGA-002,S3 Spring,5665,4903,6271,5521,2046,1718,15689,17785,1195,1514,8.7
FR-YGA-003,S3 Spring,8911,569,10834,629,2094,3127,21143,24116,2876,3805,3.8
FR-BKE-001,S3 Spring,1558,1629,1808,1817,859,467,4071,4670,102,95,25.4
FR-BKE-002,S3 Spring,489,33,574,37,81,254,1244,1394,154,179,5.7
