SKU,SKU_Name,Category,Subcategory,Fineline,Fineline_Name,Vendor,Brand,New_SKU_Flag,Status,Retail_Price,Cost,Store_Count,Margin_Per_Unit
HO-SHL-001,TA MODULAR SHELF 5-TIER,Home Organization & Storage,Home & Living,SHL,Shelving Systems,TypeA Canada,TYPE A,N,ACT,89.99,44.2,490,45.79
HO-SHL-002,TA HEAVY DUTY SHELF 4-TIER,Home Organization & Storage,Home & Living,SHL,Shelving Systems,TypeA Canada,TYPE A,N,ACT,69.99,33.6,485,36.39
HO-BIN-001,TA CLEAR STORAGE BIN 64L 4PK,Home Organization & Storage,Home & Living,BIN,Storage Bins,TypeA Canada,TYPE A,N,ACT,34.99,15.4,500,19.59
HO-BIN-002,TA FABRIC BIN CUBE 6PK,Home Organization & Storage,Home & Living,BIN,Storage Bins,TypeA Canada,TYPE A,N,ACT,29.99,13.2,498,16.79
HO-CLO-001,TA CLOSET ORGANIZER SYSTEM,Home Organization & Storage,Home & Living,CLO,Closet Solutions,TypeA Canada,TYPE A,Y,ACT,199.99,104.8,380,95.19
HO-CLO-002,TA SHOE RACK 3-TIER,Home Organization & Storage,Home & Living,CLO,Closet Solutions,TypeA Canada,TYPE A,N,ACT,39.99,18.6,492,21.39
FR-DWB-001,NF HEX DUMBBELL SET 5-25LB,Fitness & Recreation,Home & Living,DWB,Dumbbells & Weights,NordicFlex Canada,NordicFlex,N,ACT,199.99,118.4,458,81.59
FR-DWB-002,NF ADJUSTABLE DUMBBELL 50LB,Fitness & Recreation,Home & Living,DWB,Dumbbells & Weights,NordicFlex Canada,NordicFlex,N,ACT,299.99,178.8,420,121.19
FR-YGA-001,GC YOGA MAT PREMIUM 6MM,Fitness & Recreation,Home & Living,YGA,Yoga & Recovery,GreenCore Wellness,GreenCore,N,ACT,44.99,21.6,490,23.39
FR-YGA-002,GC FOAM ROLLER 18IN,Fitness & Recreation,Home & Living,YGA,Yoga & Recovery,GreenCore Wellness,GreenCore,N,ACT,34.99,16.8,485,18.19
FR-YGA-003,GC RESISTANCE BAND SET 5PK,Fitness & Recreation,Home & Living,YGA,Yoga & Recovery,GreenCore Wellness,GreenCore,Y,ACT,29.99,13.4,465,16.59
FR-BKE-001,NF HYBRID BIKE 700C,Fitness & Recreation,Home & Living,BKE,Bikes & Cycling,NordicFlex Canada,NordicFlex,N,ACT,449.99,272.0,410,177.99
FR-BKE-002,NF E-BIKE COMMUTER 500W,Fitness & Recreation,Home & Living,BKE,Bikes & Cycling,NordicFlex Canada,NordicFlex,Y,ACT,1499.99,920.0,280,579.99
