SKU,Corp_Inv_Units_TY,Corp_Inv_Units_LY,Retail_Inv_Units_TY,Retail_Inv_Units_LY,YTD_POS_TY,YTD_POS_LY,YTD_POS_Change_Pct,R8_POS_TY,R8_POS_LY,R8_POS_Change_Pct,YTD_Lost_Sales_Pct,Vendor_Fill_Rate_Pct,Ship_Units_TY,Ship_Units_LY,DDF_Units
HO-SHL-001,951,1304,1421,1107,5198,4021,29.3,1676,1237,35.5,2.0,87.5,5461,4687,577
HO-SHL-002,775,1167,1261,1348,4099,4261,-3.8,1371,1549,-11.5,3.2,90.5,4662,4569,288
HO-BIN-001,3307,2947,3958,3389,11138,10118,10.1,3988,3728,7.0,3.2,89.2,12374,11566,806
HO-BIN-002,2289,1807,2824,2747,8738,8216,6.4,3260,2960,10.1,2.8,92.7,10307,9626,711
HO-CLO-001,873,31,239,25,1865,126,1380.2,671,38,1665.8,9.2,81.7,1965,136,161
HO-CLO-002,1116,1636,2076,1524,6736,6439,4.6,1964,2428,-19.1,4.1,90.6,7253,7691,547
FR-DWB-001,1292,1130,1485,1109,2586,3152,-18.0,790,1106,-28.6,0.4,95.7,2716,3747,267
FR-DWB-002,558,537,560,662,1274,1790,-28.8,465,630,-26.2,1.4,95.7,1395,1963,118
FR-YGA-001,1794,1949,2041,1741,7873,6612,19.1,2441,2214,10.3,2.7,90.3,8267,7227,743
FR-YGA-002,1589,1610,1753,1203,6058,5300,14.3,1799,1529,17.7,2.7,87.2,6829,6068,526
FR-YGA-003,3620,103,1062,117,8318,591,1307.4,3036,170,1685.9,6.0,78.5,9251,676,628
FR-BKE-001,622,622,800,693,1598,1583,0.9,515,471,9.3,1.1,97.0,1908,1785,102
FR-BKE-002,192,8,86,6,501,36,1291.7,185,12,1441.7,8.1,71.5,580,41,63
