Week_End_Date,Year,Quarter,Year_Quarter,Year_Month,Week_Number,Fiscal_Year_Label
2025-01-12,2025,Q1,2025-Q1,2025-01,2,FY25
2025-01-19,2025,Q1,2025-Q1,2025-01,3,FY25
2025-01-26,2025,Q1,2025-Q1,2025-01,4,FY25
2025-02-02,2025,Q1,2025-Q1,2025-02,5,FY25
2025-02-09,2025,Q1,2025-Q1,2025-02,6,FY25
2025-02-16,2025,Q1,2025-Q1,2025-02,7,FY25
2025-02-23,2025,Q1,2025-Q1,2025-02,8,FY25
2025-03-02,2025,Q1,2025-Q1,2025-03,9,FY25
2025-03-09,2025,Q1,2025-Q1,2025-03,10,FY25
2025-03-16,2025,Q1,2025-Q1,2025-03,11,FY25
2025-03-23,2025,Q1,2025-Q1,2025-03,12,FY25
2025-03-30,2025,Q1,2025-Q1,2025-03,13,FY25
2025-04-06,2025,Q2,2025-Q2,2025-04,14,FY25
2025-04-13,2025,Q2,2025-Q2,2025-04,15,FY25
2025-04-20,2025,Q2,2025-Q2,2025-04,16,FY25
2025-04-27,2025,Q2,2025-Q2,2025-04,17,FY25
2025-05-04,2025,Q2,2025-Q2,2025-05,18,FY25
2025-05-11,2025,Q2,2025-Q2,2025-05,19,FY25
2025-05-18,2025,Q2,2025-Q2,2025-05,20,FY25
2025-05-25,2025,Q2,2025-Q2,2025-05,21,FY25
2025-06-01,2025,Q2,2025-Q2,2025-06,22,FY25
2025-06-08,2025,Q2,2025-Q2,2025-06,23,FY25
2025-06-15,2025,Q2,2025-Q2,2025-06,24,FY25
2025-06-22,2025,Q2,2025-Q2,2025-06,25,FY25
2025-06-29,2025,Q2,2025-Q2,2025-06,26,FY25
2025-07-06,2025,Q3,2025-Q3,2025-07,27,FY25
2025-07-13,2025,Q3,2025-Q3,2025-07,28,FY25
2025-07-20,2025,Q3,2025-Q3,2025-07,29,FY25
2025-07-27,2025,Q3,2025-Q3,2025-07,30,FY25
2025-08-03,2025,Q3,2025-Q3,2025-08,31,FY25
2025-08-10,2025,Q3,2025-Q3,2025-08,32,FY25
2025-08-17,2025,Q3,2025-Q3,2025-08,33,FY25
2025-08-24,2025,Q3,2025-Q3,2025-08,34,FY25
2025-08-31,2025,Q3,2025-Q3,2025-08,35,FY25
2025-09-07,2025,Q3,2025-Q3,2025-09,36,FY25
2025-09-14,2025,Q3,2025-Q3,2025-09,37,FY25
2025-09-21,2025,Q3,2025-Q3,2025-09,38,FY25
2025-09-28,2025,Q3,2025-Q3,2025-09,39,FY25
2025-10-05,2025,Q4,2025-Q4,2025-10,40,FY25
2025-10-12,2025,Q4,2025-Q4,2025-10,41,FY25
2025-10-19,2025,Q4,2025-Q4,2025-10,42,FY25
2025-10-26,2025,Q4,2025-Q4,2025-10,43,FY25
2025-11-02,2025,Q4,2025-Q4,2025-11,44,FY25
2025-11-09,2025,Q4,2025-Q4,2025-11,45,FY25
2025-11-16,2025,Q4,2025-Q4,2025-11,46,FY25
2025-11-23,2025,Q4,2025-Q4,2025-11,47,FY25
2025-11-30,2025,Q4,2025-Q4,2025-11,48,FY25
2025-12-07,2025,Q4,2025-Q4,2025-12,49,FY25
2025-12-14,2025,Q4,2025-Q4,2025-12,50,FY25
2025-12-21,2025,Q4,2025-Q4,2025-12,51,FY25
2025-12-28,2025,Q4,2025-Q4,2025-12,52,FY25
2026-01-04,2026,Q1,2026-Q1,2026-01,1,FY26
2026-01-11,2026,Q1,2026-Q1,2026-01,2,FY26
2026-01-18,2026,Q1,2026-Q1,2026-01,3,FY26
2026-01-25,2026,Q1,2026-Q1,2026-01,4,FY26
2026-02-01,2026,Q1,2026-Q1,2026-02,5,FY26
2026-02-08,2026,Q1,2026-Q1,2026-02,6,FY26
2026-02-15,2026,Q1,2026-Q1,2026-02,7,FY26
2026-02-22,2026,Q1,2026-Q1,2026-02,8,FY26
2026-03-01,2026,Q1,2026-Q1,2026-03,9,FY26
2026-03-08,2026,Q1,2026-Q1,2026-03,10,FY26
2026-03-15,2026,Q1,2026-Q1,2026-03,11,FY26
2026-03-22,2026,Q1,2026-Q1,2026-03,12,FY26
2026-03-29,2026,Q1,2026-Q1,2026-03,13,FY26
2026-04-05,2026,Q2,2026-Q2,2026-04,14,FY26
2026-04-12,2026,Q2,2026-Q2,2026-04,15,FY26
2026-04-19,2026,Q2,2026-Q2,2026-04,16,FY26
2026-04-26,2026,Q2,2026-Q2,2026-04,17,FY26
2026-05-03,2026,Q2,2026-Q2,2026-05,18,FY26
2026-05-10,2026,Q2,2026-Q2,2026-05,19,FY26
2026-05-17,2026,Q2,2026-Q2,2026-05,20,FY26
2026-05-24,2026,Q2,2026-Q2,2026-05,21,FY26
